alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,n_infinite_total,n_total,proportion_infinite
0.05,0,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,0,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,0,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,0,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,0,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,0,stdcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,0,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,5,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,5,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,5,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,5,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,5,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,5,stdcp,0.7494,0.04871449518178678,4.791871602838682,4.763203417980652,0.3862517110524838,0,50,0.0
0.05,5,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,10,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,10,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,10,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,10,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,10,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,10,stdcp,0.8344,0.03375542284476039,10.771834937047242,10.516973299922771,1.1847654279482076,0,50,0.0
0.05,10,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,15,dhcp_with,0.9808,0.018934904600892467,40.16504644580399,35.02011275247516,15.028648093723719,0,50,0.0
0.05,15,dhcp_without,0.9808,0.018934904600892467,40.16504644580399,35.02011275247516,15.028648093723719,0,50,0.0
0.05,15,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,15,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,15,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,15,stdcp,0.8872,0.036647242845311914,6.550818801422215,6.508132911490375,0.5028180035511901,0,50,0.0
0.05,15,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,20,dhcp_with,0.9528,0.047209476738018945,35.981590799933656,31.564704288111248,14.754878269276531,0,50,0.0
0.05,20,dhcp_without,0.9528,0.047209476738018945,35.981590799933656,31.564704288111248,14.754878269276531,0,50,0.0
0.05,20,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,20,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,20,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,20,stdcp,0.9087999999999999,0.03217553894066809,5.607374387403328,5.643178796731397,0.3028171670425893,0,50,0.0
0.05,20,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,25,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,25,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,25,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,25,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,25,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,25,stdcp,0.9248000000000001,0.02541412109478521,5.588368248448902,5.609937589342138,0.33537290030109895,0,50,0.0
0.05,25,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,30,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,30,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,30,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,30,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,30,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,30,stdcp,0.9381999999999999,0.022194869787812637,5.436452728363693,5.379700742214056,0.292186490524653,0,50,0.0
0.05,30,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,35,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,35,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,35,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,35,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,35,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,35,stdcp,0.9468,0.018006801436101387,5.474017979371228,5.490786055036887,0.2876282270870564,0,50,0.0
0.05,35,sub,1.0,0.0,inf,inf,,50,50,1.0
0.2,0,dhcp_with,0.8403999999999999,0.1057328169086049,28.53630759404692,25.49053795249698,12.375227787157456,0,50,0.0
0.2,0,dhcp_without,0.8403999999999999,0.1057328169086049,28.53630759404692,25.49053795249698,12.375227787157456,0,50,0.0
0.2,0,hcp,0.8403999999999999,0.1057328169086049,28.53630759404692,25.49053795249698,12.375227787157456,0,50,0.0
0.2,0,pool,0.7756000000000001,0.11789237568603815,24.463019586223005,21.869894830837236,11.106181560762883,0,50,0.0
0.2,0,rep,0.8096,0.11000853399177905,26.681592357535546,23.362253523105373,12.187301460484724,0,50,0.0
0.2,0,stdcp,1.0,0.0,inf,inf,,50,50,1.0
0.2,0,sub,0.8146,0.10881945354295688,26.96699461393114,23.81125658603375,12.0616817935398,0,50,0.0
0.2,5,dhcp_with,0.8358,0.10575462550794897,27.791919097047572,24.92518500775421,12.256483489265456,0,50,0.0
0.2,5,dhcp_without,0.8358,0.10575462550794897,27.791919097047572,24.92518500775421,12.256483489265456,0,50,0.0
0.2,5,hcp,0.8403999999999999,0.1057328169086049,28.53630759404692,25.49053795249698,12.375227787157456,0,50,0.0
0.2,5,pool,0.7756000000000001,0.11789237568603815,24.463019586223005,21.869894830837236,11.106181560762883,0,50,0.0
0.2,5,rep,0.8096,0.11000853399177905,26.681592357535546,23.362253523105373,12.187301460484724,0,50,0.0
0.2,5,stdcp,0.7582000000000001,0.045341785926674864,4.7861644588420695,4.838728742205138,0.43932613811426746,0,50,0.0
0.2,5,sub,0.8146,0.10881945354295688,26.96699461393114,23.81125658603375,12.0616817935398,0,50,0.0
0.2,10,dhcp_with,0.8258,0.10963929728981338,26.86671117812958,24.23862925656257,12.139416458836573,0,50,0.0
0.2,10,dhcp_without,0.8258,0.10963929728981338,26.86671117812958,24.23862925656257,12.139416458836573,0,50,0.0
0.2,10,hcp,0.8403999999999999,0.1057328169086049,28.53630759404692,25.49053795249698,12.375227787157456,0,50,0.0
0.2,10,pool,0.7756000000000001,0.11789237568603815,24.463019586223005,21.869894830837236,11.106181560762883,0,50,0.0
0.2,10,rep,0.8096,0.11000853399177905,26.681592357535546,23.362253523105373,12.187301460484724,0,50,0.0
0.2,10,stdcp,0.8428,0.040357585332593315,10.742996136937796,10.743660944237977,1.3336828332708714,0,50,0.0
0.2,10,sub,0.8146,0.10881945354295688,26.96699461393114,23.81125658603375,12.0616817935398,0,50,0.0
0.2,15,dhcp_with,0.816,0.11139193536924524,25.838464262651595,23.175056920229828,12.104831627985757,0,50,0.0
0.2,15,dhcp_without,0.816,0.11139193536924524,25.838464262651595,23.175056920229828,12.104831627985757,0,50,0.0
0.2,15,hcp,0.8403999999999999,0.1057328169086049,28.53630759404692,25.49053795249698,12.375227787157456,0,50,0.0
0.2,15,pool,0.7756000000000001,0.11789237568603815,24.463019586223005,21.869894830837236,11.106181560762883,0,50,0.0
0.2,15,rep,0.8096,0.11000853399177905,26.681592357535546,23.362253523105373,12.187301460484724,0,50,0.0
0.2,15,stdcp,0.8882000000000001,0.03408812109811863,6.63147181058871,6.689403849947986,0.4230526977049911,0,50,0.0
0.2,15,sub,0.8146,0.10881945354295688,26.96699461393114,23.81125658603375,12.0616817935398,0,50,0.0
0.2,20,dhcp_with,0.7974,0.10937316762313493,22.978222672412986,21.403768288370706,8.531766403963632,0,50,0.0
0.2,20,dhcp_without,0.7974,0.10937316762313493,22.978222672412986,21.403768288370706,8.531766403963632,0,50,0.0
0.2,20,hcp,0.8403999999999999,0.1057328169086049,28.53630759404692,25.49053795249698,12.375227787157456,0,50,0.0
0.2,20,pool,0.7756000000000001,0.11789237568603815,24.463019586223005,21.869894830837236,11.106181560762883,0,50,0.0
0.2,20,rep,0.8096,0.11000853399177905,26.681592357535546,23.362253523105373,12.187301460484724,0,50,0.0
0.2,20,stdcp,0.8122,0.03845431957371693,4.248175290824754,4.226435038243119,0.26319261977322356,0,50,0.0
0.2,20,sub,0.8146,0.10881945354295688,26.96699461393114,23.81125658603375,12.0616817935398,0,50,0.0
0.2,25,dhcp_with,0.86,0.03499271061118825,13.467972343823982,13.61958593355505,1.8614837147827485,0,50,0.0
0.2,25,dhcp_without,0.86,0.03499271061118825,13.467972343823982,13.61958593355505,1.8614837147827485,0,50,0.0
0.2,25,hcp,0.8403999999999999,0.1057328169086049,28.53630759404692,25.49053795249698,12.375227787157456,0,50,0.0
0.2,25,pool,0.7756000000000001,0.11789237568603815,24.463019586223005,21.869894830837236,11.106181560762883,0,50,0.0
0.2,25,rep,0.8096,0.11000853399177905,26.681592357535546,23.362253523105373,12.187301460484724,0,50,0.0
0.2,25,stdcp,0.8528,0.03380858482934866,4.410151513038944,4.378040487585599,0.20021898294717672,0,50,0.0
0.2,25,sub,0.8146,0.10881945354295688,26.96699461393114,23.81125658603375,12.0616817935398,0,50,0.0
0.2,30,dhcp_with,0.8104,0.03641932655800728,12.716430143924304,12.539214068312623,1.736637128920353,0,50,0.0
0.2,30,dhcp_without,0.8104,0.03641932655800728,12.716430143924304,12.539214068312623,1.736637128920353,0,50,0.0
0.2,30,hcp,0.8403999999999999,0.1057328169086049,28.53630759404692,25.49053795249698,12.375227787157456,0,50,0.0
0.2,30,pool,0.7756000000000001,0.11789237568603815,24.463019586223005,21.869894830837236,11.106181560762883,0,50,0.0
0.2,30,rep,0.8096,0.11000853399177905,26.681592357535546,23.362253523105373,12.187301460484724,0,50,0.0
0.2,30,stdcp,0.8024,0.035430875501115,3.6813674368461005,3.6774221919744967,0.21031241998508052,0,50,0.0
0.2,30,sub,0.8146,0.10881945354295688,26.96699461393114,23.81125658603375,12.0616817935398,0,50,0.0
0.2,35,dhcp_with,0.845,0.03564278557107043,13.14360309010594,13.168548084827282,1.6648056444787158,0,50,0.0
0.2,35,dhcp_without,0.845,0.03564278557107043,13.14360309010594,13.168548084827282,1.6648056444787158,0,50,0.0
0.2,35,hcp,0.8403999999999999,0.1057328169086049,28.53630759404692,25.49053795249698,12.375227787157456,0,50,0.0
0.2,35,pool,0.7756000000000001,0.11789237568603815,24.463019586223005,21.869894830837236,11.106181560762883,0,50,0.0
0.2,35,rep,0.8096,0.11000853399177905,26.681592357535546,23.362253523105373,12.187301460484724,0,50,0.0
0.2,35,stdcp,0.8416,0.027505843534991425,3.8386065928112107,3.8631549259704148,0.17067455739612705,0,50,0.0
0.2,35,sub,0.8146,0.10881945354295688,26.96699461393114,23.81125658603375,12.0616817935398,0,50,0.0
