alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,n_infinite_total,n_total,proportion_infinite
0.05,0,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,0,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,0,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,0,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,0,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,0,stdcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,0,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,5,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,5,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,5,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,5,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,5,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,5,stdcp,0.7494,0.04871449518178678,4.791871602838682,4.763203417980652,0.3862517110524838,0,50,0.0
0.05,5,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,10,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,10,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,10,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,10,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,10,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,10,stdcp,0.8344,0.03375542284476039,10.771834937047242,10.516973299922771,1.1847654279482076,0,50,0.0
0.05,10,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,15,dhcp_with,0.9808,0.018934904600892467,40.16504644580399,35.02011275247516,15.028648093723719,0,50,0.0
0.05,15,dhcp_without,0.9808,0.018934904600892467,40.16504644580399,35.02011275247516,15.028648093723719,0,50,0.0
0.05,15,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,15,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,15,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,15,stdcp,0.8872,0.036647242845311914,6.550818801422215,6.508132911490375,0.5028180035511901,0,50,0.0
0.05,15,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,20,dhcp_with,0.9528,0.047209476738018945,35.981590799933656,31.564704288111248,14.754878269276531,0,50,0.0
0.05,20,dhcp_without,0.9528,0.047209476738018945,35.981590799933656,31.564704288111248,14.754878269276531,0,50,0.0
0.05,20,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,20,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,20,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,20,stdcp,0.9087999999999999,0.03217553894066809,5.607374387403328,5.643178796731397,0.3028171670425893,0,50,0.0
0.05,20,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,25,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,25,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,25,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,25,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,25,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,25,stdcp,0.9248000000000001,0.02541412109478521,5.588368248448902,5.609937589342138,0.33537290030109895,0,50,0.0
0.05,25,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,30,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,30,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,30,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,30,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,30,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,30,stdcp,0.9381999999999999,0.022194869787812637,5.436452728363693,5.379700742214056,0.292186490524653,0,50,0.0
0.05,30,sub,1.0,0.0,inf,inf,,50,50,1.0
0.05,35,dhcp_with,1.0,0.0,inf,inf,,50,50,1.0
0.05,35,dhcp_without,1.0,0.0,inf,inf,,50,50,1.0
0.05,35,hcp,1.0,0.0,inf,inf,,50,50,1.0
0.05,35,pool,0.9128000000000001,0.07850750646548754,35.957833313791404,31.480320108336844,14.867659690701712,0,50,0.0
0.05,35,rep,1.0,0.0,inf,inf,,50,50,1.0
0.05,35,stdcp,0.9468,0.018006801436101387,5.474017979371228,5.490786055036887,0.2876282270870564,0,50,0.0
0.05,35,sub,1.0,0.0,inf,inf,,50,50,1.0
