alpha,experiment,o,method,coverage,width,n_infinite,n_total,proportion_infinite
0.2,0,0,dhcp_with,0.74,21.363470343764977,0,1,0.0
0.2,0,0,dhcp_without,0.74,21.363470343764977,0,1,0.0
0.2,0,0,hcp,0.74,21.363470343764977,0,1,0.0
0.2,0,0,pool,0.66,16.35316466772349,0,1,0.0
0.2,0,0,rep,0.73,19.70997399457506,0,1,0.0
0.2,0,0,stdcp,1.0,inf,1,1,1.0
0.2,0,0,sub,0.66,16.208217424112114,0,1,0.0
0.2,0,5,dhcp_with,0.73,20.318892379797266,0,1,0.0
0.2,0,5,dhcp_without,0.73,20.318892379797266,0,1,0.0
0.2,0,5,hcp,0.74,21.363470343764977,0,1,0.0
0.2,0,5,pool,0.66,16.35316466772349,0,1,0.0
0.2,0,5,rep,0.73,19.70997399457506,0,1,0.0
0.2,0,5,stdcp,0.79,4.364619333759961,0,1,0.0
0.2,0,5,sub,0.66,16.208217424112114,0,1,0.0
0.2,0,10,dhcp_with,0.74,20.019397233530533,0,1,0.0
0.2,0,10,dhcp_without,0.74,20.019397233530533,0,1,0.0
0.2,0,10,hcp,0.74,21.363470343764977,0,1,0.0
0.2,0,10,pool,0.66,16.35316466772349,0,1,0.0
0.2,0,10,rep,0.73,19.70997399457506,0,1,0.0
0.2,0,10,stdcp,0.86,9.332009136122334,0,1,0.0
0.2,0,10,sub,0.66,16.208217424112114,0,1,0.0
0.2,0,15,dhcp_with,0.74,17.932919859258334,0,1,0.0
0.2,0,15,dhcp_without,0.74,17.932919859258334,0,1,0.0
0.2,0,15,hcp,0.74,21.363470343764977,0,1,0.0
0.2,0,15,pool,0.66,16.35316466772349,0,1,0.0
0.2,0,15,rep,0.73,19.70997399457506,0,1,0.0
0.2,0,15,stdcp,0.87,6.94451620803237,0,1,0.0
0.2,0,15,sub,0.66,16.208217424112114,0,1,0.0
0.2,0,20,dhcp_with,0.72,16.147142316153186,0,1,0.0
0.2,0,20,dhcp_without,0.72,16.147142316153186,0,1,0.0
0.2,0,20,hcp,0.74,21.363470343764977,0,1,0.0
0.2,0,20,pool,0.66,16.35316466772349,0,1,0.0
0.2,0,20,rep,0.73,19.70997399457506,0,1,0.0
0.2,0,20,stdcp,0.84,4.367295714460411,0,1,0.0
0.2,0,20,sub,0.66,16.208217424112114,0,1,0.0
