experiment,o_observed,coverage_none,coverage_constant,coverage_linear,coverage_spline,coverage_stdcp,coverage_hcp,width_none,width_constant,width_linear,width_spline,width_stdcp,width_hcp,infinite_none,infinite_constant,infinite_linear,infinite_spline,infinite_stdcp,infinite_hcp
1,1000,0.72,0.74,0.78,0.76,0.76,0.78,4.269457065418353,4.198192148191249,4.105539886788527,4.378954867473269,4.12907857391218,5.365804600968889,0,0,0,0,0,0
2,1000,0.8,0.8,0.82,0.8,0.82,0.92,4.15354673942695,4.169551784238855,4.077748157854754,4.221167233635892,4.104228041199024,5.487354289286206,0,0,0,0,0,0
3,1000,0.86,0.8,0.82,0.9,0.84,0.96,4.187287311747343,4.133579078595449,4.089035554966678,4.293056665647242,4.116368031705595,5.823740778176937,0,0,0,0,0,0
4,1000,0.76,0.76,0.74,0.74,0.74,0.8,4.095054245613115,4.068839717497854,4.06945724870743,4.210222913485503,4.0633351555718145,5.627926683066905,0,0,0,0,0,0
5,1000,0.88,0.82,0.86,0.78,0.88,0.92,4.21965511180024,4.1559846064546395,4.09399216823071,4.233501241375036,4.122145762811413,5.731525041861578,0,0,0,0,0,0
6,1000,0.82,0.84,0.86,0.84,0.88,0.88,4.130862090723451,4.204475383331936,4.065738733803422,4.2212755804655515,4.126454437695869,5.468362299041053,0,0,0,0,0,0
7,1000,0.74,0.7,0.74,0.8,0.78,0.82,4.151209902964398,4.0356264490773475,4.128029936615095,4.199671639113857,4.191118479954856,5.050714454561257,0,0,0,0,0,0
8,1000,0.86,0.86,0.84,0.92,0.82,0.88,4.223791905261843,4.234281785294188,4.071643839273255,4.386986207905325,4.108805889628773,5.173378607878133,0,0,0,0,0,0
9,1000,0.84,0.84,0.86,0.84,0.88,0.92,4.181839211078737,4.13505726384447,4.119633211743291,4.112452036099789,4.125562136743699,5.386748383479572,0,0,0,0,0,0
10,1000,0.72,0.74,0.78,0.86,0.76,0.96,4.153375403186009,4.078897067786423,4.09758397937551,4.113958062218288,4.004059780138721,6.552754026427097,0,0,0,0,0,0
11,1000,0.86,0.88,0.84,0.8,0.84,0.96,4.3196808445600885,4.214401297252311,4.119168505443431,4.189749102475164,4.144689932060285,6.359532624571132,0,0,0,0,0,0
12,1000,0.8,0.8,0.78,0.78,0.78,0.88,4.147275201498125,4.0681052231306065,4.178457328335241,4.298758624333577,4.198362075902178,5.4373773198117625,0,0,0,0,0,0
13,1000,0.72,0.76,0.78,0.78,0.8,0.82,4.210742452335872,4.174601707859701,4.1237747255399295,4.115083796166912,4.1055574677415105,6.00367531513861,0,0,0,0,0,0
14,1000,0.78,0.76,0.84,0.82,0.82,0.9,4.1469582197046115,4.150433438947832,4.2145650008075455,4.349883498987403,4.0960135023327995,6.839831888341283,0,0,0,0,0,0
15,1000,0.82,0.82,0.78,0.78,0.82,0.86,4.05470438043845,3.9634106277074173,3.986725609054224,4.103051647417717,3.983772944229476,5.398091833222347,0,0,0,0,0,0
16,1000,0.9,0.92,0.88,0.9,0.84,0.94,4.250405271907379,4.182156306694949,4.035082893942373,4.142502261694634,4.009003970384208,8.626498575755665,0,0,0,0,0,0
17,1000,0.72,0.68,0.72,0.78,0.72,0.84,4.1391185270648965,4.1168214214491945,4.13636829803295,4.281349270579817,4.081507968615167,6.612334938117503,0,0,0,0,0,0
18,1000,0.78,0.74,0.7,0.8,0.72,0.84,4.1692367989031585,4.045171858903085,4.115880473537217,4.32633249391616,4.039586785141596,5.49728408287295,0,0,0,0,0,0
19,1000,0.72,0.74,0.8,0.8,0.8,0.84,4.1747159570424905,4.145410793088261,4.168707763323628,4.391164413599471,4.134893041983575,5.760471057216739,0,0,0,0,0,0
20,1000,0.84,0.84,0.84,0.8,0.84,0.9,4.371227898126742,4.253360863814031,4.134559910514182,4.350019723585555,4.084309434516718,6.856427991206726,0,0,0,0,0,0
21,1000,0.8,0.8,0.82,0.76,0.78,0.94,4.086994950372827,4.055726713255516,4.0273135104376685,4.153991958039958,4.10011305787918,6.356487212465232,0,0,0,0,0,0
22,1000,0.78,0.8,0.8,0.84,0.82,0.9,4.261159658538191,4.269447902033228,4.1191087712956485,4.15964588516786,4.006058948683492,6.97736243409591,0,0,0,0,0,0
23,1000,0.76,0.78,0.82,0.84,0.8,0.82,4.1945088188330635,4.152632449506699,4.118094922501806,4.2873492735363685,4.142402787194532,5.026234649099524,0,0,0,0,0,0
24,1000,0.78,0.78,0.82,0.8,0.86,0.86,3.9592644701397015,3.96918059078411,4.023975790855241,3.982739727567483,3.9387353846238593,4.751416146258391,0,0,0,0,0,0
25,1000,0.78,0.84,0.78,0.78,0.78,0.92,4.21078913355243,4.198336370278997,4.197235862825836,4.375799023845823,4.07062384621158,5.839273633201355,0,0,0,0,0,0
26,1000,0.82,0.8,0.84,0.74,0.84,0.9,4.2578549277872995,4.176609309049636,4.127019138270876,4.223063667526599,4.109397252255993,6.3017562675074466,0,0,0,0,0,0
27,1000,0.9,0.9,0.88,0.88,0.88,0.96,4.050672468118133,4.1218889514482075,4.0348464357861,4.037974271596141,3.987326615044863,5.608463827239833,0,0,0,0,0,0
28,1000,0.84,0.84,0.86,0.86,0.86,0.9,4.202125053143671,4.200404220379117,4.172380971030545,4.365983873972362,4.079443160135405,5.361990916395886,0,0,0,0,0,0
29,1000,0.8,0.82,0.82,0.8,0.8,0.92,4.226392271382611,4.23050533771705,4.037977627884507,4.140517929074848,4.0204997900010095,5.560466321436309,0,0,0,0,0,0
30,1000,0.88,0.86,0.86,0.88,0.9,0.94,4.251956685772739,4.207028923306675,4.088292592150152,4.210082222486281,4.041930455576216,6.230881839808625,0,0,0,0,0,0
