experiment,o_observed,coverage_donor_none,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_ols,infinite_stdcp,infinite_hcp
1,0,0.86,0.86,,0.86,5.869987429396151,5.869987429396151,,5.869987429396151,0,0,0,0
1,10,0.88,0.88,0.79,0.9,5.084998977049197,7.419516387854946,11.720005497850057,5.869987429396151,0,0,0,0
1,20,0.79,0.8,0.85,0.87,4.641574438362467,5.343905436000522,7.312884519259169,5.869987429396151,0,0,0,0
1,30,0.85,0.81,0.8,0.89,4.2620119135419365,5.602905582200996,6.236174009994503,5.869987429396151,0,0,0,0
1,40,0.8,0.79,0.79,0.91,4.125431233024543,5.062467008827598,5.0831014421616985,5.869987429396151,0,0,0,0
1,50,0.74,0.72,0.77,0.83,4.277107375675131,4.899269089292076,5.3245593657768495,5.869987429396151,0,0,0,0
2,0,0.92,0.92,,0.92,6.429041258417241,6.429041258417241,,6.429041258417241,0,0,0,0
2,10,0.93,0.89,0.82,0.93,5.882980797265007,7.281396246984466,10.995710799276203,6.429041258417241,0,0,0,0
2,20,0.87,0.84,0.84,0.91,5.222961914612264,5.368107223996443,6.944771711568074,6.429041258417241,0,0,0,0
2,30,0.77,0.85,0.84,0.88,4.089707769126711,5.636637412411322,5.610329149803813,6.429041258417241,0,0,0,0
2,40,0.82,0.81,0.83,0.93,4.06870642526637,5.01730509361295,5.202912809019827,6.429041258417241,0,0,0,0
2,50,0.83,0.78,0.83,0.91,4.374269803816846,5.059325243267048,5.2314041290331055,6.429041258417241,0,0,0,0
3,0,0.91,0.91,,0.91,5.56451185294223,5.56451185294223,,5.56451185294223,0,0,0,0
3,10,0.85,0.94,0.8,0.92,4.6240962573578965,7.676297692825463,10.937099053109915,5.56451185294223,0,0,0,0
3,20,0.79,0.81,0.77,0.85,4.239509025520874,5.600836573867392,7.525371039967956,5.56451185294223,0,0,0,0
3,30,0.84,0.85,0.77,0.91,4.145962300232917,5.515541028192845,5.786692667300665,5.56451185294223,0,0,0,0
3,40,0.78,0.77,0.82,0.89,4.311795075609879,5.078939732388354,5.278210350168047,5.56451185294223,0,0,0,0
3,50,0.8,0.76,0.76,0.9,4.217640646134228,4.57060856845067,4.891428355561108,5.56451185294223,0,0,0,0
4,0,0.77,0.77,,0.77,4.9873374730550415,4.9873374730550415,,4.9873374730550415,0,0,0,0
4,10,0.8,0.84,0.87,0.83,4.342847110863858,6.785130888427863,10.407936315174457,4.9873374730550415,0,0,0,0
4,20,0.82,0.8,0.84,0.88,4.047000451459501,4.367740382053849,6.925816066577813,4.9873374730550415,0,0,0,0
4,30,0.81,0.87,0.83,0.85,4.538850876792342,5.925228685983811,5.9358729145651346,4.9873374730550415,0,0,0,0
4,40,0.74,0.75,0.74,0.79,4.286390103036029,5.095894031146136,5.097422296260444,4.9873374730550415,0,0,0,0
4,50,0.79,0.81,0.83,0.84,4.215857117305553,5.039910601122875,4.904000396363913,4.9873374730550415,0,0,0,0
5,0,0.86,0.86,,0.86,5.25885209943337,5.25885209943337,,5.25885209943337,0,0,0,0
5,10,0.81,0.79,0.88,0.88,4.496440745642207,5.43648115590344,11.396031586230475,5.25885209943337,0,0,0,0
5,20,0.73,0.71,0.81,0.85,4.006819258476888,4.10443042426815,7.2697871907835925,5.25885209943337,0,0,0,0
5,30,0.82,0.87,0.85,0.9,4.212345778383545,5.665095553248486,5.475948199799861,5.25885209943337,0,0,0,0
5,40,0.81,0.79,0.84,0.88,4.220082179334396,5.310109672970734,5.409566843683685,5.25885209943337,0,0,0,0
5,50,0.79,0.83,0.8,0.88,4.150745232699579,4.918624665001339,4.6880227849272815,5.25885209943337,0,0,0,0
6,0,0.91,0.91,,0.91,5.284796937335604,5.284796937335604,,5.284796937335604,0,0,0,0
6,10,0.82,0.77,0.76,0.85,4.960103630003802,5.783849366053978,11.797970829871488,5.284796937335604,0,0,0,0
6,20,0.81,0.86,0.91,0.9,4.39256591405703,5.331320114506479,6.837443304010737,5.284796937335604,0,0,0,0
6,30,0.82,0.78,0.79,0.88,4.227587617796305,5.567509427524357,5.7256772246865095,5.284796937335604,0,0,0,0
6,40,0.74,0.74,0.74,0.79,4.346799501604558,5.214643445190919,5.036326027635743,5.284796937335604,0,0,0,0
6,50,0.82,0.79,0.8,0.89,4.313033846138946,5.115667815572795,5.004308870741244,5.284796937335604,0,0,0,0
7,0,0.93,0.93,,0.93,6.454895383079803,6.454895383079803,,6.454895383079803,0,0,0,0
7,10,0.88,0.89,0.84,0.93,5.626220303815034,6.721394761111232,10.820464675326795,6.454895383079803,0,0,0,0
7,20,0.81,0.88,0.78,0.87,4.704057241149677,6.475857012761336,7.463245484253335,6.454895383079803,0,0,0,0
7,30,0.77,0.83,0.82,0.93,4.358577216986012,5.276719552161584,5.451245197265054,6.454895383079803,0,0,0,0
7,40,0.78,0.84,0.83,0.9,4.458419551460326,5.446587988531165,5.603968270838632,6.454895383079803,0,0,0,0
7,50,0.8,0.79,0.82,0.89,4.392174649862576,4.912090163558151,5.1829092310177955,6.454895383079803,0,0,0,0
8,0,0.89,0.89,,0.89,5.915565135674061,5.915565135674061,,5.915565135674061,0,0,0,0
8,10,0.92,0.97,0.88,0.95,5.039488391336347,9.324331924878258,11.541955124363227,5.915565135674061,0,0,0,0
8,20,0.83,0.84,0.82,0.89,4.594677242081025,6.468224713105995,7.225198938577723,5.915565135674061,0,0,0,0
8,30,0.82,0.84,0.87,0.89,4.413835685672627,5.864918671120978,5.824017752731723,5.915565135674061,0,0,0,0
8,40,0.85,0.88,0.89,0.93,4.539213430293518,5.319704545556592,5.4402241729939185,5.915565135674061,0,0,0,0
8,50,0.79,0.78,0.87,0.92,4.366251320474286,4.791795402430947,4.809486557126383,5.915565135674061,0,0,0,0
9,0,0.86,0.86,,0.86,5.140993226451695,5.140993226451695,,5.140993226451695,0,0,0,0
9,10,0.85,0.83,0.85,0.89,4.51456530662721,5.98353031453656,10.395174235764824,5.140993226451695,0,0,0,0
9,20,0.87,0.86,0.85,0.89,3.964311963606927,5.215444291446328,7.187975243647319,5.140993226451695,0,0,0,0
9,30,0.89,0.81,0.77,0.9,4.373314085053545,6.173133643339432,5.574212754175449,5.140993226451695,0,0,0,0
9,40,0.78,0.82,0.8,0.85,4.207804187983866,4.949790731709515,5.22176161962437,5.140993226451695,0,0,0,0
9,50,0.86,0.78,0.81,0.92,4.052675136427765,4.839635326456143,4.910935177614533,5.140993226451695,0,0,0,0
10,0,0.9,0.9,,0.9,5.962347673048876,5.962347673048876,,5.962347673048876,0,0,0,0
10,10,0.87,0.87,0.87,0.93,5.345739024089452,6.097496609685342,11.122736664187402,5.962347673048876,0,0,0,0
10,20,0.81,0.75,0.82,0.88,4.608487699658998,4.7877577611951745,7.103398589154814,5.962347673048876,0,0,0,0
10,30,0.78,0.81,0.82,0.86,4.105157467324798,5.406787662310633,5.993737469276935,5.962347673048876,0,0,0,0
10,40,0.83,0.79,0.85,0.9,4.19300297511627,5.28022417264898,5.05607455720763,5.962347673048876,0,0,0,0
10,50,0.83,0.78,0.83,0.91,4.127510096377575,4.807937612346263,4.92163909487728,5.962347673048876,0,0,0,0
11,0,0.88,0.88,,0.88,5.35134525845235,5.35134525845235,,5.35134525845235,0,0,0,0
11,10,0.79,0.93,0.82,0.84,4.762795980544466,8.104365171012624,10.610973990303176,5.35134525845235,0,0,0,0
11,20,0.79,0.77,0.7,0.83,4.43317865144531,5.2649073966732445,6.617848835836307,5.35134525845235,0,0,0,0
11,30,0.82,0.78,0.79,0.92,4.331991864012769,5.476155712533165,6.056105368886994,5.35134525845235,0,0,0,0
11,40,0.79,0.8,0.85,0.86,4.41454727340308,5.220363090956932,5.543921587619176,5.35134525845235,0,0,0,0
11,50,0.81,0.8,0.79,0.87,4.114079830110268,4.809428758569422,4.802168458405792,5.35134525845235,0,0,0,0
12,0,0.95,0.95,,0.95,6.595016208863671,6.595016208863671,,6.595016208863671,0,0,0,0
12,10,0.9,0.86,0.88,0.92,5.51460619735721,6.487897534751129,10.126492245353486,6.595016208863671,0,0,0,0
12,20,0.86,0.84,0.81,0.95,5.123804502435884,5.031389045581948,6.515840748454517,6.595016208863671,0,0,0,0
12,30,0.78,0.83,0.79,0.9,4.494476085656165,5.847754289699854,5.817737137113966,6.595016208863671,0,0,0,0
12,40,0.74,0.76,0.77,0.89,4.181172997969543,5.054635925435923,4.903640088422489,6.595016208863671,0,0,0,0
12,50,0.79,0.8,0.8,0.89,4.334287818365876,5.0026331771891055,5.0776623775805785,6.595016208863671,0,0,0,0
13,0,0.83,0.83,,0.83,5.664473489032643,5.664473489032643,,5.664473489032643,0,0,0,0
13,10,0.85,0.84,0.86,0.89,4.716500084527846,5.470247823407512,11.273588308892446,5.664473489032643,0,0,0,0
13,20,0.76,0.8,0.8,0.85,4.303799867769008,5.058543866770912,7.203321610454287,5.664473489032643,0,0,0,0
13,30,0.85,0.83,0.83,0.91,4.287175484106907,5.440192304683994,5.394950210546508,5.664473489032643,0,0,0,0
13,40,0.82,0.8,0.79,0.87,4.380016002340874,5.2678852156658165,5.10519853161628,5.664473489032643,0,0,0,0
13,50,0.8,0.79,0.79,0.87,4.357463099165617,4.830236751175905,4.99583648099496,5.664473489032643,0,0,0,0
14,0,0.82,0.82,,0.82,5.633664593172971,5.633664593172971,,5.633664593172971,0,0,0,0
14,10,0.83,0.83,0.81,0.86,5.158179593397037,5.678659963054592,10.176102738020022,5.633664593172971,0,0,0,0
14,20,0.84,0.79,0.93,0.93,4.779463218390553,4.68401914613087,7.997016559382121,5.633664593172971,0,0,0,0
14,30,0.78,0.81,0.85,0.85,4.26863030539837,5.731109220389827,5.66036857677837,5.633664593172971,0,0,0,0
14,40,0.82,0.77,0.79,0.88,4.030026259519754,5.044878088893329,5.144655976627686,5.633664593172971,0,0,0,0
14,50,0.81,0.87,0.87,0.9,4.30051185645811,4.879783293086462,4.892629591594373,5.633664593172971,0,0,0,0
15,0,0.89,0.89,,0.89,6.517449438504954,6.517449438504954,,6.517449438504954,0,0,0,0
15,10,0.87,0.85,0.85,0.92,5.808450461904117,6.634331974374254,10.184574785426179,6.517449438504954,0,0,0,0
15,20,0.75,0.81,0.82,0.81,5.350687875877228,5.293340372354306,7.088788766298849,6.517449438504954,0,0,0,0
15,30,0.74,0.76,0.77,0.82,4.47176820050524,5.673257339273687,5.50307960153359,6.517449438504954,0,0,0,0
15,40,0.79,0.78,0.79,0.89,4.474241881285339,5.344595931126131,5.601676007663393,6.517449438504954,0,0,0,0
15,50,0.86,0.87,0.89,0.9,4.319832789940477,5.12283977648758,4.878973500782835,6.517449438504954,0,0,0,0
16,0,0.88,0.88,,0.88,5.316831144272342,5.316831144272342,,5.316831144272342,0,0,0,0
16,10,0.77,0.82,0.83,0.8,4.791577579895911,5.611300159097137,10.445800570388792,5.316831144272342,0,0,0,0
16,20,0.76,0.73,0.86,0.84,4.3965722883606215,4.299818074102467,7.050300225878529,5.316831144272342,0,0,0,0
16,30,0.8,0.79,0.79,0.84,4.472320091304491,5.905337329398105,6.127663745073269,5.316831144272342,0,0,0,0
16,40,0.81,0.79,0.83,0.84,4.103776725085879,5.083731987757842,4.937343795156835,5.316831144272342,0,0,0,0
16,50,0.81,0.76,0.79,0.85,4.179555459915891,4.801570419568417,4.81573474034971,5.316831144272342,0,0,0,0
17,0,0.88,0.88,,0.88,4.9974397637467565,4.9974397637467565,,4.9974397637467565,0,0,0,0
