experiment,o_observed,coverage_donor_none,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_ols,infinite_stdcp,infinite_hcp
1,0,0.94,0.94,,0.94,5.869987429396151,5.869987429396151,,5.869987429396151,0,0,0,0
1,10,0.82,0.8,0.88,0.88,5.084998977049197,4.879002356614001,10.291413175413954,5.869987429396151,0,0,0,0
1,20,0.86,0.9,0.84,0.9,4.605988494084837,4.913259350382724,6.199192941472871,5.869987429396151,0,0,0,0
1,30,0.86,0.82,0.84,0.92,4.211735507286562,5.344049863299717,6.641409501025075,5.869987429396151,0,0,0,0
1,40,0.86,0.9,0.84,0.96,4.319524932487903,4.728612915986103,5.194109759139138,5.869987429396151,0,0,0,0
1,50,0.82,0.82,0.84,0.88,4.113815207688192,4.965202109602231,5.292448664990911,5.869987429396151,0,0,0,0
1,100,0.82,0.86,0.84,0.88,4.3932830213498075,4.682985804550812,4.557764084057301,5.869987429396151,0,0,0,0
1,200,0.84,0.88,0.88,0.88,4.092494723807133,4.238726867970907,4.208560260665143,5.869987429396151,0,0,0,0
2,0,0.9,0.9,,0.9,6.207354395518572,6.207354395518572,,6.207354395518572,0,0,0,0
2,10,0.94,0.96,0.84,0.98,5.449351704089438,6.390205620873495,10.819265066814575,6.207354395518572,0,0,0,0
2,20,0.8,0.82,0.8,0.9,4.916289226335916,4.8615837602895,7.730898063797966,6.207354395518572,0,0,0,0
2,30,0.92,0.92,0.94,0.96,4.373569024009271,5.306426939400778,6.15578018191399,6.207354395518572,0,0,0,0
2,40,0.82,0.76,0.8,0.92,4.329091880191966,4.705407982853778,5.667691591027705,6.207354395518572,0,0,0,0
2,50,0.84,0.82,0.82,0.92,4.281853983462526,4.819320574140366,5.270436656358807,6.207354395518572,0,0,0,0
2,100,0.8,0.82,0.76,0.9,4.158400772664159,4.508612758134227,4.326259499066065,6.207354395518572,0,0,0,0
2,200,0.8,0.8,0.76,0.92,3.9721351987161126,4.045888507073041,4.241861019096911,6.207354395518572,0,0,0,0
3,0,0.88,0.88,,0.88,6.146080678556611,6.146080678556611,,6.146080678556611,0,0,0,0
3,10,0.68,0.68,0.8,0.8,4.672731209088266,5.090649646890723,9.512504817303512,6.146080678556611,0,0,0,0
3,20,0.8,0.82,0.72,0.9,4.39477535257545,4.709035211025538,7.700210142822922,6.146080678556611,0,0,0,0
3,30,0.78,0.78,0.84,0.94,4.295196174360257,4.763824677032536,5.968964127271369,6.146080678556611,0,0,0,0
3,40,0.78,0.68,0.8,0.84,4.279375919012176,4.405464031019607,5.027074397761163,6.146080678556611,0,0,0,0
3,50,0.88,0.9,0.76,0.88,4.454794249663488,4.927584899369844,4.995730147796899,6.146080678556611,0,0,0,0
3,100,0.76,0.76,0.74,0.84,4.222511881152204,4.370503206339222,4.498477753849855,6.146080678556611,0,0,0,0
3,200,0.8,0.84,0.76,0.94,4.318738107643941,4.377492886943209,4.336774355197087,6.146080678556611,0,0,0,0
4,0,0.92,0.92,,0.92,5.691426889512948,5.691426889512948,,5.691426889512948,0,0,0,0
4,10,0.86,0.88,0.82,0.9,4.543923722260632,4.707274396947314,10.322880341537324,5.691426889512948,0,0,0,0
4,20,0.78,0.82,0.8,0.92,4.126623739442886,4.070524240620353,8.48914521498566,5.691426889512948,0,0,0,0
