experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
1,0,0.93,0.93,,0.93,52.50184876204232,52.50184876204232,,52.50184876204232,0,0,0,0
1,10,0.83,0.83,0.86,0.86,33.9902746231587,48.29411443096227,10.535560441212107,52.50184876204232,0,0,0,0
1,20,0.83,0.82,0.89,0.86,24.322384952671214,45.83254237639602,5.501827729910907,52.50184876204232,0,0,0,0
1,30,0.93,0.92,0.93,0.92,5.531758452983572,13.452289691196864,5.838916901559125,52.50184876204232,0,0,0,0
1,40,0.91,0.89,0.91,0.94,4.720221272698701,14.43391324890846,4.638227548905693,52.50184876204232,0,0,0,0
2,0,0.98,0.98,,0.98,38.701292239681294,38.701292239681294,,38.701292239681294,0,0,0,0
2,10,0.99,0.98,0.87,0.99,24.90899000632536,32.59805698224568,13.96930577951116,38.701292239681294,0,0,0,0
2,20,0.97,0.99,0.86,1.0,16.75177569301195,29.770461718480114,5.562840689782101,38.701292239681294,0,0,0,0
2,30,0.94,0.92,0.95,0.99,5.633905417449871,12.978047365843011,5.764892184659682,38.701292239681294,0,0,0,0
2,40,0.86,0.89,0.9,1.0,4.753402095979876,13.598623000037163,4.637501768004633,38.701292239681294,0,0,0,0
3,0,0.9,0.9,,0.9,38.64061521358628,38.64061521358628,,38.64061521358628,0,0,0,0
3,10,0.9,0.87,0.83,0.91,25.51831057000885,35.527929841368326,9.730331867812144,38.64061521358628,0,0,0,0
3,20,0.78,0.81,0.93,0.88,15.845791742529265,27.029708139528516,5.963555996240229,38.64061521358628,0,0,0,0
3,30,0.89,0.9,0.95,0.96,5.230145737306769,13.176620320454548,5.558407806715746,38.64061521358628,0,0,0,0
3,40,0.93,0.95,0.91,0.89,4.817162523172747,16.256452489378926,4.737785045310259,38.64061521358628,0,0,0,0
4,0,1.0,1.0,,1.0,46.684593054322214,46.684593054322214,,46.684593054322214,0,0,0,0
4,10,0.97,0.97,0.78,0.98,30.31715224064904,42.78873682288564,10.61532095137672,46.684593054322214,0,0,0,0
4,20,1.0,1.0,0.89,1.0,21.823578912015822,40.42190358340896,5.908547321109822,46.684593054322214,0,0,0,0
4,30,0.91,0.82,0.91,0.99,5.459243921841828,10.92043515376281,5.362845979210451,46.684593054322214,0,0,0,0
4,40,0.92,0.92,0.91,1.0,4.706986078858209,10.396987160394302,4.579163731954003,46.684593054322214,0,0,0,0
5,0,0.93,0.93,,0.93,36.52132084977316,36.52132084977316,,36.52132084977316,0,0,0,0
