experiment,o_observed,coverage_donor_none,coverage_donor_mean,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_mean,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_mean,infinite_donor_ols,infinite_stdcp,infinite_hcp
1,0,0.92,0.92,0.92,,0.92,1.962867617687111,1.962867617687111,1.962867617687111,,1.962867617687111,0,0,0,0,0
1,10,0.91,0.88,0.85,0.85,0.96,1.763626918082998,1.8898079767496698,2.59993046356807,4.906175614762171,1.962867617687111,0,0,0,0,0
1,20,0.77,0.76,0.79,0.75,0.85,1.60903060360587,1.7175938513645115,1.7950720455118359,1.9176810334209855,1.962867617687111,0,0,0,0,0
1,30,0.75,0.79,0.76,0.8,0.84,1.5245535870398514,2.367591519452448,1.8521953597798122,1.7591625055738325,1.962867617687111,0,0,0,0,0
1,40,0.78,0.82,0.79,0.75,0.91,1.3013097971798226,2.269157920067114,1.45600227298303,1.4120908999590602,1.962867617687111,0,0,0,0,0
1,50,0.75,0.87,0.76,0.79,0.91,1.4659643361060535,2.3447961262183683,1.6177640421559332,1.596926282686884,1.962867617687111,0,0,0,0,0
2,0,0.94,0.94,0.94,,0.94,2.2096861060151047,2.2096861060151047,2.2096861060151047,,2.2096861060151047,0,0,0,0,0
2,10,0.91,0.89,0.92,0.82,0.94,2.000656007764933,2.0425581422628083,6.178450111635536,5.381546518012582,2.2096861060151047,0,0,0,0,0
2,20,0.86,0.9,0.9,0.83,0.94,1.7691307435269739,1.931606648431138,1.8769953732845168,2.1426293864167283,2.2096861060151047,0,0,0,0,0
2,30,0.83,0.77,0.87,0.82,0.97,1.407576656371237,2.2444062106349474,1.6120847232453683,1.5746923290960269,2.2096861060151047,0,0,0,0,0
2,40,0.81,0.83,0.75,0.8,0.95,1.4595159958916852,2.252393120745879,1.4451008233590987,1.458668273973224,2.2096861060151047,0,0,0,0,0
2,50,0.81,0.83,0.82,0.85,0.93,1.422641379586719,2.2564058898540296,1.5827272116189204,1.5603611292844106,2.2096861060151047,0,0,0,0,0
3,0,0.91,0.91,0.91,,0.91,1.7247595889155654,1.7247595889155654,1.7247595889155654,,1.7247595889155654,0,0,0,0,0
3,10,0.83,0.81,0.78,0.78,0.87,1.5209752510184935,1.7651413583420101,2.0722417635182495,4.136865341204068,1.7247595889155654,0,0,0,0,0
3,20,0.81,0.76,0.82,0.79,0.87,1.437135189520804,1.5132821569646602,1.537406772709784,1.8961220760904727,1.7247595889155654,0,0,0,0,0
3,30,0.82,0.82,0.82,0.8,0.87,1.448082804640708,2.2824676442089533,1.7284057039075091,1.7416956860299746,1.7247595889155654,0,0,0,0,0
3,40,0.8,0.78,0.81,0.8,0.86,1.3559344623192653,2.2558332054144126,1.4531740566274904,1.4629181871635053,1.7247595889155654,0,0,0,0,0
3,50,0.8,0.79,0.81,0.77,0.85,1.5423169107612191,2.2629717218052985,1.6566508143603427,1.6914006582249488,1.7247595889155654,0,0,0,0,0
4,0,0.91,0.91,0.91,,0.91,2.014232238875719,2.014232238875719,2.014232238875719,,2.014232238875719,0,0,0,0,0
4,10,0.92,0.86,0.93,0.85,0.92,1.784116419864679,1.757606361715187,8.697386619310286,5.682596029830729,2.014232238875719,0,0,0,0,0
