experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
1,0,0.88,0.88,,0.88,1.962867617687111,1.962867617687111,,1.962867617687111,0,0,0,0
1,10,0.88,0.89,0.83,0.91,1.92454744254662,1.763626918082998,5.596749878509375,1.962867617687111,0,0,0,0
1,20,0.72,0.77,0.81,0.82,1.7175938513645113,1.60903060360587,2.0248251974512956,1.962867617687111,0,0,0,0
2,0,0.9,0.9,,0.9,1.8326755063970201,1.8326755063970201,,1.8326755063970201,0,0,0,0
2,10,0.85,0.82,0.87,0.93,1.6381444079795546,1.5253939004841754,5.378399317312461,1.8326755063970201,0,0,0,0
2,20,0.79,0.78,0.79,0.9,1.6463849025900263,1.365063113959653,2.0271487142717692,1.8326755063970201,0,0,0,0
3,0,0.83,0.83,,0.83,1.5156598426894108,1.5156598426894108,,1.5156598426894108,0,0,0,0
3,10,0.8,0.79,0.77,0.83,1.543771703649134,1.3398812976623797,5.195643151655872,1.5156598426894108,0,0,0,0
3,20,0.8,0.76,0.82,0.87,1.5319765125623888,1.195094098253453,1.9500857423040552,1.5156598426894108,0,0,0,0
4,0,0.88,0.88,,0.88,1.7152021408174432,1.7152021408174432,,1.7152021408174432,0,0,0,0
4,10,0.77,0.77,0.86,0.85,1.6117915459342556,1.3572492489254886,4.419382749611573,1.7152021408174432,0,0,0,0
4,20,0.73,0.76,0.8,0.84,1.4968317386551528,1.2575395530901163,2.0819967479033914,1.7152021408174432,0,0,0,0
5,0,0.86,0.86,,0.86,2.0497795355519166,2.0497795355519166,,2.0497795355519166,0,0,0,0
5,10,0.85,0.84,0.76,0.86,1.8684301273571569,1.8538750940160447,5.172110647403796,2.0497795355519166,0,0,0,0
5,20,0.89,0.86,0.82,0.93,1.8936547303364533,1.74408997698837,1.851142636854734,2.0497795355519166,0,0,0,0
6,0,0.88,0.88,,0.88,2.046192523233601,2.046192523233601,,2.046192523233601,0,0,0,0
6,10,0.88,0.91,0.82,0.95,1.7301974751188358,1.7856773592531714,5.566287703233115,2.046192523233601,0,0,0,0
6,20,0.78,0.82,0.8,0.89,1.5979770766075823,1.5275598879205519,2.0009482554376743,2.046192523233601,0,0,0,0
7,0,0.95,0.95,,0.95,1.6632483640124955,1.6632483640124955,,1.6632483640124955,0,0,0,0
7,10,0.79,0.81,0.79,0.84,1.653948192418354,1.5385383641802495,5.325158960291235,1.6632483640124955,0,0,0,0
7,20,0.73,0.73,0.8,0.8,1.5791523174556916,1.3372907022105167,1.8982556626825664,1.6632483640124955,0,0,0,0
8,0,0.85,0.85,,0.85,1.643651834940575,1.643651834940575,,1.643651834940575,0,0,0,0
8,10,0.87,0.87,0.85,0.9,1.7061680122468892,1.495047691369193,5.102034594267481,1.643651834940575,0,0,0,0
8,20,0.76,0.77,0.77,0.87,1.5817983821669817,1.3289735864350831,1.9230533631276805,1.643651834940575,0,0,0,0
9,0,0.87,0.87,,0.87,1.5783293612243718,1.5783293612243718,,1.5783293612243718,0,0,0,0
9,10,0.8,0.82,0.82,0.84,1.6839294867324561,1.4553733816963517,4.827103503968101,1.5783293612243718,0,0,0,0
9,20,0.74,0.78,0.81,0.82,1.5339544859990992,1.3127307778154909,2.079898054885847,1.5783293612243718,0,0,0,0
10,0,0.91,0.91,,0.91,2.2763818740138415,2.2763818740138415,,2.2763818740138415,0,0,0,0
10,10,0.86,0.87,0.84,0.89,2.016003512773624,2.0027493333294375,5.028887906699854,2.2763818740138415,0,0,0,0
10,20,0.78,0.74,0.83,0.88,1.9938450667172487,1.768457243841123,2.0335194420077656,2.2763818740138415,0,0,0,0
11,0,0.89,0.89,,0.89,1.9044089379710676,1.9044089379710676,,1.9044089379710676,0,0,0,0
11,10,0.88,0.86,0.87,0.88,1.9515872375532162,1.6869238093263927,5.744098023316562,1.9044089379710676,0,0,0,0
11,20,0.9,0.9,0.82,0.96,1.8505783496711024,1.5519301738766549,1.90452889788919,1.9044089379710676,0,0,0,0
12,0,0.9,0.9,,0.9,2.0958072497621956,2.0958072497621956,,2.0958072497621956,0,0,0,0
12,10,0.92,0.92,0.77,0.94,2.066136280396174,1.9800389470176067,4.883087028441338,2.0958072497621956,0,0,0,0
12,20,0.93,0.9,0.79,0.9,2.162764067529592,1.8968450786306108,1.8962350037426923,2.0958072497621956,0,0,0,0
13,0,0.91,0.91,,0.91,1.9717811114446313,1.9717811114446313,,1.9717811114446313,0,0,0,0
13,10,0.82,0.87,0.88,0.9,1.747626230407731,1.8410033667997219,6.398079636963278,1.9717811114446313,0,0,0,0
13,20,0.82,0.85,0.86,0.91,1.619476173606308,1.6979571560004123,1.9101328980051429,1.9717811114446313,0,0,0,0
14,0,0.78,0.78,,0.78,1.583567281402867,1.583567281402867,,1.583567281402867,0,0,0,0
14,10,0.83,0.79,0.81,0.82,1.6322955517758206,1.4831545284022112,5.352358249671193,1.583567281402867,0,0,0,0
14,20,0.71,0.84,0.89,0.86,1.5849571502151623,1.3590873819682905,2.1166511558182437,1.583567281402867,0,0,0,0
15,0,0.87,0.87,,0.87,1.6759859051651749,1.6759859051651749,,1.6759859051651749,0,0,0,0
15,10,0.77,0.82,0.87,0.93,1.3244325301234423,1.3991715472717938,6.217237318675973,1.6759859051651749,0,0,0,0
15,20,0.72,0.73,0.83,0.83,1.4553400283117015,1.2562982445491393,1.9632995158187625,1.6759859051651749,0,0,0,0
16,0,0.87,0.87,,0.87,1.6745746355209699,1.6745746355209699,,1.6745746355209699,0,0,0,0
16,10,0.88,0.87,0.9,0.9,1.6635619496958554,1.4600396328498233,4.8226297203507045,1.6745746355209699,0,0,0,0
16,20,0.77,0.76,0.79,0.86,1.59158003826703,1.3706019748748424,2.0196356154993653,1.6745746355209699,0,0,0,0
17,0,0.79,0.79,,0.79,1.4703133482619049,1.4703133482619049,,1.4703133482619049,0,0,0,0
17,10,0.68,0.73,0.8,0.78,1.3287125732671934,1.280334394734525,4.892714282721087,1.4703133482619049,0,0,0,0
17,20,0.67,0.69,0.82,0.8,1.3213859750879517,1.1883637465108807,2.1271857795284346,1.4703133482619049,0,0,0,0
18,0,0.88,0.88,,0.88,1.879798252150242,1.879798252150242,,1.879798252150242,0,0,0,0
18,10,0.88,0.87,0.89,0.9,1.7945729781152036,1.6932026073675988,4.578193277421422,1.879798252150242,0,0,0,0
