experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
1,0,0.92,0.92,,0.92,1.962867617687111,1.962867617687111,,1.962867617687111,0,0,0,0
1,10,0.88,0.91,0.85,0.96,1.8898079767496698,1.763626918082998,4.906175614762171,1.962867617687111,0,0,0,0
1,20,0.76,0.77,0.75,0.85,1.7175938513645115,1.60903060360587,1.9176810334209855,1.962867617687111,0,0,0,0
1,30,0.79,0.75,0.8,0.84,2.367591519452448,1.5245535870398514,1.7591625055738325,1.962867617687111,0,0,0,0
1,40,0.82,0.78,0.75,0.91,2.269157920067114,1.3013097971798226,1.4120908999590602,1.962867617687111,0,0,0,0
1,50,0.87,0.75,0.79,0.91,2.3447961262183683,1.4659643361060535,1.596926282686884,1.962867617687111,0,0,0,0
2,0,0.94,0.94,,0.94,2.2096861060151047,2.2096861060151047,,2.2096861060151047,0,0,0,0
2,10,0.89,0.91,0.82,0.94,2.0425581422628083,2.000656007764933,5.381546518012582,2.2096861060151047,0,0,0,0
2,20,0.9,0.86,0.83,0.94,1.931606648431138,1.7691307435269739,2.1426293864167283,2.2096861060151047,0,0,0,0
2,30,0.77,0.83,0.82,0.97,2.2444062106349474,1.407576656371237,1.5746923290960269,2.2096861060151047,0,0,0,0
2,40,0.83,0.81,0.8,0.95,2.252393120745879,1.4595159958916852,1.458668273973224,2.2096861060151047,0,0,0,0
2,50,0.83,0.81,0.85,0.93,2.2564058898540296,1.422641379586719,1.5603611292844106,2.2096861060151047,0,0,0,0
3,0,0.91,0.91,,0.91,1.7247595889155654,1.7247595889155654,,1.7247595889155654,0,0,0,0
3,10,0.81,0.83,0.78,0.87,1.7651413583420101,1.5209752510184935,4.136865341204068,1.7247595889155654,0,0,0,0
3,20,0.76,0.81,0.79,0.87,1.5132821569646602,1.437135189520804,1.8961220760904727,1.7247595889155654,0,0,0,0
3,30,0.82,0.82,0.8,0.87,2.2824676442089533,1.448082804640708,1.7416956860299746,1.7247595889155654,0,0,0,0
3,40,0.78,0.8,0.8,0.86,2.2558332054144126,1.3559344623192653,1.4629181871635053,1.7247595889155654,0,0,0,0
3,50,0.79,0.8,0.77,0.85,2.2629717218052985,1.5423169107612191,1.6914006582249488,1.7247595889155654,0,0,0,0
4,0,0.91,0.91,,0.91,2.014232238875719,2.014232238875719,,2.014232238875719,0,0,0,0
4,10,0.86,0.92,0.85,0.92,1.757606361715187,1.784116419864679,5.682596029830729,2.014232238875719,0,0,0,0
4,20,0.79,0.78,0.75,0.92,1.6280590426670853,1.6121458956720398,1.977456225359919,2.014232238875719,0,0,0,0
4,30,0.79,0.81,0.84,0.92,2.392519200588726,1.515728009401189,1.7546977677331324,2.014232238875719,0,0,0,0
4,40,0.87,0.86,0.84,0.92,2.1940329466299593,1.5405393673524328,1.715719783779525,2.014232238875719,0,0,0,0
4,50,0.78,0.85,0.83,0.94,2.2892838003990894,1.4485852476950138,1.526019344306025,2.014232238875719,0,0,0,0
5,0,0.81,0.81,,0.81,1.4878477010731865,1.4878477010731865,,1.4878477010731865,0,0,0,0
5,10,0.8,0.74,0.77,0.79,1.5646777368219906,1.2965067451560075,5.578385122534302,1.4878477010731865,0,0,0,0
5,20,0.81,0.71,0.75,0.81,1.6532203745678304,1.2454206239148284,2.041418502522058,1.4878477010731865,0,0,0,0
5,30,0.82,0.75,0.76,0.84,2.3380769544871303,1.4068367039661664,1.5566198272535807,1.4878477010731865,0,0,0,0
5,40,0.83,0.83,0.8,0.74,2.2883347191248395,1.545513873753856,1.6972851920012653,1.4878477010731865,0,0,0,0
5,50,0.78,0.78,0.81,0.71,2.3105747122246614,1.4753993159251388,1.5472524617093515,1.4878477010731865,0,0,0,0
6,0,0.88,0.88,,0.88,1.6882917760166583,1.6882917760166583,,1.6882917760166583,0,0,0,0
6,10,0.85,0.83,0.87,0.88,1.669799634843388,1.5298402390967167,5.052684382211821,1.6882917760166583,0,0,0,0
6,20,0.84,0.85,0.81,0.88,1.7744362574936678,1.3918844331993565,2.033252503472562,1.6882917760166583,0,0,0,0
6,30,0.77,0.79,0.83,0.84,2.2325047516013745,1.4155352743826612,1.6742107470916863,1.6882917760166583,0,0,0,0
6,40,0.79,0.77,0.77,0.83,2.2230479513507664,1.3567349312757182,1.4981723425216948,1.6882917760166583,0,0,0,0
6,50,0.83,0.81,0.84,0.86,2.2662075130024775,1.4223009184100355,1.4988990530392194,1.6882917760166583,0,0,0,0
7,0,0.9,0.9,,0.9,2.0823193623664897,2.0823193623664897,,2.0823193623664897,0,0,0,0
7,10,0.83,0.85,0.83,0.86,2.0763674821867015,1.8400244513213044,5.251118709067557,2.0823193623664897,0,0,0,0
7,20,0.8,0.85,0.84,0.91,1.8884215110307907,1.6894335968192515,1.989530438158618,2.0823193623664897,0,0,0,0
7,30,0.81,0.82,0.82,0.93,2.1870456033794623,1.4161444496192437,1.7655304928699755,2.0823193623664897,0,0,0,0
7,40,0.78,0.71,0.8,0.92,2.2391328209552923,1.4722704601424663,1.5879520227468902,2.0823193623664897,0,0,0,0
7,50,0.84,0.77,0.84,0.91,2.2913639036153524,1.4230758017074248,1.510983741344473,2.0823193623664897,0,0,0,0
8,0,0.84,0.84,,0.84,1.5776437503866338,1.5776437503866338,,1.5776437503866338,0,0,0,0
8,10,0.86,0.9,0.85,0.91,1.5552894872639806,1.424002441020524,5.184791513792729,1.5776437503866338,0,0,0,0
8,20,0.8,0.84,0.77,0.92,1.4832551855378648,1.3180207492077678,1.9965436648420705,1.5776437503866338,0,0,0,0
8,30,0.79,0.86,0.76,0.86,2.1789621363059446,1.4748916318482561,1.7038834437439685,1.5776437503866338,0,0,0,0
8,40,0.85,0.81,0.85,0.85,2.241427281399288,1.4737765988804037,1.5406051411300474,1.5776437503866338,0,0,0,0
8,50,0.72,0.81,0.79,0.85,2.3046839656280724,1.426475438814815,1.53462930872205,1.5776437503866338,0,0,0,0
9,0,0.89,0.89,,0.89,1.8616306124285988,1.8616306124285988,,1.8616306124285988,0,0,0,0
9,10,0.9,0.86,0.85,0.93,1.6724721816359462,1.6802959809292757,6.062230702808788,1.8616306124285988,0,0,0,0
9,20,0.82,0.85,0.87,0.93,1.6351706563912745,1.5415507003950855,1.862951999050576,1.8616306124285988,0,0,0,0
9,30,0.79,0.78,0.78,0.91,2.308509964474772,1.3819756380575177,1.6530968974245361,1.8616306124285988,0,0,0,0
9,40,0.82,0.87,0.83,0.93,2.2900638220612715,1.507687811957189,1.6443979978068402,1.8616306124285988,0,0,0,0
9,50,0.86,0.83,0.82,0.85,2.2746506088405747,1.5226034943811158,1.5987550355899784,1.8616306124285988,0,0,0,0
10,0,0.93,0.93,,0.93,2.0197418963245113,2.0197418963245113,,2.0197418963245113,0,0,0,0
10,10,0.92,0.86,0.83,0.92,1.7448173464423673,1.7216893939539455,4.3680251360456035,2.0197418963245113,0,0,0,0
10,20,0.83,0.87,0.77,0.95,1.805237039390172,1.6036590503700348,2.0173134558393766,2.0197418963245113,0,0,0,0
10,30,0.78,0.78,0.8,0.92,2.310942461671633,1.5482953151089667,1.7684646588876003,2.0197418963245113,0,0,0,0
10,40,0.81,0.78,0.8,0.92,2.1849778577980663,1.2779143054341404,1.4141315923475692,2.0197418963245113,0,0,0,0
10,50,0.8,0.82,0.83,0.9,2.3263833767352526,1.4778573820623337,1.5833826099514596,2.0197418963245113,0,0,0,0
11,0,0.88,0.88,,0.88,1.8168216537259072,1.8168216537259072,,1.8168216537259072,0,0,0,0
11,10,0.84,0.81,0.82,0.82,1.9640136852125576,1.7106962836302864,5.277511101438127,1.8168216537259072,0,0,0,0
11,20,0.79,0.82,0.76,0.89,1.7312595782883802,1.575633538455378,2.044984111995593,1.8168216537259072,0,0,0,0
11,30,0.85,0.83,0.83,0.91,2.2071849900775353,1.5014394304467824,1.7030838559429973,1.8168216537259072,0,0,0,0
11,40,0.83,0.79,0.8,0.89,2.2609207094104393,1.4374500445261553,1.6729236983713203,1.8168216537259072,0,0,0,0
11,50,0.77,0.86,0.85,0.93,2.33863989488508,1.4420021624032975,1.5295618237310045,1.8168216537259072,0,0,0,0
