experiment,o_observed,coverage_donor_hcp_randomized,coverage_donor_hcp_derandomized,coverage_sample_hcp_randomized,coverage_sample_hcp_derandomized,coverage_stdcp,coverage_hcp,coverage_pool,coverage_sub,coverage_rep,width_donor_hcp_randomized,width_donor_hcp_derandomized,width_sample_hcp_randomized,width_sample_hcp_derandomized,width_stdcp,width_hcp,width_pool,width_sub,width_rep,infinite_donor_hcp_randomized,infinite_donor_hcp_derandomized,infinite_sample_hcp_randomized,infinite_sample_hcp_derandomized,infinite_stdcp,infinite_hcp,infinite_pool,infinite_sub,infinite_rep,test_sample_size_o
1,0,1.0,1.0,0.95,1.0,1.0,1.0,0.93,0.95,0.95,9.325839928779999,inf,6.145212156380026,inf,inf,9.325839928779999,5.9360191851883,7.1987053234328116,6.761047838669846,0,100,0,100,100,0,0,0,0,0
1,5,1.0,1.0,0.94,0.97,0.78,1.0,0.93,0.95,0.95,8.712305852251902,inf,5.932528520383528,7.157969797714507,6.406924662479707,9.325839928779999,5.9360191851883,7.1987053234328116,6.761047838669846,0,100,0,0,0,0,0,0,0,5
1,10,0.95,1.0,0.95,0.97,0.79,1.0,0.93,0.95,0.95,7.1987053234328116,11.033972771047608,5.932528520383528,7.072747152310058,16.382760730139243,9.325839928779999,5.9360191851883,7.1987053234328116,6.761047838669846,0,0,0,0,0,0,0,0,0,10
1,15,0.95,1.0,0.93,0.97,0.89,1.0,0.93,0.95,0.95,6.632317230835483,8.90950392622102,5.77078228693648,6.824930391859596,10.01714550600478,9.325839928779999,5.9360191851883,7.1987053234328116,6.761047838669846,0,0,0,0,0,0,0,0,0,15
1,20,0.92,0.96,0.93,0.96,0.91,1.0,0.93,0.95,0.95,5.9425521034890565,7.171027434843303,5.695603182872922,7.053042045087793,8.325038208702447,9.325839928779999,5.9360191851883,7.1987053234328116,6.761047838669846,0,0,0,0,0,0,0,0,0,20
2,0,0.99,1.0,0.96,1.0,1.0,0.99,0.89,0.94,0.91,9.047438502786108,inf,6.46730207504379,inf,inf,9.047438502786108,5.508526003228447,6.955836921115996,6.153727768739131,0,100,0,100,100,0,0,0,0,0
2,5,0.96,1.0,0.89,0.96,0.69,0.99,0.89,0.94,0.91,7.409789501943045,inf,5.836152769317611,7.302532126000401,5.701066706743092,9.047438502786108,5.508526003228447,6.955836921115996,6.153727768739131,0,100,0,0,0,0,0,0,0,5
2,10,0.93,0.99,0.89,0.95,0.83,0.99,0.89,0.94,0.91,6.551338508501011,9.204841921557751,5.861936085636621,6.961981091681196,14.731292795851312,9.047438502786108,5.508526003228447,6.955836921115996,6.153727768739131,0,0,0,0,0,0,0,0,0,10
2,15,0.91,0.95,0.9,0.95,0.88,0.99,0.89,0.94,0.91,6.221857804829739,7.3936649342617855,5.836152769317611,6.664254180586944,9.788884209856384,9.047438502786108,5.508526003228447,6.955836921115996,6.153727768739131,0,0,0,0,0,0,0,0,0,15
2,20,0.91,0.93,0.89,0.94,0.92,0.99,0.89,0.94,0.91,5.847949936491197,6.4950108463857035,5.613915817184808,6.713147643175077,7.539354799610173,9.047438502786108,5.508526003228447,6.955836921115996,6.153727768739131,0,0,0,0,0,0,0,0,0,20
3,0,0.99,1.0,0.91,1.0,1.0,0.99,0.96,0.73,0.95,8.440141577430715,inf,6.395572517567153,inf,inf,8.440141577430715,6.562143661276721,3.5895715851132977,6.499474675883384,0,100,0,100,100,0,0,0,0,0
3,5,0.99,1.0,0.92,0.98,0.77,0.99,0.96,0.73,0.95,8.22364217967337,inf,5.932722295426583,7.081112699016877,6.404780597326543,8.440141577430715,6.562143661276721,3.5895715851132977,6.499474675883384,0,100,0,0,0,0,0,0,0,5
3,10,0.97,0.99,0.92,0.97,0.84,0.99,0.96,0.73,0.95,7.372276321555688,8.901085356836276,5.721491327216633,6.662841012689128,14.26012215278719,8.440141577430715,6.562143661276721,3.5895715851132977,6.499474675883384,0,0,0,0,0,0,0,0,0,10
3,15,0.96,0.98,0.93,0.96,0.89,0.99,0.96,0.73,0.95,7.043198911581335,7.940349712934868,5.818299337650899,6.656659481676698,9.131283761877174,8.440141577430715,6.562143661276721,3.5895715851132977,6.499474675883384,0,0,0,0,0,0,0,0,0,15
3,20,0.96,0.97,0.91,0.96,0.97,0.99,0.96,0.73,0.95,6.9104665603867375,7.190668497722328,5.619766179814203,6.662841012689128,7.915742288570197,8.440141577430715,6.562143661276721,3.5895715851132977,6.499474675883384,0,0,0,0,0,0,0,0,0,20
4,0,0.97,1.0,0.94,1.0,1.0,0.97,0.93,0.96,0.95,7.1965144373914285,inf,6.156615581542361,inf,inf,7.1965144373914285,5.111765111197293,6.855404735241379,6.1373114460304095,0,100,0,100,100,0,0,0,0,0
4,5,0.96,1.0,0.93,0.96,0.74,0.97,0.93,0.96,0.95,6.942468975116341,inf,5.701068017829861,6.546798237230227,5.80182285529909,7.1965144373914285,5.111765111197293,6.855404735241379,6.1373114460304095,0,100,0,0,0,0,0,0,0,5
4,10,0.96,1.0,0.94,0.96,0.71,0.97,0.93,0.96,0.95,6.825039874738259,12.171849389198194,5.468207338162081,6.381608575180152,14.294666478600966,7.1965144373914285,5.111765111197293,6.855404735241379,6.1373114460304095,0,0,0,0,0,0,0,0,0,10
4,15,0.95,0.96,0.93,0.95,0.88,0.97,0.93,0.96,0.95,6.14138552082121,7.050910454905491,5.503168329635123,6.316660922614641,9.178997588282218,7.1965144373914285,5.111765111197293,6.855404735241379,6.1373114460304095,0,0,0,0,0,0,0,0,0,15
4,20,0.91,0.95,0.93,0.96,0.9,0.97,0.93,0.96,0.95,4.9267919622489345,6.3967342895830654,5.422502364561879,6.381608575180152,7.890555127368209,7.1965144373914285,5.111765111197293,6.855404735241379,6.1373114460304095,0,0,0,0,0,0,0,0,0,20
5,0,1.0,1.0,0.92,1.0,1.0,1.0,0.96,0.58,0.97,8.82577976645443,inf,6.962578964998368,inf,inf,8.82577976645443,5.950536846041729,2.798431552469694,6.337227858444031,0,100,0,100,100,0,0,0,0,0
5,5,1.0,1.0,0.93,0.99,0.73,1.0,0.96,0.58,0.97,8.544265549554872,inf,6.0630038626074505,7.267192254627709,5.907920429480033,8.82577976645443,5.950536846041729,2.798431552469694,6.337227858444031,0,100,0,0,0,0,0,0,0,5
5,10,0.97,1.0,0.92,0.98,0.8,1.0,0.96,0.58,0.97,6.259871429239574,10.015094485393826,5.988008469964804,7.180084402904434,15.415292068073668,8.82577976645443,5.950536846041729,2.798431552469694,6.337227858444031,0,0,0,0,0,0,0,0,0,10
5,15,0.96,1.0,0.93,0.98,0.89,1.0,0.96,0.58,0.97,6.0894026796486855,7.99441884556262,6.013520450389741,7.267192254627709,9.156079404433832,8.82577976645443,5.950536846041729,2.798431552469694,6.337227858444031,0,0,0,0,0,0,0,0,0,15
5,20,0.89,0.98,0.93,0.98,0.94,1.0,0.96,0.58,0.97,5.250364470758015,7.283149344571392,5.847389935973872,7.180084402904434,8.343727069586492,8.82577976645443,5.950536846041729,2.798431552469694,6.337227858444031,0,0,0,0,0,0,0,0,0,20
6,0,0.93,1.0,0.91,1.0,1.0,0.93,0.83,0.68,0.87,6.93020174631652,inf,6.415458544008196,inf,inf,6.93020174631652,4.837084746265283,3.8170998605786224,5.269169398067291,0,100,0,100,100,0,0,0,0,0
6,5,0.93,1.0,0.88,0.96,0.78,0.93,0.83,0.68,0.87,6.369533644627765,inf,5.876206773373482,6.974652740726292,5.489632099721387,6.93020174631652,4.837084746265283,3.8170998605786224,5.269169398067291,0,100,0,0,0,0,0,0,0,5
6,10,0.9,0.99,0.87,0.95,0.83,0.93,0.83,0.68,0.87,5.788139062348932,7.959937175902127,5.8920623865693,6.899389370187926,14.046779123616805,6.93020174631652,4.837084746265283,3.8170998605786224,5.269169398067291,0,0,0,0,0,0,0,0,0,10
6,15,0.89,0.93,0.88,0.94,0.9,0.93,0.83,0.68,0.87,5.581177482863026,6.636366154333118,5.937452593931489,6.875849304849247,9.81829646673705,6.93020174631652,4.837084746265283,3.8170998605786224,5.269169398067291,0,0,0,0,0,0,0,0,0,15
6,20,0.86,0.93,0.87,0.95,0.89,0.93,0.83,0.68,0.87,5.101274371359999,6.137288229167176,5.876206773373482,6.899389370187926,8.377338318411088,6.93020174631652,4.837084746265283,3.8170998605786224,5.269169398067291,0,0,0,0,0,0,0,0,0,20
7,0,0.99,1.0,0.95,1.0,1.0,0.99,0.93,0.99,0.98,9.994399529165769,inf,6.3815055978066155,inf,inf,9.994399529165769,6.612222063804467,10.10189476736462,7.732953197704704,0,100,0,100,100,0,0,0,0,0
7,5,0.98,1.0,0.95,0.99,0.78,0.99,0.93,0.99,0.98,8.681563383125287,inf,5.902121016283914,7.097854020934385,6.604369107150152,9.994399529165769,6.612222063804467,10.10189476736462,7.732953197704704,0,100,0,0,0,0,0,0,0,5
7,10,0.98,0.99,0.94,0.98,0.79,0.99,0.93,0.99,0.98,8.486694623382043,10.80891010750959,5.8924866804566705,6.835162832498881,15.140347927941239,9.994399529165769,6.612222063804467,10.10189476736462,7.732953197704704,0,0,0,0,0,0,0,0,0,10
