experiment,o_observed,coverage_donor_none,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_ols,infinite_stdcp,infinite_hcp
1,0,0.9,0.9,,0.9,5.444214860461806,5.444214860461806,,5.444214860461806,0,0,0,0
1,20,0.9,0.9,0.84,0.94,4.99868556839711,5.110099251843682,7.2765149046928554,5.444214860461806,0,0,0,0
1,50,0.82,0.88,0.88,0.92,4.0634062070946735,4.453193903129377,4.702563658626417,5.444214860461806,0,0,0,0
1,100,0.76,0.82,0.72,0.76,4.281674511254315,4.659442616230612,4.534476349066571,5.444214860461806,0,0,0,0
1,200,0.84,0.8,0.82,0.88,4.238862420855773,4.164769014781575,4.392963554624509,5.444214860461806,0,0,0,0
1,300,0.86,0.82,0.82,0.92,4.305028125076199,4.377465104788561,4.322090334323844,5.444214860461806,0,0,0,0
1,500,0.8,0.82,0.82,0.86,4.221746828478469,3.98674573491618,4.192190369556352,5.444214860461806,0,0,0,0
2,0,0.86,0.86,,0.86,5.188248115645851,5.188248115645851,,5.188248115645851,0,0,0,0
2,20,0.8,0.76,0.82,0.84,4.765067026650831,4.801069540507012,7.452392632881734,5.188248115645851,0,0,0,0
2,50,0.7,0.78,0.84,0.88,4.071652686103943,4.838862924927888,5.060563468591354,5.188248115645851,0,0,0,0
2,100,0.76,0.84,0.78,0.88,4.04393989625743,4.587581219474733,4.687793708980194,5.188248115645851,0,0,0,0
2,200,0.86,0.9,0.8,0.92,4.096712445298233,4.280731591831371,4.201875915117931,5.188248115645851,0,0,0,0
2,300,0.78,0.8,0.76,0.84,4.1108259176241795,4.217288650346596,4.226793191338359,5.188248115645851,0,0,0,0
2,500,0.74,0.76,0.78,0.82,4.116316407863788,4.115166403961156,4.113257200543281,5.188248115645851,0,0,0,0
3,0,0.88,0.88,,0.88,5.530144417940343,5.530144417940343,,5.530144417940343,0,0,0,0
3,20,0.82,0.82,0.76,0.84,5.039737187549703,5.286760078019077,7.035171636469066,5.530144417940343,0,0,0,0
3,50,0.8,0.78,0.82,0.96,4.12839281269242,4.452797302899955,4.9292135204667,5.530144417940343,0,0,0,0
3,100,0.72,0.76,0.8,0.82,4.09158672901281,4.32579743239195,4.5233655974308284,5.530144417940343,0,0,0,0
3,200,0.84,0.84,0.88,0.9,4.173360615275521,4.244777260213582,4.383412472632857,5.530144417940343,0,0,0,0
3,300,0.8,0.82,0.82,0.88,4.145521674420685,4.183897483586472,4.162687132740513,5.530144417940343,0,0,0,0
3,500,0.8,0.86,0.8,0.92,4.234113561507742,4.192548719840218,4.250932448492322,5.530144417940343,0,0,0,0
4,0,0.82,0.82,,0.82,4.900126340156468,4.900126340156468,,4.900126340156468,0,0,0,0
4,20,0.84,0.9,0.8,0.9,4.362354980815166,4.8976923056139245,6.294289650153376,4.900126340156468,0,0,0,0
4,50,0.86,0.86,0.78,0.86,4.093112522183093,4.61015527548049,4.97826428176891,4.900126340156468,0,0,0,0
4,100,0.82,0.8,0.82,0.86,4.029544832594616,4.631724813150496,4.651719180980865,4.900126340156468,0,0,0,0
4,200,0.84,0.82,0.86,0.92,4.077437004451594,4.162582153732844,4.249810235456941,4.900126340156468,0,0,0,0
4,300,0.74,0.74,0.68,0.82,4.0661290488947746,4.103799135492076,4.106926704665264,4.900126340156468,0,0,0,0
4,500,0.74,0.72,0.76,0.86,4.074809118676391,3.980312755673064,4.023673169101168,4.900126340156468,0,0,0,0
5,0,0.88,0.88,,0.88,5.477278845356672,5.477278845356672,,5.477278845356672,0,0,0,0
5,20,0.9,0.9,0.82,0.9,4.807582248888814,5.246896047904928,7.562450909452375,5.477278845356672,0,0,0,0
5,50,0.82,0.78,0.8,0.84,4.0492623333947915,4.660738165317699,4.653057243858191,5.477278845356672,0,0,0,0
5,100,0.78,0.74,0.74,0.86,4.276144534830707,4.3676169115421395,4.351831709719441,5.477278845356672,0,0,0,0
5,200,0.78,0.78,0.8,0.88,4.041124740898532,4.1979265576935685,4.111745495152691,5.477278845356672,0,0,0,0
5,300,0.82,0.78,0.8,0.88,3.9787837252787996,4.093639126512362,4.115447899051862,5.477278845356672,0,0,0,0
5,500,0.82,0.84,0.84,0.9,4.145720051521576,4.219109064526544,4.123314460159284,5.477278845356672,0,0,0,0
6,0,0.9,0.9,,0.9,5.583947290215389,5.583947290215389,,5.583947290215389,0,0,0,0
6,20,0.76,0.82,0.74,0.8,5.166108884361071,5.358763240241506,6.772781282445963,5.583947290215389,0,0,0,0
6,50,0.9,0.9,0.8,0.86,4.270867139778587,4.940327435085407,4.402899816280297,5.583947290215389,0,0,0,0
6,100,0.86,0.72,0.8,0.88,4.192958323692275,4.259634025987502,4.326162102412074,5.583947290215389,0,0,0,0
6,200,0.8,0.82,0.76,0.86,4.180634447323427,4.264657417710828,4.1872510205260784,5.583947290215389,0,0,0,0
6,300,0.72,0.7,0.72,0.76,4.339262662335186,4.389527612854721,4.578131332342995,5.583947290215389,0,0,0,0
6,500,0.84,0.78,0.82,0.94,4.195711267542178,4.194039614497841,4.243612119484512,5.583947290215389,0,0,0,0
7,0,0.88,0.88,,0.88,5.145276377758886,5.145276377758886,,5.145276377758886,0,0,0,0
7,20,0.82,0.82,0.7,0.84,4.703691192858428,5.140829389761903,8.017124929177019,5.145276377758886,0,0,0,0
7,50,0.8,0.7,0.76,0.86,4.182501704990829,4.531540895332913,4.7631867272259605,5.145276377758886,0,0,0,0
7,100,0.78,0.82,0.76,0.86,4.088350973979035,4.265814071750247,4.42302948989937,5.145276377758886,0,0,0,0
7,200,0.74,0.72,0.72,0.74,4.024922801268997,4.172218138081892,4.23156303089776,5.145276377758886,0,0,0,0
7,300,0.82,0.8,0.84,0.82,4.1290077603653055,4.168407752039568,4.172223791008021,5.145276377758886,0,0,0,0
7,500,0.82,0.82,0.78,0.84,3.955151022462942,4.004550900881938,4.031269025873221,5.145276377758886,0,0,0,0
8,0,0.92,0.92,,0.92,5.640893324355657,5.640893324355657,,5.640893324355657,0,0,0,0
8,20,0.86,0.86,0.8,0.9,4.759823844274319,5.233486706909323,7.871467427812364,5.640893324355657,0,0,0,0
8,50,0.84,0.84,0.8,0.88,4.54034506036988,4.737568940036904,4.959871683401417,5.640893324355657,0,0,0,0
8,100,0.7,0.74,0.74,0.88,4.023160299394306,4.2425021081763195,4.419543504291051,5.640893324355657,0,0,0,0
8,200,0.86,0.82,0.82,0.88,4.1101385673834905,4.268282481646077,4.287463845182955,5.640893324355657,0,0,0,0
8,300,0.7,0.76,0.72,0.8,4.026913751021755,4.06013407855407,4.080726513279222,5.640893324355657,0,0,0,0
8,500,0.86,0.86,0.86,0.9,4.188899564817218,4.267625054890148,4.17010179055375,5.640893324355657,0,0,0,0
9,0,0.88,0.88,,0.88,5.035171615585818,5.035171615585818,,5.035171615585818,0,0,0,0
9,20,0.92,0.86,0.78,0.92,4.540455565792884,4.780123032468518,6.834380775328095,5.035171615585818,0,0,0,0
9,50,0.78,0.82,0.84,0.88,4.235312879926963,4.334365256763625,4.831005420759052,5.035171615585818,0,0,0,0
9,100,0.78,0.82,0.8,0.8,4.3164968326257025,4.388902853753343,4.549905785402377,5.035171615585818,0,0,0,0
9,200,0.82,0.78,0.86,0.9,4.240370592812614,4.190454311649946,4.439479351681089,5.035171615585818,0,0,0,0
9,300,0.82,0.82,0.8,0.84,4.331875302497621,4.336663208913207,4.286384994090895,5.035171615585818,0,0,0,0
9,500,0.8,0.82,0.86,0.84,4.156796597648983,4.111395087402306,4.048053646169706,5.035171615585818,0,0,0,0
10,0,0.84,0.84,,0.84,5.391848421895203,5.391848421895203,,5.391848421895203,0,0,0,0
10,20,0.88,0.88,0.82,0.9,4.790328603330301,4.869028672067353,7.7205781686310555,5.391848421895203,0,0,0,0
10,50,0.88,0.9,0.82,0.92,4.203718336280245,5.034019817825496,5.0921372404367755,5.391848421895203,0,0,0,0
10,100,0.84,0.88,0.9,0.94,3.856185928716215,4.3222437500087345,4.33290432610524,5.391848421895203,0,0,0,0
10,200,0.7,0.64,0.74,0.78,4.193711552855667,4.306732270448691,4.303695000850736,5.391848421895203,0,0,0,0
10,300,0.82,0.82,0.78,0.84,4.170033060349608,4.2213658565110315,4.276823178679336,5.391848421895203,0,0,0,0
10,500,0.84,0.8,0.84,0.86,4.149383125674824,4.201821395112171,4.2130961584315365,5.391848421895203,0,0,0,0
11,0,0.8,0.8,,0.8,5.239417235300839,5.239417235300839,,5.239417235300839,0,0,0,0
11,20,0.82,0.8,0.8,0.86,4.51560593743779,4.960322218338833,7.244214097850177,5.239417235300839,0,0,0,0
11,50,0.76,0.84,0.76,0.9,4.0127679874723565,4.409905449822542,4.686792139009642,5.239417235300839,0,0,0,0
11,100,0.78,0.82,0.8,0.92,4.066995469351405,4.505152922946961,4.389752524801923,5.239417235300839,0,0,0,0
11,200,0.74,0.76,0.76,0.88,3.991672313381277,4.123307196695109,4.2458053680192585,5.239417235300839,0,0,0,0
11,300,0.82,0.88,0.9,0.96,4.089637783954088,4.07283086177152,4.113371819449819,5.239417235300839,0,0,0,0
11,500,0.78,0.84,0.8,0.88,4.187579298634878,4.270667408675537,4.260170435326678,5.239417235300839,0,0,0,0
12,0,0.94,0.94,,0.94,5.4766603724052425,5.4766603724052425,,5.4766603724052425,0,0,0,0
12,20,0.78,0.78,0.74,0.78,5.015259851624356,5.295947397916979,7.817806507741253,5.4766603724052425,0,0,0,0
12,50,0.62,0.62,0.68,0.68,4.325754457137938,4.6495124117969775,4.732820247344125,5.4766603724052425,0,0,0,0
12,100,0.82,0.82,0.78,0.84,4.2699671476484085,4.355200605307155,4.487704572441407,5.4766603724052425,0,0,0,0
12,200,0.86,0.84,0.8,0.9,4.126130588224562,4.404072344573997,4.120936928961661,5.4766603724052425,0,0,0,0
12,300,0.86,0.8,0.86,0.92,4.2537953640097275,4.346757357991576,4.2038860301680305,5.4766603724052425,0,0,0,0
12,500,0.82,0.82,0.82,0.92,4.107328029830185,4.09441105933634,4.089314939942875,5.4766603724052425,0,0,0,0
13,0,0.92,0.92,,0.92,5.123645765339425,5.123645765339425,,5.123645765339425,0,0,0,0
13,20,0.82,0.76,0.76,0.86,4.663008922325552,4.489931131193739,7.010801640140908,5.123645765339425,0,0,0,0
13,50,0.74,0.78,0.74,0.78,4.075190947967586,4.627777707806771,4.813980665945692,5.123645765339425,0,0,0,0
13,100,0.88,0.88,0.86,0.9,4.1266841041449,4.333989122058365,4.310744603144481,5.123645765339425,0,0,0,0
13,200,0.78,0.74,0.72,0.82,4.180078332715027,4.301560338848074,4.321187347464749,5.123645765339425,0,0,0,0
13,300,0.76,0.76,0.74,0.82,4.174613211527185,4.23357687969196,4.24376678895694,5.123645765339425,0,0,0,0
13,500,0.84,0.9,0.88,0.92,3.9513905976460686,3.994272795313244,3.987449037546776,5.123645765339425,0,0,0,0
