experiment,o_observed,coverage_donor_hcp_randomized,coverage_donor_hcp_derandomized,coverage_sample_hcp_randomized,coverage_sample_hcp_derandomized,coverage_stdcp,coverage_hcp,coverage_pool,coverage_sub,coverage_rep,width_donor_hcp_randomized,width_donor_hcp_derandomized,width_sample_hcp_randomized,width_sample_hcp_derandomized,width_stdcp,width_hcp,width_pool,width_sub,width_rep,infinite_donor_hcp_randomized,infinite_donor_hcp_derandomized,infinite_sample_hcp_randomized,infinite_sample_hcp_derandomized,infinite_stdcp,infinite_hcp,infinite_pool,infinite_sub,infinite_rep,test_sample_size_o
1,0,0.89,0.99,0.73,0.97,1.0,0.89,0.8,0.74,0.89,1.7946336987354392,3.299291375686826,1.7890628855453397,2.973980279806791,inf,1.7946336987354392,1.5302085130670846,1.303490650031598,1.7383452869874376,0,0,0,0,100,0,0,0,0,0
1,5,0.89,0.99,0.78,0.89,0.72,0.89,0.8,0.74,0.89,1.7946336987354392,3.12082626741155,1.668892465951513,1.937741932964096,2.0666796992252534,1.7946336987354392,1.5302085130670846,1.303490650031598,1.7383452869874376,0,0,0,0,0,0,0,0,0,5
1,10,0.89,0.98,0.75,0.88,0.89,0.89,0.8,0.74,0.89,1.759426733402176,2.927800345110459,1.572493755518837,1.965683467610809,4.8825975317934684,1.7946336987354392,1.5302085130670846,1.303490650031598,1.7383452869874376,0,0,0,0,0,0,0,0,0,10
1,15,0.89,0.98,0.77,0.87,0.88,0.89,0.8,0.74,0.89,1.7404909657915058,2.5563747584296106,1.5817012151200505,1.9612966619396253,2.976460813366702,1.7946336987354392,1.5302085130670846,1.303490650031598,1.7383452869874376,0,0,0,0,0,0,0,0,0,15
1,20,0.88,0.96,0.74,0.87,0.88,0.89,0.8,0.74,0.89,1.7047863661604894,2.404670632599775,1.5340059145805416,1.9321963461850693,1.7752451286738986,1.7946336987354392,1.5302085130670846,1.303490650031598,1.7383452869874376,0,0,0,0,0,0,0,0,0,20
1,25,0.85,0.96,0.76,0.87,0.84,0.89,0.8,0.74,0.89,1.6861857772024296,2.348385364341402,1.5832053824296057,1.9321963461850693,1.930944278700123,1.7946336987354392,1.5302085130670846,1.303490650031598,1.7383452869874376,0,0,0,0,0,0,0,0,0,25
1,30,0.85,0.96,0.73,0.87,0.78,0.89,0.8,0.74,0.89,1.6735815842678592,2.228853299675407,1.5832053824296057,1.9377419329640957,1.665162767766852,1.7946336987354392,1.5302085130670846,1.303490650031598,1.7383452869874376,0,0,0,0,0,0,0,0,0,30
1,35,0.84,0.95,0.75,0.87,0.9,0.89,0.8,0.74,0.89,1.6137386398934783,2.1194062980933035,1.5502105666388744,1.9291962517722299,1.6652789537011365,1.7946336987354392,1.5302085130670846,1.303490650031598,1.7383452869874376,0,0,0,0,0,0,0,0,0,35
1,40,0.83,0.95,0.75,0.87,0.87,0.89,0.8,0.74,0.89,1.6054316925014507,2.0572968295115777,1.5521548692937315,1.9321963461850693,1.629222087905219,1.7946336987354392,1.5302085130670846,1.303490650031598,1.7383452869874376,0,0,0,0,0,0,0,0,0,40
2,0,0.87,1.0,0.81,1.0,1.0,0.87,0.75,0.73,0.75,1.9413840305706458,3.4377761189561102,1.8853575557645792,3.4983173218454025,inf,1.9413840305706458,1.5732263380121836,1.437295530787801,1.6766119038570728,0,0,0,0,100,0,0,0,0,0
