experiment,o_observed,coverage_donor_hcp_randomized,coverage_donor_hcp_derandomized,coverage_sample_hcp_randomized,coverage_sample_hcp_derandomized,coverage_stdcp,coverage_hcp,coverage_pool,coverage_sub,coverage_rep,width_donor_hcp_randomized,width_donor_hcp_derandomized,width_sample_hcp_randomized,width_sample_hcp_derandomized,width_stdcp,width_hcp,width_pool,width_sub,width_rep,infinite_donor_hcp_randomized,infinite_donor_hcp_derandomized,infinite_sample_hcp_randomized,infinite_sample_hcp_derandomized,infinite_stdcp,infinite_hcp,infinite_pool,infinite_sub,infinite_rep,test_sample_size_o
1,0,0.78,0.9,0.67,0.88,1.0,0.78,0.66,0.89,0.72,9.003171240398679,17.34626274227626,13.538343989451972,18.660664712253556,inf,9.003171240398679,7.347180990649463,9.990104679415026,8.144966534171903,0,0,0,0,100,0,0,0,0,0
1,5,0.79,0.85,0.68,0.73,0.67,0.78,0.66,0.89,0.72,8.837756210474712,14.593216591469371,13.289083052580612,14.457055275660128,4.850327839856124,9.003171240398679,7.347180990649463,9.990104679415026,8.144966534171903,0,0,0,0,0,0,0,0,0,5
1,10,0.76,0.82,0.66,0.74,0.77,0.78,0.66,0.89,0.72,8.427284264293965,13.586126332357466,13.11390578001279,14.454218021716219,11.82732047467014,9.003171240398679,7.347180990649463,9.990104679415026,8.144966534171903,0,0,0,0,0,0,0,0,0,10
1,15,0.87,0.95,0.82,0.94,0.87,0.78,0.66,0.89,0.72,7.2817823762005105,8.635222915823737,7.063670839808466,8.131323648648923,7.3446028801559375,9.003171240398679,7.347180990649463,9.990104679415026,8.144966534171903,0,0,0,0,0,0,0,0,0,15
1,20,0.84,0.92,0.79,0.92,0.74,0.78,0.66,0.89,0.72,6.188688661387037,9.1360179061706,6.134451333863388,8.588116741364814,4.325669432613223,9.003171240398679,7.347180990649463,9.990104679415026,8.144966534171903,0,0,0,0,0,0,0,0,0,20
1,25,0.9,0.97,0.86,0.94,0.81,0.78,0.66,0.89,0.72,6.419218695631248,7.387285175589731,6.011847750460966,7.359355269644595,4.919656762137299,9.003171240398679,7.347180990649463,9.990104679415026,8.144966534171903,0,0,0,0,0,0,0,0,0,25
1,30,0.83,1.0,0.83,1.0,0.74,0.78,0.66,0.89,0.72,4.755073682585688,inf,4.755073682585688,inf,4.028392246197891,9.003171240398679,7.347180990649463,9.990104679415026,8.144966534171903,0,100,0,100,0,0,0,0,0,30
1,35,0.85,1.0,0.85,1.0,0.77,0.78,0.66,0.89,0.72,5.00764110695151,inf,5.00764110695151,inf,4.29485312500359,9.003171240398679,7.347180990649463,9.990104679415026,8.144966534171903,0,100,0,100,0,0,0,0,0,35
1,40,0.82,1.0,0.82,1.0,0.74,0.78,0.66,0.89,0.72,4.683845974300919,inf,4.683845974300919,inf,4.08085698568561,9.003171240398679,7.347180990649463,9.990104679415026,8.144966534171903,0,100,0,100,0,0,0,0,0,40
2,0,0.8,1.0,0.73,0.9,1.0,0.8,0.7,0.81,0.86,7.474991459939208,inf,5.850743026155923,9.053879531035616,inf,7.474991459939208,5.771958860221645,7.639654172035575,8.27727341892262,0,100,0,0,100,0,0,0,0,0
2,5,0.78,0.9,0.71,0.81,0.71,0.8,0.7,0.81,0.86,6.866047550515006,7.820051512286952,5.556514017709798,6.526169813219653,4.550655074337721,7.474991459939208,5.771958860221645,7.639654172035575,8.27727341892262,0,0,0,0,0,0,0,0,0,5
2,10,0.78,0.82,0.69,0.81,0.82,0.8,0.7,0.81,0.86,6.6807327282505895,6.731849237025273,5.204959175184804,6.567354799583164,12.67654808515526,7.474991459939208,5.771958860221645,7.639654172035575,8.27727341892262,0,0,0,0,0,0,0,0,0,10
2,15,0.84,0.9,0.71,0.82,0.94,0.8,0.7,0.81,0.86,4.842043410445449,5.859100113788994,5.001046125942825,6.406254587071178,7.8781127127090445,7.474991459939208,5.771958860221645,7.639654172035575,8.27727341892262,0,0,0,0,0,0,0,0,0,15
2,20,0.81,0.91,0.77,0.89,0.84,0.8,0.7,0.81,0.86,5.866551123236697,7.470986658383758,5.8850362511114795,7.149340944330238,5.262376131480526,7.474991459939208,5.771958860221645,7.639654172035575,8.27727341892262,0,0,0,0,0,0,0,0,0,20
2,25,0.89,0.89,0.66,0.85,0.84,0.8,0.7,0.81,0.86,5.249073555146998,5.160621109573893,3.6578893685952494,4.780143255278297,5.038249062842782,7.474991459939208,5.771958860221645,7.639654172035575,8.27727341892262,0,0,0,0,0,0,0,0,0,25
2,30,0.97,0.99,0.76,0.87,0.8,0.8,0.7,0.81,0.86,6.89463835132561,7.495180589895972,3.9536784448243942,4.755236979606555,4.16414394283907,7.474991459939208,5.771958860221645,7.639654172035575,8.27727341892262,0,0,0,0,0,0,0,0,0,30
2,35,0.87,1.0,0.87,1.0,0.85,0.8,0.7,0.81,0.86,4.82467973245318,inf,4.82467973245318,inf,4.369013586864842,7.474991459939208,5.771958860221645,7.639654172035575,8.27727341892262,0,100,0,100,0,0,0,0,0,35
2,40,0.81,1.0,0.81,1.0,0.85,0.8,0.7,0.81,0.86,4.442121083348452,inf,4.442121083348452,inf,4.107950671809031,7.474991459939208,5.771958860221645,7.639654172035575,8.27727341892262,0,100,0,100,0,0,0,0,0,40
3,0,0.87,1.0,0.77,1.0,1.0,0.87,0.8,1.0,0.98,6.569733298015784,17.285107032411204,5.982187951943356,14.047315414935014,inf,6.569733298015784,4.880578633163925,12.277264614829761,9.37455156237985,0,0,0,0,100,0,0,0,0,0
3,5,0.84,1.0,0.81,0.92,0.76,0.87,0.8,1.0,0.98,6.183224120799007,11.31031703349867,5.692101985428611,6.788501291517559,4.591600556303176,6.569733298015784,4.880578633163925,12.277264614829761,9.37455156237985,0,0,0,0,0,0,0,0,0,5
3,10,0.83,0.97,0.81,0.91,0.86,0.87,0.8,1.0,0.98,5.42870808152058,8.30862287177078,5.4470262741770235,6.765385747160467,13.112841999177556,6.569733298015784,4.880578633163925,12.277264614829761,9.37455156237985,0,0,0,0,0,0,0,0,0,10
3,15,0.79,0.94,0.83,0.91,0.93,0.87,0.8,1.0,0.98,5.43364835252828,7.287894607660768,6.052187426228036,7.1386374185160495,7.612536801596757,6.569733298015784,4.880578633163925,12.277264614829761,9.37455156237985,0,0,0,0,0,0,0,0,0,15
3,20,0.87,0.95,0.93,0.96,0.79,0.87,0.8,1.0,0.98,5.4039695198005475,8.926317568419108,6.261932275621064,7.926826405729649,4.518423999812498,6.569733298015784,4.880578633163925,12.277264614829761,9.37455156237985,0,0,0,0,0,0,0,0,0,20
3,25,0.85,0.95,0.88,0.95,0.84,0.87,0.8,1.0,0.98,6.236833420623988,8.256141949097731,6.456184509756863,8.216207847461126,4.839283579457867,6.569733298015784,4.880578633163925,12.277264614829761,9.37455156237985,0,0,0,0,0,0,0,0,0,25
3,30,0.86,1.0,0.86,1.0,0.85,0.87,0.8,1.0,0.98,4.86386445644136,inf,4.86386445644136,inf,4.023598570695031,6.569733298015784,4.880578633163925,12.277264614829761,9.37455156237985,0,100,0,100,0,0,0,0,0,30
