o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,n_infinite_total
0,no_training,0.8792,0.05759960317323623,30.949598502272593,29.920757443480404,5.916312216202616,0
0,with_training,0.8826,0.06050164443708814,31.50086409994452,30.712978654894037,5.9322026765224924,0
10,no_training,0.8987999999999999,0.049307034725983946,30.068506104147644,29.337421080086585,5.175775900475934,0
10,with_training,0.8972,0.04499614495959059,24.636828752901515,24.00231453393519,4.696144974846001,0
20,no_training,0.9046,0.05679213800144796,30.078641385112096,29.3376928861623,5.319994795986859,0
20,with_training,0.8984000000000001,0.04974875652225093,20.32334716445353,19.718123820983887,3.2786092601645165,0
30,no_training,0.8926000000000001,0.026171334996713595,15.112706601880285,14.748597225667268,1.928985819430454,0
30,with_training,0.903,0.02279008019077686,4.983434145709879,4.993485898896568,0.13868975022177316,0
40,no_training,0.8932000000000001,0.025107117455788846,15.040974476078866,14.665150435272723,1.9267328617112887,0
40,with_training,0.8937999999999999,0.025466264198835662,4.726292144506746,4.7388263733509195,0.12051066369464997,0
HCP,HCP,0.9526,0.049808203569865296,37.61176159377766,33.460220251105454,10.985421965516478,0
