exp_id,o,method,coverage,mean_width,n_infinite
0,0,no_training,0.96,40.94509159335693,0
0,0,with_training,0.97,43.55112462287971,0
0,10,no_training,0.99,40.63867948276376,0
0,10,with_training,0.94,35.732878203534185,0
0,20,no_training,0.96,38.35657520884112,0
0,20,with_training,0.93,26.056267907026754,0
0,30,no_training,0.93,15.007453893984858,0
0,30,with_training,0.93,5.027322182956327,0
0,40,no_training,0.93,15.085397919298114,0
0,40,with_training,0.93,4.840968808958884,0
0,HCP,HCP,0.97,63.44576481771742,0
1,0,no_training,0.9,37.586255779187184,0
1,0,with_training,0.9,35.31852689787628,0
1,10,no_training,0.95,31.897868639226587,0
1,10,with_training,0.9,29.453025959200204,0
1,20,no_training,0.96,35.03410885963192,0
1,20,with_training,0.9,24.135881382215526,0
1,30,no_training,0.89,13.946559596435275,0
1,30,with_training,0.89,4.955589023878838,0
1,40,no_training,0.89,13.869975424829478,0
1,40,with_training,0.89,4.735502121357325,0
1,HCP,HCP,0.97,37.23507639723317,0
2,0,no_training,0.83,36.01292073603548,0
2,0,with_training,0.84,37.80549500374372,0
2,10,no_training,0.88,34.05388486684828,0
2,10,with_training,0.87,28.72467233307868,0
2,20,no_training,0.82,36.74135097511845,0
2,20,with_training,0.89,24.58669719981641,0
2,30,no_training,0.88,16.333908071629484,0
2,30,with_training,0.95,5.01670825695355,0
2,40,no_training,0.87,16.241649862389664,0
2,40,with_training,0.9,4.589321666509104,0
2,HCP,HCP,0.86,44.25788342393737,0
3,0,no_training,0.91,32.33180928865225,0
3,0,with_training,0.95,30.939613788975272,0
3,10,no_training,0.88,29.292341661967324,0
3,10,with_training,0.9,25.356271429250633,0
3,20,no_training,0.92,29.160330918944013,0
3,20,with_training,0.9,18.521621166012764,0
3,30,no_training,0.91,14.87974420606834,0
3,30,with_training,0.88,5.172492024588171,0
3,40,no_training,0.9,14.772453580161692,0
3,40,with_training,0.84,4.727779573801764,0
3,HCP,HCP,0.98,33.26500187567581,0
4,0,no_training,0.76,22.1037955656083,0
4,0,with_training,0.71,20.815446374256076,0
4,10,no_training,0.75,21.70635013913764,0
4,10,with_training,0.72,16.918902313985505,0
4,20,no_training,0.72,22.15097333160678,0
4,20,with_training,0.76,15.554761885742883,0
4,30,no_training,0.9,17.234899080255992,0
4,30,with_training,0.88,5.0507537965287925,0
4,40,no_training,0.89,17.067351985850987,0
