Method,Coverage_Mean,Coverage_Std,Width_Median_Finite,Width_Std_Finite,Infinite_Intervals,Infinite_Percentage,Target_Coverage,Coverage_Difference,test_sample_size_o
donor-HCP-randomized,0.9838000000000001,0.016523329209431902,8.29195710973725,0.8847119363101554,0,0.0,0.9,0.0838000000000001,0
donor-HCP-derandomized,1.0,0.0,inf,,5000,100.0,0.9,0.09999999999999998,0
sample-HCP-randomized,0.917,0.032340661207633625,6.150913868961194,0.46896938502106206,0,0.0,0.9,0.017000000000000015,0
sample-HCP-derandomized,1.0,0.0,inf,,5000,100.0,0.9,0.09999999999999998,0
Std-CP,1.0,0.0,inf,,5000,100.0,0.9,0.09999999999999998,0
HCP,0.9838000000000001,0.016523329209431902,8.29195710973725,0.8847119363101554,0,0.0,0.9,0.0838000000000001,0
Pooling,0.9003999999999999,0.04090606461698534,5.497516982851824,0.4009972875128943,0,0.0,0.9,0.0003999999999998449,0
Subsampling,0.8987999999999999,0.11099990807129857,6.281528166220717,2.3071736240319995,0,0.0,0.9,-0.0012000000000000899,0
Repeated,0.9413999999999999,0.03630989070852879,6.294944697077181,0.5073508874617293,0,0.0,0.9,0.04139999999999988,0
donor-HCP-randomized,0.9723999999999999,0.02162387191819943,7.4010895955814995,0.665367774104826,0,0.0,0.9,0.07239999999999991,5
donor-HCP-derandomized,1.0,0.0,inf,,5000,100.0,0.9,0.09999999999999998,5
sample-HCP-randomized,0.9156000000000002,0.031633100720993027,5.858811424543958,0.44017052157594966,0,0.0,0.9,0.01560000000000017,5
sample-HCP-derandomized,0.966,0.01989769753883446,6.887170639771998,0.49966876447134,0,0.0,0.9,0.06599999999999995,5
Std-CP,0.7439999999999999,0.040758121764820306,5.828646222165279,0.45583774898521146,0,0.0,0.9,-0.15600000000000014,5
HCP,0.9838000000000001,0.016523329209431902,8.29195710973725,0.8847119363101554,0,0.0,0.9,0.0838000000000001,5
Pooling,0.9003999999999999,0.04090606461698534,5.497516982851824,0.4009972875128943,0,0.0,0.9,0.0003999999999998449,5
Subsampling,0.8987999999999999,0.11099990807129857,6.281528166220717,2.3071736240319995,0,0.0,0.9,-0.0012000000000000899,5
Repeated,0.9413999999999999,0.03630989070852879,6.294944697077181,0.5073508874617293,0,0.0,0.9,0.04139999999999988,5
donor-HCP-randomized,0.9581999999999999,0.025127430332249262,6.798389620840478,0.6071326440712389,0,0.0,0.9,0.05819999999999992,10
donor-HCP-derandomized,0.9948,0.009089127840335361,10.107511592481561,1.7696734532606144,0,0.0,0.9,0.0948,10
sample-HCP-randomized,0.9103999999999999,0.02899401767993683,5.736577444567136,0.45916293619521814,0,0.0,0.9,0.010399999999999854,10
sample-HCP-derandomized,0.9612,0.02115443698332887,6.760059716578912,0.47114060175724587,0,0.0,0.9,0.06120000000000003,10
Std-CP,0.8344000000000001,0.03441404554265953,15.425294129380196,2.3656476069134413,0,0.0,0.9,-0.06559999999999988,10
HCP,0.9838000000000001,0.016523329209431902,8.29195710973725,0.8847119363101554,0,0.0,0.9,0.0838000000000001,10
Pooling,0.9003999999999999,0.04090606461698534,5.497516982851824,0.4009972875128943,0,0.0,0.9,0.0003999999999998449,10
Subsampling,0.8987999999999999,0.11099990807129857,6.281528166220717,2.3071736240319995,0,0.0,0.9,-0.0012000000000000899,10
Repeated,0.9413999999999999,0.03630989070852879,6.294944697077181,0.5073508874617293,0,0.0,0.9,0.04139999999999988,10
donor-HCP-randomized,0.9325999999999999,0.034035395741276536,6.093672082107325,0.5540629788648427,0,0.0,0.9,0.03259999999999985,15
donor-HCP-derandomized,0.9714,0.021093571900230732,7.438135170719729,1.2354161216654251,0,0.0,0.9,0.07140000000000002,15
sample-HCP-randomized,0.9156,0.026585249861607117,5.747157956416112,0.4428745326653235,0,0.0,0.9,0.015599999999999947,15
sample-HCP-derandomized,0.9578,0.022249971336830873,6.740426552308719,0.4147418871604099,0,0.0,0.9,0.05779999999999996,15
Std-CP,0.8856,0.02673833905668422,9.226001344842166,0.4196035072694228,0,0.0,0.9,-0.014399999999999968,15
HCP,0.9838000000000001,0.016523329209431902,8.29195710973725,0.8847119363101554,0,0.0,0.9,0.0838000000000001,15
Pooling,0.9003999999999999,0.04090606461698534,5.497516982851824,0.4009972875128943,0,0.0,0.9,0.0003999999999998449,15
Subsampling,0.8987999999999999,0.11099990807129857,6.281528166220717,2.3071736240319995,0,0.0,0.9,-0.0012000000000000899,15
Repeated,0.9413999999999999,0.03630989070852879,6.294944697077181,0.5073508874617293,0,0.0,0.9,0.04139999999999988,15
donor-HCP-randomized,0.897,0.0409703725705714,5.502486431907474,0.523220051438914,0,0.0,0.9,-0.0030000000000000027,20
donor-HCP-derandomized,0.9571999999999999,0.026729178430917697,6.758755506737888,1.1841636959268527,0,0.0,0.9,0.05719999999999992,20
sample-HCP-randomized,0.9067999999999999,0.031908031104717065,5.616649600347651,0.4614295543571392,0,0.0,0.9,0.006799999999999917,20
sample-HCP-derandomized,0.9568000000000001,0.02253704433476001,6.724941767871725,0.44858675986292773,0,0.0,0.9,0.05680000000000007,20
Std-CP,0.9177999999999998,0.026900421057322207,7.961417342666724,0.3232594230675874,0,0.0,0.9,0.017799999999999816,20
HCP,0.9838000000000001,0.016523329209431902,8.29195710973725,0.8847119363101554,0,0.0,0.9,0.0838000000000001,20
Pooling,0.9003999999999999,0.04090606461698534,5.497516982851824,0.4009972875128943,0,0.0,0.9,0.0003999999999998449,20
Subsampling,0.8987999999999999,0.11099990807129857,6.281528166220717,2.3071736240319995,0,0.0,0.9,-0.0012000000000000899,20
Repeated,0.9413999999999999,0.03630989070852879,6.294944697077181,0.5073508874617293,0,0.0,0.9,0.04139999999999988,20
