Method,Coverage_Mean,Coverage_Std,Width_Median_Finite,Width_Std_Finite,Infinite_Intervals,Infinite_Percentage,Target_Coverage,Coverage_Difference,test_sample_size_o
donor-HCP-randomized,0.8845999999999999,0.03813028150101883,1.7937603339481047,0.14102195528723038,0,0.0,0.8,0.0845999999999999,0
donor-HCP-derandomized,0.9890000000000001,0.009948848769417236,3.208057946523054,0.3107297793581932,0,0.0,0.8,0.18900000000000006,0
sample-HCP-randomized,0.8138000000000001,0.05070482809197498,1.5640269943781728,0.15200269440725167,0,0.0,0.8,0.013800000000000034,0
sample-HCP-derandomized,0.987,0.012657175104763833,3.142516814216327,0.3356134210471122,0,0.0,0.8,0.18699999999999994,0
Std-CP,1.0,0.0,inf,,5000,100.0,0.8,0.19999999999999996,0
HCP,0.8845999999999999,0.03813028150101883,1.7937603339481047,0.14102195528723038,0,0.0,0.8,0.0845999999999999,0
Pooling,0.8026000000000001,0.05706458925584917,1.4416306817082083,0.12972581821610252,0,0.0,0.8,0.0026000000000000467,0
Subsampling,0.8382000000000001,0.10991072444005988,1.5997162035908865,0.47513085519851367,0,0.0,0.8,0.03820000000000001,0
Repeated,0.8466000000000001,0.04653767400763403,1.6203339012683058,0.1376904442803228,0,0.0,0.8,0.046600000000000086,0
donor-HCP-randomized,0.8808000000000001,0.03890543217934001,1.7827212130039332,0.14002738911441384,0,0.0,0.8,0.0808000000000001,5
donor-HCP-derandomized,0.9803999999999999,0.013844618788097977,2.845131853367243,0.3083016405236955,0,0.0,0.8,0.1803999999999999,5
sample-HCP-randomized,0.8092000000000001,0.05114365522122715,1.5348661379594466,0.1344310108457269,0,0.0,0.8,0.009200000000000097,5
sample-HCP-derandomized,0.9118,0.036739013351488034,1.9219519167649464,0.14766012552866878,0,0.0,0.8,0.11180000000000001,5
Std-CP,0.7454000000000001,0.03676788749738565,1.9236006131409704,0.14575732866689078,0,0.0,0.8,-0.05459999999999998,5
HCP,0.8845999999999999,0.03813028150101883,1.7937603339481047,0.14102195528723038,0,0.0,0.8,0.0845999999999999,5
Pooling,0.8026000000000001,0.05706458925584917,1.4416306817082083,0.12972581821610252,0,0.0,0.8,0.0026000000000000467,5
Subsampling,0.8382000000000001,0.10991072444005988,1.5997162035908865,0.47513085519851367,0,0.0,0.8,0.03820000000000001,5
Repeated,0.8466000000000001,0.04653767400763403,1.6203339012683058,0.1376904442803228,0,0.0,0.8,0.046600000000000086,5
donor-HCP-randomized,0.8744,0.039752294247743535,1.744401833007077,0.1396355262610091,0,0.0,0.8,0.07439999999999991,10
donor-HCP-derandomized,0.9703999999999998,0.019162037299551106,2.691496905424416,0.284602194069831,0,0.0,0.8,0.17039999999999977,10
sample-HCP-randomized,0.7928000000000001,0.05398563678972247,1.4662882919627283,0.12093479393104434,0,0.0,0.8,-0.007199999999999984,10
sample-HCP-derandomized,0.9052000000000001,0.03569942547985663,1.9378720646456329,0.1407260454389711,0,0.0,0.8,0.10520000000000007,10
Std-CP,0.8224000000000001,0.045470780032177735,4.885210564369352,0.533254121907562,0,0.0,0.8,0.022400000000000087,10
