Method,Coverage_Mean,Coverage_Std,Width_Median_Finite,Width_Std_Finite,Infinite_Intervals,Infinite_Percentage,Target_Coverage,Coverage_Difference,test_sample_size_o
donor-HCP-randomized,0.8833999999999999,0.06754016189933035,7.40960938827557,2.0337504954972676,0,0.0,0.8,0.08339999999999981,0
donor-HCP-derandomized,0.9860000000000001,0.023560603574958063,13.86810041213641,,1500,30.0,0.8,0.18600000000000005,0
sample-HCP-randomized,0.8292,0.08307459151330232,6.613909066026547,2.0818491600501434,0,0.0,0.8,0.029200000000000004,0
sample-HCP-derandomized,0.9780000000000001,0.029623487647611035,12.02968355567732,3.3994196213081915,0,0.0,0.8,0.17800000000000005,0
Std-CP,1.0,0.0,inf,,5000,100.0,0.8,0.19999999999999996,0
HCP,0.8833999999999999,0.06754016189933035,7.40960938827557,2.0337504954972676,0,0.0,0.8,0.08339999999999981,0
Pooling,0.8038000000000001,0.08984998835928285,6.169974064592207,1.60203193350771,0,0.0,0.8,0.0038000000000000256,0
Subsampling,0.8811999999999999,0.09202129301062302,7.628908603649555,2.9692429795347026,0,0.0,0.8,0.08119999999999983,0
Repeated,0.8879999999999998,0.07613092911128129,7.896590596459926,2.324565092808805,0,0.0,0.8,0.08799999999999975,0
donor-HCP-randomized,0.8674000000000001,0.07216223219317734,7.099256492624096,1.9487534224734127,0,0.0,0.8,0.06740000000000002,5
donor-HCP-derandomized,0.9566000000000001,0.03408333125426203,9.849940781962216,3.130518742340775,0,0.0,0.8,0.15660000000000007,5
sample-HCP-randomized,0.8240000000000001,0.07925675146674398,6.342564792730473,1.919364179180412,0,0.0,0.8,0.02400000000000002,5
sample-HCP-derandomized,0.9124,0.05404306672668095,7.949488093033883,2.491929086226352,0,0.0,0.8,0.11239999999999994,5
Std-CP,0.7463999999999998,0.038638037724290225,4.887437698204856,0.3847923118428991,0,0.0,0.8,-0.0536000000000002,5
HCP,0.8833999999999999,0.06754016189933035,7.40960938827557,2.0337504954972676,0,0.0,0.8,0.08339999999999981,5
Pooling,0.8038000000000001,0.08984998835928285,6.169974064592207,1.60203193350771,0,0.0,0.8,0.0038000000000000256,5
Subsampling,0.8811999999999999,0.09202129301062302,7.628908603649555,2.9692429795347026,0,0.0,0.8,0.08119999999999983,5
Repeated,0.8879999999999998,0.07613092911128129,7.896590596459926,2.324565092808805,0,0.0,0.8,0.08799999999999975,5
donor-HCP-randomized,0.8502,0.07503713366441597,6.626370961569499,1.8881846891162568,0,0.0,0.8,0.05019999999999991,10
donor-HCP-derandomized,0.9308,0.04332318039091397,8.773605340951715,2.864688208309359,0,0.0,0.8,0.13079999999999992,10
sample-HCP-randomized,0.8109999999999999,0.08254250605671266,6.087468828405448,1.8967863290544218,0,0.0,0.8,0.010999999999999899,10
sample-HCP-derandomized,0.9072,0.05591684788640199,7.758378263999203,2.35022192114325,0,0.0,0.8,0.10719999999999996,10
Std-CP,0.8367999999999999,0.03310095873819601,12.21595467430864,1.3785601558145804,0,0.0,0.8,0.03679999999999983,10
HCP,0.8833999999999999,0.06754016189933035,7.40960938827557,2.0337504954972676,0,0.0,0.8,0.08339999999999981,10
Pooling,0.8038000000000001,0.08984998835928285,6.169974064592207,1.60203193350771,0,0.0,0.8,0.0038000000000000256,10
Subsampling,0.8811999999999999,0.09202129301062302,7.628908603649555,2.9692429795347026,0,0.0,0.8,0.08119999999999983,10
Repeated,0.8879999999999998,0.07613092911128129,7.896590596459926,2.324565092808805,0,0.0,0.8,0.08799999999999975,10
donor-HCP-randomized,0.845,0.0718061449249268,6.658924380654156,1.5802780111491659,0,0.0,0.8,0.04499999999999993,15
donor-HCP-derandomized,0.9285999999999999,0.047121640247256194,8.606688472346459,4.0983392465550015,0,0.0,0.8,0.12859999999999983,15
sample-HCP-randomized,0.8251999999999999,0.07464856437511244,6.436808109546627,2.9691912441266473,0,0.0,0.8,0.02519999999999989,15
sample-HCP-derandomized,0.917,0.04803272693844121,8.115712514561931,3.821518674812932,0,0.0,0.8,0.11699999999999999,15
Std-CP,0.8910000000000001,0.02943342539719503,7.422731363459178,0.34933083566926293,0,0.0,0.8,0.09100000000000008,15
HCP,0.8833999999999999,0.06754016189933035,7.40960938827557,2.0337504954972676,0,0.0,0.8,0.08339999999999981,15
Pooling,0.8038000000000001,0.08984998835928285,6.169974064592207,1.60203193350771,0,0.0,0.8,0.0038000000000000256,15
Subsampling,0.8811999999999999,0.09202129301062302,7.628908603649555,2.9692429795347026,0,0.0,0.8,0.08119999999999983,15
Repeated,0.8879999999999998,0.07613092911128129,7.896590596459926,2.324565092808805,0,0.0,0.8,0.08799999999999975,15
donor-HCP-randomized,0.8151999999999999,0.09435581809386884,5.985769859120757,1.6030073721685514,0,0.0,0.8,0.01519999999999988,20
donor-HCP-derandomized,0.9152,0.055521277406936145,7.934906250349476,1.9195192695847072,0,0.0,0.8,0.11519999999999997,20
sample-HCP-randomized,0.8042,0.09282614867348003,6.007452806102955,1.4877013385628448,0,0.0,0.8,0.0041999999999999815,20
sample-HCP-derandomized,0.903,0.05976996720420579,7.828861222146377,1.6860030624718452,0,0.0,0.8,0.10299999999999998,20
Std-CP,0.8235999999999999,0.040896085337332314,4.876081216330139,0.2098211417816622,0,0.0,0.8,0.023599999999999843,20
