tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
0.0,0.05,0,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Pooling,0.923,0.26661811086910203,8.99432054762647,8.736330124054795,2.0504259838693355,0.0,0,12345
0.0,0.05,0,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Subsampling,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,Pooling,0.923,0.26661811086910203,8.99432054762647,8.736330124054795,2.0504259838693355,0.0,0,12345
0.0,0.05,5,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,S-HCP-within,0.95,0.21796674494147064,9.727991104591027,9.30104750768735,2.3667476702527708,0.0,0,12345
0.0,0.05,5,Std-CP,0.7444,0.4362415630591245,5.988536562322515,4.924442594126992,4.429440180676184,0.0,0,12345
0.0,0.05,5,Subsampling,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,Donor-HCP-no-within,0.994,0.07723466215765902,12.998869409265659,12.707109227691692,2.589413100516753,0.0,0,12345
0.0,0.05,10,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,Pooling,0.923,0.26661811086910203,8.99432054762647,8.736330124054795,2.0504259838693355,0.0,0,12345
0.0,0.05,10,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,S-HCP-within,0.949,0.22001973033423008,9.606278150190672,9.17672229618362,2.2129892638832076,0.0,0,12345
0.0,0.05,10,Std-CP,0.8382,0.368304072171237,98.96990451119008,12.264179933132953,2963.866398010715,0.0,0,12345
0.0,0.05,10,Subsampling,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,15,Donor-HCP-no-within,0.9706,0.1689418487813306,10.261860440084746,9.90854056259342,1.9606051329781566,0.0,0,12345
0.0,0.05,15,Donor-HCP-within,0.986,0.11750217594696051,9.350403172379139,9.15099242988687,1.5131043199592031,0.0,0,12345
0.0,0.05,15,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,15,Pooling,0.923,0.26661811086910203,8.99432054762647,8.736330124054795,2.0504259838693355,0.0,0,12345
0.0,0.05,15,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,15,S-HCP-within,0.9554,0.20644457821113796,9.717795433954572,9.25339204986873,2.1770474197812595,0.0,0,12345
0.0,0.05,15,Std-CP,0.8882,0.31515174777371147,9.076943025959237,7.529747840117425,6.968905579978873,0.0,0,12345
