tau_B,alpha,experiment,o,method,coverage_mean,width_mean,width_median,width_std,n_infinite,base_seed
0.0,0.05,0,0,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,0,0,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,0,HCP,1.0,,,,100,12345
0.0,0.05,0,0,Pooling,0.94,10.654231148681788,10.654231148681788,8.56202581996519e-16,0,12345
0.0,0.05,0,0,Repeated,1.0,,,,100,12345
0.0,0.05,0,0,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,0,Std-CP,1.0,,,,100,12345
0.0,0.05,0,0,Subsampling,1.0,,,,100,12345
0.0,0.05,0,5,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,0,5,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,5,HCP,1.0,,,,100,12345
0.0,0.05,0,5,Pooling,0.94,10.654231148681788,10.654231148681788,8.56202581996519e-16,0,12345
0.0,0.05,0,5,Repeated,1.0,,,,100,12345
0.0,0.05,0,5,S-HCP-within,0.9,9.106007885130271,9.305561084177885,1.101220876442148,0,12345
0.0,0.05,0,5,Std-CP,0.78,5.689543153645127,4.668820803987053,3.8438487813777926,0,12345
0.0,0.05,0,5,Subsampling,1.0,,,,100,12345
0.0,0.05,0,10,Donor-HCP-no-within,0.96,10.38420798281169,10.317588279698406,0.9924338262087513,12,12345
0.0,0.05,0,10,Donor-HCP-within,1.0,8.67455958478617,8.415213003303982,0.6050178362464089,64,12345
0.0,0.05,0,10,HCP,1.0,,,,100,12345
0.0,0.05,0,10,Pooling,0.94,10.654231148681788,10.654231148681788,8.56202581996519e-16,0,12345
0.0,0.05,0,10,Repeated,1.0,,,,100,12345
0.0,0.05,0,10,S-HCP-within,0.89,9.032707167379794,8.973718586952343,0.885781146383066,0,12345
0.0,0.05,0,10,Std-CP,0.82,42.753986395238464,14.736358154832034,121.58233776916217,0,12345
0.0,0.05,0,10,Subsampling,1.0,,,,100,12345
0.0,0.05,0,15,Donor-HCP-no-within,0.9,8.761244205078805,8.606763274174558,0.7073190920663713,0,12345
0.0,0.05,0,15,Donor-HCP-within,0.91,6.828454330205689,6.671116761889289,0.43132422300538054,22,12345
0.0,0.05,0,15,HCP,1.0,,,,100,12345
0.0,0.05,0,15,Pooling,0.94,10.654231148681788,10.654231148681788,8.56202581996519e-16,0,12345
0.0,0.05,0,15,Repeated,1.0,,,,100,12345
0.0,0.05,0,15,S-HCP-within,0.88,9.35910842587227,9.777933197751782,1.0348944221029879,0,12345
0.0,0.05,0,15,Std-CP,0.89,8.215205448368122,7.244843095827936,4.588395348543788,0,12345
0.0,0.05,0,15,Subsampling,1.0,,,,100,12345
0.0,0.05,0,20,Donor-HCP-no-within,0.98,10.626672432720898,11.03196562627468,1.0154211798781605,0,12345
0.0,0.05,0,20,Donor-HCP-within,0.98,7.960362227764891,7.835238370133787,0.7226556129544811,0,12345
0.0,0.05,0,20,HCP,1.0,,,,100,12345
0.0,0.05,0,20,Pooling,0.94,10.654231148681788,10.654231148681788,8.56202581996519e-16,0,12345
0.0,0.05,0,20,Repeated,1.0,,,,100,12345
0.0,0.05,0,20,S-HCP-within,0.91,11.143404555147463,11.069049252483055,0.5174508645776729,0,12345
0.0,0.05,0,20,Std-CP,0.92,6.900457359480226,6.265512120898268,2.953752983106683,0,12345
0.0,0.05,0,20,Subsampling,1.0,,,,100,12345
0.0,0.05,0,25,Donor-HCP-no-within,0.97,9.682383305762885,9.062628317235855,1.7032630098043313,0,12345
0.0,0.05,0,25,Donor-HCP-within,1.0,8.403725510411508,8.956265195465726,0.7814664024345788,51,12345
0.0,0.05,0,25,HCP,1.0,,,,100,12345
0.0,0.05,0,25,Pooling,0.94,10.654231148681788,10.654231148681788,8.56202581996519e-16,0,12345
0.0,0.05,0,25,Repeated,1.0,,,,100,12345
0.0,0.05,0,25,S-HCP-within,0.89,7.84659777208081,7.929966060230548,0.6061946787197283,0,12345
0.0,0.05,0,25,Std-CP,0.91,6.719526616189355,6.373586417260334,2.4454423746129077,0,12345
0.0,0.05,0,25,Subsampling,1.0,,,,100,12345
0.0,0.05,0,30,Donor-HCP-no-within,0.95,7.994675874054026,7.977250304896765,2.2339944728305916,0,12345
0.0,0.05,0,30,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,30,HCP,1.0,,,,100,12345
0.0,0.05,0,30,Pooling,0.94,10.654231148681788,10.654231148681788,8.56202581996519e-16,0,12345
0.0,0.05,0,30,Repeated,1.0,,,,100,12345
0.0,0.05,0,30,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,30,Std-CP,0.91,6.50560987043669,6.256212693615054,1.953133049887477,0,12345
0.0,0.05,0,30,Subsampling,1.0,,,,100,12345
0.0,0.05,0,35,Donor-HCP-no-within,0.97,8.27138193611781,7.99390851070639,2.3829333543444107,0,12345
0.0,0.05,0,35,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,35,HCP,1.0,,,,100,12345
0.0,0.05,0,35,Pooling,0.94,10.654231148681788,10.654231148681788,8.56202581996519e-16,0,12345
0.0,0.05,0,35,Repeated,1.0,,,,100,12345
0.0,0.05,0,35,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,35,Std-CP,0.97,6.794031023038355,6.770576460946458,1.9776903713151905,0,12345
0.0,0.05,0,35,Subsampling,1.0,,,,100,12345
0.0,0.05,1,0,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,1,0,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,0,HCP,1.0,,,,100,12345
0.0,0.05,1,0,Pooling,0.8,6.912518444247121,6.912518444247121,1.341951558610089e-15,0,12345
0.0,0.05,1,0,Repeated,1.0,,,,100,12345
0.0,0.05,1,0,S-HCP-within,1.0,,,,100,12345
0.0,0.05,1,0,Std-CP,1.0,,,,100,12345
0.0,0.05,1,0,Subsampling,1.0,,,,100,12345
0.0,0.05,1,5,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,1,5,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,5,HCP,1.0,,,,100,12345
0.0,0.05,1,5,Pooling,0.8,6.912518444247121,6.912518444247121,1.341951558610089e-15,0,12345
0.0,0.05,1,5,Repeated,1.0,,,,100,12345
0.0,0.05,1,5,S-HCP-within,0.88,9.036520321157855,8.580103815521223,1.6293489114564996,0,12345
0.0,0.05,1,5,Std-CP,0.75,5.39299581856273,4.969147207918699,2.9406410455455543,0,12345
0.0,0.05,1,5,Subsampling,1.0,,,,100,12345
0.0,0.05,1,10,Donor-HCP-no-within,0.96,10.634291553464637,10.213580254579021,1.8280036976421081,0,12345
0.0,0.05,1,10,Donor-HCP-within,1.0,8.197283440623115,8.797580159749138,0.6857143879339452,85,12345
0.0,0.05,1,10,HCP,1.0,,,,100,12345
0.0,0.05,1,10,Pooling,0.8,6.912518444247121,6.912518444247121,1.341951558610089e-15,0,12345
0.0,0.05,1,10,Repeated,1.0,,,,100,12345
