tau_B,alpha,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,n_finite,randomization_varied_only
0.0,0.1,0,1,9.735480873080277,3.570611593983174e-15,0.0,3.6676273524981437e-16,100,True
0.0,0.1,0,2,10.354596961447589,1.785305796991587e-15,1.785305796991587e-15,1.724167346772325e-16,100,True
0.0,0.1,0,4,8.801219318776184,8.926528984957934e-16,0.0,1.0142377620239981e-16,100,True
0.0,0.1,0,3,16.10772085890574,3.570611593983174e-15,3.570611593983174e-15,2.2167081396925443e-16,100,True
0.0,0.1,0,0,11.63157919129639,3.570611593983174e-15,1.785305796991587e-15,3.069756509636258e-16,100,True
0.0,0.1,0,5,15.070559126086609,1.785305796991587e-15,1.785305796991587e-15,1.1846314274440457e-16,100,True
0.0,0.1,0,7,10.246715991974638,3.570611593983174e-15,1.785305796991587e-15,3.484639953698066e-16,100,True
0.0,0.1,0,8,10.921856102168745,1.785305796991587e-15,1.785305796991587e-15,1.634617578084626e-16,100,True
0.0,0.1,0,6,9.747834166827634,0.0,3.570611593983174e-15,0.0,100,True
0.0,0.1,0,9,8.439534915135141,1.0711834781949522e-14,0.0,1.2692446787250474e-15,100,True
0.0,0.1,0,11,9.76135804708156,3.570611593983174e-15,0.0,3.657904542340511e-16,100,True
0.0,0.1,0,10,12.89226229413486,3.570611593983174e-15,0.0,2.7695772181175444e-16,100,True
0.0,0.1,0,13,12.38566389187532,1.4282446375932695e-14,0.0,1.1531433842074155e-15,100,True
0.0,0.1,0,12,10.567309158697835,1.785305796991587e-15,0.0,1.6894611203100094e-16,100,True
0.0,0.1,0,14,9.762075958905735,0.0,1.785305796991587e-15,0.0,100,True
0.0,0.1,0,17,11.59093777749578,3.570611593983174e-15,1.785305796991587e-15,3.0805200256666405e-16,100,True
0.0,0.1,0,15,12.400688257042034,5.355917390974761e-15,0.0,4.319048491468425e-16,100,True
0.0,0.1,0,16,16.93808702041684,3.570611593983174e-15,3.570611593983174e-15,2.1080371057718785e-16,100,True
0.0,0.1,0,18,13.758262042470172,0.0,0.0,0.0,100,True
0.0,0.1,0,20,10.27710081269686,7.141223187966347e-15,1.785305796991587e-15,6.948674843340752e-16,100,True
0.0,0.1,0,19,12.096840464012635,1.785305796991587e-15,1.785305796991587e-15,1.475844706973497e-16,100,True
0.0,0.1,0,21,13.878094979015163,7.141223187966347e-15,3.570611593983174e-15,5.145679719561274e-16,100,True
0.0,0.1,0,23,9.72523033779728,3.570611593983174e-15,1.785305796991587e-15,3.671493085470612e-16,100,True
0.0,0.1,0,22,11.500144445950713,0.0,3.570611593983174e-15,0.0,100,True
0.0,0.1,0,25,13.160503278408715,3.570611593983174e-15,1.785305796991587e-15,2.7131269362936623e-16,100,True
0.0,0.1,0,28,8.94602149356345,0.0,3.570611593983174e-15,0.0,100,True
0.0,0.1,0,24,13.558942618554914,3.570611593983174e-15,1.785305796991587e-15,2.6333997380422005e-16,100,True
0.0,0.1,0,26,11.468251903506744,1.785305796991587e-15,3.570611593983174e-15,1.5567375150223888e-16,100,True
0.0,0.1,0,29,12.417078126780567,1.785305796991587e-15,0.0,1.4377825272284658e-16,100,True
0.0,0.1,0,27,14.720550615170366,7.141223187966347e-15,3.570611593983174e-15,4.851192985000785e-16,100,True
0.0,0.1,0,32,7.87513966746643,3.570611593983174e-15,1.785305796991587e-15,4.534029547099959e-16,100,True
0.0,0.1,0,30,17.673620032172696,3.570611593983174e-15,3.570611593983174e-15,2.020305736732659e-16,100,True
0.0,0.1,0,33,10.727110533835111,0.0,5.355917390974761e-15,0.0,100,True
0.0,0.1,0,34,8.842929400863241,0.0,0.0,0.0,100,True
0.0,0.1,0,31,12.791927071071468,7.141223187966347e-15,3.570611593983174e-15,5.582601548844032e-16,100,True
0.0,0.1,0,35,8.48630219708517,3.570611593983174e-15,3.570611593983174e-15,4.207499934670708e-16,100,True
0.0,0.1,0,36,9.909664470534763,8.926528984957934e-16,1.785305796991587e-15,9.007902347753481e-17,100,True
0.0,0.1,0,37,11.389132203212062,3.570611593983174e-15,1.785305796991587e-15,3.135104176748566e-16,100,True
0.0,0.1,0,39,11.996452526281603,1.785305796991587e-15,5.355917390974761e-15,1.4881947751473798e-16,100,True
0.0,0.1,0,38,9.05199559061245,0.0,3.570611593983174e-15,0.0,100,True
0.0,0.1,0,40,8.915677869492379,1.785305796991587e-15,1.785305796991587e-15,2.0024341649898962e-16,100,True
0.0,0.1,0,41,10.971649104431501,0.0,3.570611593983174e-15,0.0,100,True
0.0,0.1,0,43,11.897265860773665,0.0,0.0,0.0,100,True
0.0,0.1,0,42,9.753825511677759,1.785305796991587e-15,1.785305796991587e-15,1.830364706498113e-16,100,True
0.0,0.1,0,45,8.406879737019976,3.570611593983174e-15,1.785305796991587e-15,4.247249521436433e-16,100,True
0.0,0.1,0,44,8.893196329558373,1.785305796991587e-15,0.0,2.007496214896049e-16,100,True
0.0,0.1,0,46,8.229757468389394,7.141223187966347e-15,1.785305796991587e-15,8.677319125619289e-16,100,True
0.0,0.1,0,48,10.872258786210518,3.570611593983174e-15,1.785305796991587e-15,3.284148827023732e-16,100,True
0.0,0.1,0,47,9.697908074317795,3.570611593983174e-15,3.570611593983174e-15,3.6818369143330433e-16,100,True
0.0,0.1,0,49,11.637533948238747,0.0,0.0,0.0,100,True
0.0,0.1,5,0,8.500903044401554,0.26033034290066215,0.4275438778549945,0.030623845671561695,100,True
0.0,0.1,5,2,8.367477905322556,0.33324570551222776,0.34612864717812475,0.03982630241548054,100,True
0.0,0.1,5,4,7.399150827889517,0.4693151641150883,0.959837300794796,0.06342824670448738,100,True
0.0,0.1,5,1,8.929576184241144,0.5160546576499425,0.760795467367776,0.05779161821371459,100,True
0.0,0.1,5,5,8.708892758327131,1.1384216724747975,1.1259269462525159,0.13071945011451422,100,True
0.0,0.1,5,3,9.880211250994744,0.9541399376754063,0.7656518576151343,0.09657080333979125,100,True
0.0,0.1,5,10,12.354762062305454,1.431957320040393,1.857018771087911,0.11590326975290881,100,True
0.0,0.1,5,6,9.797762113098852,0.505672185521965,0.6508347201100282,0.05161098827312008,100,True
0.0,0.1,5,7,7.2549204943966545,0.21230999326665603,0.22379623777939828,0.029264275663755914,100,True
0.0,0.1,5,8,7.839228918575037,0.34989057100051735,0.5193678430484443,0.044633289145499036,100,True
0.0,0.1,5,11,7.9202265211337695,0.37184078406628257,0.6960934127149587,0.04694825117363614,100,True
0.0,0.1,5,9,7.777383761951641,0.514515756893605,0.26743786279568177,0.06615537726332966,100,True
0.0,0.1,5,13,8.910624718865725,0.6878362286167369,0.7311871810062971,0.07719281759902182,100,True
0.0,0.1,5,14,9.95659108997697,0.17858312068115892,0.8707256750657112,0.01793617103156257,100,True
0.0,0.1,5,12,8.912126585684634,0.3028763750070785,0.5424040080876686,0.033984747870792434,100,True
0.0,0.1,5,15,8.72202314843364,0.4720033877104256,0.43362430145197856,0.05411627321754943,100,True
0.0,0.1,5,17,8.404447517698095,0.395454497480376,0.6041093239720879,0.047053003382747934,100,True
0.0,0.1,5,16,8.548595633325535,0.49094967947958007,0.6945389732262195,0.057430448290907536,100,True
0.0,0.1,5,18,18.664878342023076,4.167845337943576,20.74569322189419,0.2232988215390546,100,True
0.0,0.1,5,21,8.338629312672142,0.4465439204198288,0.8767023132351567,0.05355123770056788,100,True
0.0,0.1,5,22,8.931128646612867,0.5156690230514942,0.595855192949639,0.05773839381958313,100,True
0.0,0.1,5,19,9.683937793759483,0.6661003258955105,1.4512394659476988,0.06878403600700103,100,True
0.0,0.1,5,20,9.477169984351834,1.1968522743974697,1.1109641502153838,0.12628794000462631,100,True
0.0,0.1,5,23,8.803173545428058,0.6217179143080407,1.0979132190701963,0.07062429373903811,100,True
0.0,0.1,5,24,7.303324142378469,0.36738524814347745,0.4254730677213473,0.05030383986542206,100,True
0.0,0.1,5,25,9.732673302128942,0.653324516017547,1.4671078815784357,0.06712693375566584,100,True
0.0,0.1,5,29,8.769359247858365,0.4675312123836298,0.9953680488066519,0.05331418170578533,100,True
0.0,0.1,5,26,8.934800888156207,0.36578069519883044,0.5829478740496666,0.04093887483085404,100,True
0.0,0.1,5,27,8.602837979166406,0.4243239691932365,0.6012717030769988,0.04932371970980121,100,True
0.0,0.1,5,28,9.780395664035309,1.4901736306507303,1.419230590173308,0.15236332780793627,100,True
0.0,0.1,5,30,8.359364602075583,0.485331182569405,1.326286147149835,0.058058381907268405,100,True
0.0,0.1,5,31,9.003923776712462,0.4697851770432368,0.7592038708552349,0.05217560573516606,100,True
