tau_B,alpha,o,mean_width_mean,sd_upper_mean,sd_width_mean,relative_instability_mean,n_finite_total,base_seed
0.0,0.05,0,,,,,0,12345
0.0,0.05,5,,,,,0,12345
0.0,0.05,10,,,,,0,12345
0.0,0.05,15,11.86251174096683,0.6233113458674664,0.9066573391685026,0.05016531451432257,5000,12345
0.0,0.05,20,7.348111923147758,0.41893880678943435,0.538923531525898,0.05683522123393314,5000,12345
0.0,0.05,25,,,,,0,12345
0.0,0.05,30,,,,,0,12345
0.0,0.05,35,,,,,0,12345
0.0,0.1,0,11.184252694648444,3.1867708476299823e-15,2.035248608570409e-15,2.8841028201802875e-16,5000,12345
0.0,0.1,5,9.713559993576961,0.7577165827852421,0.9712050635035796,0.07714335248362617,5000,12345
0.0,0.1,10,250.75229670237954,38.515298897453384,76.81938997714232,0.08139949662245366,5000,12345
0.0,0.1,15,7.49885687210832,0.5009892482405486,0.5298495062471613,0.06700557635791028,5000,12345
0.0,0.1,20,5.977050620136153,0.4226030412831946,0.44888196867250246,0.07049633071857142,5000,12345
0.0,0.1,25,6.508064642118946,2.6243995215776326e-15,1.3836119926684798e-15,3.948512809497342e-16,5000,12345
0.0,0.1,30,6.263143736021885,2.410162825938642e-15,1.3211262897737741e-15,3.760923095858524e-16,5000,12345
0.0,0.1,35,6.270411095998986,2.7850770433068758e-15,1.4014650506383957e-15,4.476091210563486e-16,5000,12345
5.0,0.05,0,,,,,0,12345
5.0,0.05,5,,,,,0,12345
5.0,0.05,10,,,,,0,12345
5.0,0.05,15,23.86621130775588,2.0146431806964564,3.553005149760462,0.08294304118137429,5000,12345
5.0,0.05,20,17.781801266879647,1.6041111566620054,2.826535916048932,0.08898244255320038,5000,12345
5.0,0.05,25,,,,,0,12345
5.0,0.05,30,,,,,0,12345
5.0,0.05,35,,,,,0,12345
5.0,0.1,0,38.41938440903593,4.998856231576443e-15,7.533990463304497e-15,1.3814195149699354e-16,5000,12345
5.0,0.1,5,32.49221871528517,4.334756662605716,5.7042146144413906,0.12195587496513476,5000,12345
5.0,0.1,10,105.46230534907956,12.756604399100011,23.32840115494707,0.10124373439632223,5000,12345
5.0,0.1,15,21.8595775038178,3.055091855663867,3.8144124593895703,0.12538524549820987,5000,12345
5.0,0.1,20,16.96687572011989,2.459949301066163,2.827126857038379,0.13000696056008332,5000,12345
5.0,0.1,25,6.679960772336268,2.1959261302996516e-15,1.4282446375932695e-15,3.229997283174821e-16,5000,12345
5.0,0.1,30,6.675187683454352,2.7047382824422544e-15,1.1604487680445315e-15,4.0149734563899415e-16,5000,12345
5.0,0.1,35,6.757423118552997,3.322900414650591e-15,1.5264364564278067e-15,4.612673078905739e-16,5000,12345
