tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
0.0,0.05,0,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Pooling,0.923,0.2666181108691019,8.99432054762647,8.736330124054795,2.0504259838693395,0.0,0,12345
0.0,0.05,0,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Subsampling,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,Pooling,0.923,0.2666181108691019,8.99432054762647,8.736330124054795,2.0504259838693395,0.0,0,12345
0.0,0.05,5,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,S-HCP-within,0.9498,0.21837925244761655,9.749860622440362,9.323062201471123,2.394955783401615,0.0,0,12345
0.0,0.05,5,Std-CP,0.7534,0.43107494142089076,6.028430306700333,4.904526054019661,4.540441878441813,0.0,0,12345
0.0,0.05,5,Subsampling,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,Donor-HCP-no-within,0.994,0.07723466215765892,12.998869409265659,12.707109227691692,2.589413100516754,0.0,0,12345
0.0,0.05,10,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,Pooling,0.923,0.2666181108691019,8.99432054762647,8.736330124054795,2.0504259838693395,0.0,0,12345
0.0,0.05,10,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,S-HCP-within,0.952,0.21378760728397203,9.609072343289423,9.153647042512231,2.2616826816199485,0.0,0,12345
0.0,0.05,10,Std-CP,0.833,0.3730131737158265,77.20116894081207,12.235867838621171,1253.0576289239837,0.0,0,12345
0.0,0.05,10,Subsampling,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,15,Donor-HCP-no-within,0.9706,0.16894184878133056,10.261860440084746,9.90854056259342,1.9606051329781564,0.0,0,12345
0.0,0.05,15,Donor-HCP-within,0.9872,0.11242191840360798,11.979151741887243,10.7307463764487,4.452105578049361,0.0,0,12345
0.0,0.05,15,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,15,Pooling,0.923,0.2666181108691019,8.99432054762647,8.736330124054795,2.0504259838693395,0.0,0,12345
0.0,0.05,15,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,15,S-HCP-within,0.9556,0.2060027364514488,9.737761059279944,9.273338382984994,2.19534214725542,0.0,0,12345
0.0,0.05,15,Std-CP,0.893,0.3091441638181201,9.048082494813652,7.438544735878004,7.642311585731366,0.0,0,12345
