replicate,o,tau,alpha,width,q_method,q,q_lower,q_upper,knot_value,mass_knot_test_frac,mass_knot_cal_frac,q_upper_is_test_value,q_upper_is_cal_only,q_upper_shared_cal_test,q_equals_max_test_finite,q_cal_only,q_over_q_cal_only,q_no_test_finite,q_changes_without_test_finite,max_test_finite,p90_cal_scores,median_cal_scores,mass_weight_test,mass_weight_cal,mass_weight_inf,mass_below_q_test,mass_below_q_cal,n_cal_scores,n_test_finite,n_test_inf
0,0,0,0.1,7.506165728261095,3.753082864130546,3.753082864130546,3.753082864130546,3.753082864130546,3.753082864130546,0.0,1.0,False,True,False,False,3.753082864130546,1.0,3.753082864130546,False,,2.7955104156197264,1.1074378101742077,0.0,0.9090909090909091,0.09090909090909095,0.0,0.9004329004329004,210,0,21
0,5,2,0.1,7.31694038549243,3.658470192746215,3.658470192746215,3.658470192746215,3.658470192746215,3.658470192746215,0.0,1.0,False,True,False,False,3.8783212991808327,0.9433128177180539,3.8783212991808327,True,2.9588026234482783,2.3205172690188482,0.8270348551430298,0.014354066985645935,0.9090909090909092,0.07655502392344499,0.014354066985645935,0.8899521531100478,190,3,16
0,10,5,0.1,6.042116350217192,3.021058175108596,3.021058175108596,3.021058175108596,3.021058175108596,3.021058175108596,0.0,1.0,False,True,False,False,3.8254740498061204,0.7897212569672789,3.8254740498061204,True,2.4589268132795006,2.1771442654988085,0.7529289392640544,0.028409090909090905,0.9090909090909092,0.0625,0.028409090909090905,0.875,160,5,11
0,15,7,0.1,4.78042693471955,2.390213467359777,2.390213467359777,2.390213467359777,2.390213467359777,2.390213467359777,0.0,1.0,False,True,False,False,3.336622485578223,0.7163571778620207,3.336622485578223,True,4.065326172954258,2.1535129748545194,0.9249173873525774,0.05194805194805195,0.9090909090909093,0.03896103896103897,0.04545454545454546,0.8571428571428573,140,8,6
0,20,10,0.1,5.070560487234808,2.535280243617404,2.535280243617404,2.535280243617404,2.535280243617404,2.535280243617404,0.0,1.0,False,True,False,False,3.278227493457793,0.773369221226088,3.278227493457793,True,3.892589780041469,2.215663813609359,0.9984583147141937,0.08264462809917356,0.909090909090909,0.008264462809917356,0.06611570247933884,0.8347107438016528,110,10,1
0,25,12,0.1,8.331729797415832,4.165864898707916,4.165864898707916,4.165864898707916,4.165864898707916,4.165864898707916,1.0,0.0,True,False,False,True,inf,,inf,False,4.165864898707916,,,0.9285714285714285,0.0,0.07142857142857144,0.9285714285714285,0.0,0,13,1
0,30,15,0.1,7.526898386044898,3.763449193022449,3.763449193022449,3.763449193022449,3.763449193022449,3.763449193022449,1.0,0.0,True,False,False,True,inf,,inf,False,3.763449193022449,,,0.9375,0.0,0.0625,0.9375,0.0,0,15,1
0,35,17,0.1,7.441926326230565,3.7209631631152824,3.7209631631152824,3.7209631631152824,3.7209631631152824,3.7209631631152824,1.0,0.0,True,False,False,True,inf,,inf,False,3.7209631631152824,,,0.9473684210526319,0.0,0.05263157894736843,0.9473684210526319,0.0,0,18,1
1,0,0,0.1,11.586903574602468,5.793451787301233,5.793451787301233,5.793451787301233,5.793451787301233,5.793451787301233,0.0,1.0,False,True,False,False,5.793451787301233,1.0,5.793451787301233,False,,3.175942668983984,1.2372542137562292,0.0,0.9090909090909091,0.09090909090909095,0.0,0.9004329004329004,210,0,21
1,5,2,0.1,7.071617188701532,3.5358085943507653,3.5358085943507653,3.5358085943507653,3.5358085943507653,3.5358085943507653,0.0,1.0,False,True,False,False,5.503634604754009,0.6424497351798307,5.503634604754009,True,1.1809134799702612,2.5639558272491034,1.126274490516594,0.014354066985645935,0.9090909090909092,0.07655502392344499,0.014354066985645935,0.8899521531100478,190,3,16
1,10,5,0.1,5.863727474487666,2.931863737243834,2.931863737243834,2.931863737243834,2.931863737243834,2.931863737243834,0.0,1.0,False,True,False,False,5.2227301415454015,0.5613661165300602,5.2227301415454015,True,3.6803881435381793,2.2592203700247167,0.9692861777127932,0.028409090909090905,0.9090909090909092,0.0625,0.022727272727272724,0.8806818181818182,160,5,11
1,15,7,0.1,5.5220669836349465,2.7610334918174733,2.7610334918174733,2.7610334918174733,2.7610334918174733,2.7610334918174733,0.0,1.0,False,True,False,False,5.284093609527758,0.5225178991604253,5.284093609527758,True,3.586560431225088,2.3571862750677015,0.9340330589674053,0.05194805194805195,0.9090909090909093,0.03896103896103897,0.03896103896103897,0.8636363636363638,140,8,6
1,20,10,0.1,4.876812589271191,2.4384062946355964,2.4384062946355964,2.4384062946355964,2.4384062946355964,2.4384062946355964,0.0,1.0,False,True,False,False,5.597375529883951,0.43563385762079665,5.597375529883951,True,3.605565810725535,2.324947585310587,0.9677425261424251,0.08264462809917356,0.909090909090909,0.008264462809917356,0.06611570247933884,0.8347107438016528,110,10,1
1,25,12,0.1,6.573900265465484,3.286950132732743,3.286950132732743,3.286950132732743,3.286950132732743,3.286950132732743,1.0,0.0,True,False,False,True,inf,,inf,False,3.286950132732743,,,0.9285714285714285,0.0,0.07142857142857144,0.9285714285714285,0.0,0,13,1
1,30,15,0.1,6.8335996634421985,3.4167998317211,3.4167998317211,3.4167998317211,3.4167998317211,3.4167998317211,1.0,0.0,True,False,False,True,inf,,inf,False,3.4167998317211,,,0.9375,0.0,0.0625,0.9375,0.0,0,15,1
1,35,17,0.1,4.629821612166456,2.314910806083228,2.314910806083228,2.314910806083228,2.314910806083228,2.314910806083228,1.0,0.0,True,False,False,True,inf,,inf,False,2.314910806083228,,,0.9473684210526319,0.0,0.05263157894736843,0.9473684210526319,0.0,0,18,1
2,0,0,0.1,11.732965475602562,5.866482737801281,5.866482737801281,5.866482737801281,5.866482737801281,5.866482737801281,0.0,1.0,False,True,False,False,5.866482737801281,1.0,5.866482737801281,False,,3.8692956929671554,1.514490894289251,0.0,0.9090909090909091,0.09090909090909095,0.0,0.9004329004329004,210,0,21
2,5,2,0.1,7.911717245543061,3.9558586227715313,3.9558586227715313,3.9558586227715313,3.9558586227715313,3.9558586227715313,0.0,1.0,False,True,False,False,4.477305085612006,0.8835356418940128,4.477305085612006,True,3.6670244644924885,3.0541635218580794,1.2884514232808435,0.014354066985645935,0.9090909090909092,0.07655502392344499,0.014354066985645935,0.8899521531100478,190,3,16
2,10,5,0.1,6.093375213296376,3.0466876066481876,3.0466876066481876,3.0466876066481876,3.0466876066481876,3.0466876066481876,0.0,1.0,False,True,False,False,4.4902113369698355,0.678517641600408,4.4902113369698355,True,3.506097370666769,2.5281788337895605,1.1862722338443872,0.028409090909090905,0.9090909090909092,0.0625,0.022727272727272724,0.8806818181818182,160,5,11
2,15,7,0.1,5.697970155636387,2.8489850778181935,2.8489850778181935,2.8489850778181935,2.8489850778181935,2.8489850778181935,0.0,1.0,False,True,False,False,4.648182213334824,0.6129245685861782,4.648182213334824,True,3.424823923266855,2.536710321561119,1.2104394809122594,0.05194805194805195,0.9090909090909093,0.03896103896103897,0.04545454545454546,0.8571428571428573,140,8,6
2,20,10,0.1,5.144850624346461,2.5724253121732303,2.5724253121732303,2.5724253121732303,2.5724253121732303,2.5724253121732303,0.0,1.0,False,True,False,False,4.551249148974454,0.5652130278899107,4.551249148974454,True,2.3148463587125683,2.572561438142994,1.059593496143715,0.08264462809917356,0.909090909090909,0.008264462809917356,0.08264462809917356,0.8181818181818181,110,10,1
2,25,12,0.1,5.63423196694259,2.817115983471295,2.817115983471295,2.817115983471295,2.817115983471295,2.817115983471295,1.0,0.0,True,False,False,True,inf,,inf,False,2.817115983471295,,,0.9285714285714285,0.0,0.07142857142857144,0.9285714285714285,0.0,0,13,1
2,30,15,0.1,5.277969177627785,2.6389845888138925,2.6389845888138925,2.6389845888138925,2.6389845888138925,2.6389845888138925,1.0,0.0,True,False,False,True,inf,,inf,False,2.6389845888138925,,,0.9375,0.0,0.0625,0.9375,0.0,0,15,1
2,35,17,0.1,5.326859988490419,2.6634299942452095,2.6634299942452095,2.6634299942452095,2.6634299942452095,2.6634299942452095,1.0,0.0,True,False,False,True,inf,,inf,False,2.6634299942452095,,,0.9473684210526319,0.0,0.05263157894736843,0.9473684210526319,0.0,0,18,1
3,0,0,0.1,9.193166347332863,4.596583173666431,4.596583173666431,4.596583173666431,4.596583173666431,4.596583173666431,0.0,1.0,False,True,False,False,4.596583173666431,1.0,4.596583173666431,False,,3.0237981473784106,1.2621982175710906,0.0,0.9090909090909091,0.09090909090909095,0.0,0.9004329004329004,210,0,21
3,5,2,0.1,7.614753787353557,3.8073768936767785,3.8073768936767785,3.8073768936767785,3.8073768936767785,3.8073768936767785,0.0,1.0,False,True,False,False,4.405216244314467,0.8642883078874319,4.405216244314467,True,2.711747101762274,2.3947424243792064,0.9396535787418516,0.014354066985645935,0.9090909090909092,0.07655502392344499,0.014354066985645935,0.8899521531100478,190,3,16
3,10,5,0.1,6.080192518688172,3.0400962593440863,3.0400962593440863,3.0400962593440863,3.0400962593440863,3.0400962593440863,0.0,1.0,False,True,False,False,4.091094459599725,0.7431009695243094,4.091094459599725,True,4.32511497929022,2.397349474171425,0.8630695249995333,0.028409090909090905,0.9090909090909092,0.0625,0.022727272727272724,0.8806818181818182,160,5,11
3,15,7,0.1,5.939485924521058,2.969742962260529,2.969742962260529,2.969742962260529,2.969742962260529,2.969742962260529,1.0,0.0,True,False,False,False,3.768403423727692,0.7880639698928171,3.768403423727692,True,4.133748058728322,2.6007794678494403,0.8168989310998511,0.05194805194805195,0.9090909090909093,0.03896103896103897,0.03246753246753247,0.8701298701298703,140,8,6
