test_state,test_obs_index,year_of_entry,n_observed_so_far,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_cal_total_obs,n_test_total
SC,0,2017.0,0,HCP++,1,0.9680893830984374,0,10.819798284210286,11.787887667308723,10.819798284210286,11.31090431291474,19,660,19
SC,0,2017.0,0,HCP.sample,0,0.918183927101424,0,10.851812349364028,11.769996276465452,10.819798284210286,11.31090431291474,19,660,19
SC,0,2017.0,0,HCP,1,0.9822120574089084,0,10.819798284210286,11.802010341619194,10.819798284210286,11.31090431291474,19,660,19
SC,0,2017.0,0,Pooling,0,0.8935117172285238,0,10.864148454300478,11.757660171529002,10.819798284210286,11.31090431291474,19,660,19
SC,0,2017.0,0,Subsampling,0,0.7551942279025639,0,10.933307198963458,11.688501426866022,10.819798284210286,11.31090431291474,19,660,19
SC,0,2017.0,0,Repeated,1,0.9822120574089084,0,10.819798284210286,11.802010341619194,10.819798284210286,11.31090431291474,19,660,19
SC,1,2017.0,1,HCP++,1,1.1381994823311956,0,10.755354417687021,11.893553900018217,11.264476926102367,11.323801290723146,19,660,19
SC,1,2017.0,1,HCP.sample,1,1.1429318161695896,0,10.756279185760505,11.899211001930095,11.264476926102367,11.323801290723146,19,660,19
SC,1,2017.0,1,HCP,1,0.9822120574089084,0,10.832695262018692,11.8149073194276,11.264476926102367,11.323801290723146,19,660,19
SC,1,2017.0,1,Pooling,1,0.8935117172285238,0,10.877045432108885,11.770557149337408,11.264476926102367,11.323801290723146,19,660,19
SC,1,2017.0,1,Subsampling,1,0.9822120574089084,0,10.832695262018692,11.8149073194276,11.264476926102367,11.323801290723146,19,660,19
SC,1,2017.0,1,Repeated,1,0.9822120574089084,0,10.832695262018692,11.8149073194276,11.264476926102367,11.323801290723146,19,660,19
SC,2,2017.0,2,HCP++,1,2.2380508681511238,0,9.651550709072852,11.889601577223976,10.62135173563291,11.274467288223036,19,660,19
SC,2,2017.0,2,HCP.sample,1,1.7211115103694858,0,9.91541033080011,11.636521841169596,10.62135173563291,11.274467288223036,19,660,19
SC,2,2017.0,2,HCP,0,0.9822120574089084,0,10.783361259518582,11.76557331692749,10.62135173563291,11.274467288223036,19,660,19
SC,2,2017.0,2,Pooling,0,0.8935117172285238,0,10.827711429608774,11.721223146837298,10.62135173563291,11.274467288223036,19,660,19
SC,2,2017.0,2,Subsampling,0,1.0908731883290947,0,10.729030694058489,11.819903882387583,10.62135173563291,11.274467288223036,19,660,19
SC,2,2017.0,2,Repeated,0,0.9822120574089084,0,10.783361259518582,11.76557331692749,10.62135173563291,11.274467288223036,19,660,19
SC,3,2017.0,3,HCP++,0,2.1265061530398306,0,9.637874867054869,11.7643810200947,12.100717685412471,11.162446337073629,19,660,19
SC,3,2017.0,3,HCP.sample,0,2.2202164760406795,0,9.632779782222595,11.852996258263275,12.100717685412471,11.162446337073629,19,660,19
SC,3,2017.0,3,HCP,0,0.9822120574089084,0,10.671340308369174,11.653552365778083,12.100717685412471,11.162446337073629,19,660,19
SC,3,2017.0,3,Pooling,0,0.8935117172285238,0,10.715690478459367,11.60920219568789,12.100717685412471,11.162446337073629,19,660,19
SC,3,2017.0,3,Subsampling,0,0.9986607803839149,0,10.663115946881671,11.661776727265586,12.100717685412471,11.162446337073629,19,660,19
SC,3,2017.0,3,Repeated,0,0.9822120574089084,0,10.671340308369174,11.653552365778083,12.100717685412471,11.162446337073629,19,660,19
SC,4,2017.0,4,HCP++,1,1.7896687734554426,0,9.681681383036764,11.471350156492207,10.373522431293592,10.959886521397886,19,660,19
SC,4,2017.0,4,HCP.sample,1,2.365293808788735,0,9.787380781749448,12.152674590538183,10.373522431293592,10.959886521397886,19,660,19
SC,4,2017.0,4,HCP,0,0.9822120574089084,0,10.468780492693432,11.45099255010234,10.373522431293592,10.959886521397886,19,660,19
SC,4,2017.0,4,Pooling,0,0.8935117172285238,0,10.513130662783624,11.406642380012148,10.373522431293592,10.959886521397886,19,660,19
SC,4,2017.0,4,Subsampling,0,1.107213795705853,0,10.40627962354496,11.513493419250812,10.373522431293592,10.959886521397886,19,660,19
SC,4,2017.0,4,Repeated,0,0.9834968363353127,0,10.46813810323023,11.451634939565542,10.373522431293592,10.959886521397886,19,660,19
SC,5,2017.0,5,HCP++,1,1.62073650117663,0,9.778143614386138,11.398880115562768,10.239995502805316,10.856017685936877,19,660,19
SC,5,2017.0,5,HCP.sample,1,2.3180701926975082,0,9.199086128452244,11.517156321149752,10.239995502805316,10.856017685936877,19,660,19
SC,5,2017.0,5,HCP,0,0.9822120574089084,0,10.364911657232422,11.34712371464133,10.239995502805316,10.856017685936877,19,660,19
SC,5,2017.0,5,Pooling,0,0.8935117172285238,0,10.409261827322615,11.302773544551139,10.239995502805316,10.856017685936877,19,660,19
SC,5,2017.0,5,Subsampling,0,0.9822120574089084,0,10.364911657232422,11.34712371464133,10.239995502805316,10.856017685936877,19,660,19
SC,5,2017.0,5,Repeated,0,0.9986607803839149,0,10.35668729574492,11.355348076128834,10.239995502805316,10.856017685936877,19,660,19
SC,6,2017.0,6,HCP++,1,1.7380731341242068,0,10.029712357437868,11.767785491562075,11.225256725762893,11.206197076703205,19,660,19
SC,6,2017.0,6,HCP.sample,1,1.828122200292924,0,10.266386362369008,12.094508562661932,11.225256725762893,11.206197076703205,19,660,19
SC,6,2017.0,6,HCP,1,0.9822120574089084,0,10.715091047998751,11.69730310540766,11.225256725762893,11.206197076703205,19,660,19
SC,6,2017.0,6,Pooling,1,0.8935117172285238,0,10.759441218088943,11.652952935317467,11.225256725762893,11.206197076703205,19,660,19
SC,6,2017.0,6,Subsampling,1,0.9822120574089084,0,10.715091047998751,11.69730310540766,11.225256725762893,11.206197076703205,19,660,19
SC,6,2017.0,6,Repeated,1,0.9834968363353127,0,10.714448658535549,11.697945494870861,11.225256725762893,11.206197076703205,19,660,19
SC,7,2017.0,7,HCP++,1,1.7380731341242068,0,9.887114475840402,11.625187609964609,10.596659732783579,11.09910043444663,19,660,19
SC,7,2017.0,7,HCP.sample,1,1.634751338171558,0,10.405761185173562,12.04051252334512,10.596659732783579,11.09910043444663,19,660,19
SC,7,2017.0,7,HCP,0,0.9822120574089084,0,10.607994405742176,11.590206463151084,10.596659732783579,11.09910043444663,19,660,19
SC,7,2017.0,7,Pooling,0,0.8935117172285238,0,10.652344575832368,11.545856293060892,10.596659732783579,11.09910043444663,19,660,19
SC,7,2017.0,7,Subsampling,0,0.8032710337054745,0,10.697464917593893,11.500735951299367,10.596659732783579,11.09910043444663,19,660,19
SC,7,2017.0,7,Repeated,0,0.9822120574089084,0,10.607994405742176,11.590206463151084,10.596659732783579,11.09910043444663,19,660,19
SC,8,2017.0,8,HCP++,1,1.9992980010120007,0,10.536241405051252,12.535539406063252,11.156264806643742,11.640165684192354,19,660,19
SC,8,2017.0,8,HCP.sample,1,1.7936001500965766,0,10.33339787629444,12.126998026391016,11.156264806643742,11.640165684192354,19,660,19
SC,8,2017.0,8,HCP,1,0.9822120574089084,0,11.1490596554879,12.131271712896808,11.156264806643742,11.640165684192354,19,660,19
SC,8,2017.0,8,Pooling,0,0.8935117172285238,0,11.193409825578092,12.086921542806616,11.156264806643742,11.640165684192354,19,660,19
SC,8,2017.0,8,Subsampling,1,1.1379050979478968,0,11.071213135218406,12.209118233166302,11.156264806643742,11.640165684192354,19,660,19
SC,8,2017.0,8,Repeated,1,0.9822120574089084,0,11.1490596554879,12.131271712896808,11.156264806643742,11.640165684192354,19,660,19
SC,9,2017.0,9,HCP++,1,1.9123947978628344,0,9.656478393300038,11.568873191162872,10.491301994830229,10.684267994209334,19,660,19
SC,9,2017.0,9,HCP.sample,1,1.5910889868826494,0,9.604025875903439,11.195114862786088,10.491301994830229,10.684267994209334,19,660,19
SC,9,2017.0,9,HCP,1,0.9822120574089084,0,10.19316196550488,11.175374022913788,10.491301994830229,10.684267994209334,19,660,19
SC,9,2017.0,9,Pooling,1,0.8935117172285238,0,10.237512135595072,11.131023852823596,10.491301994830229,10.684267994209334,19,660,19
SC,9,2017.0,9,Subsampling,1,0.8136944454779886,0,10.27742077147034,11.091115216948328,10.491301994830229,10.684267994209334,19,660,19
SC,9,2017.0,9,Repeated,1,0.9822120574089084,0,10.19316196550488,11.175374022913788,10.491301994830229,10.684267994209334,19,660,19
SC,10,2017.0,10,HCP++,1,1.8527837330066497,0,9.756226672972883,11.609010405979532,11.002116507732017,10.928305665981558,19,660,19
SC,10,2017.0,10,HCP.sample,1,1.4365350774746872,0,9.704751129113772,11.14128620658846,11.002116507732017,10.928305665981558,19,660,19
SC,10,2017.0,10,HCP,1,0.9822120574089084,0,10.437199637277104,11.419411694686012,11.002116507732017,10.928305665981558,19,660,19
SC,10,2017.0,10,Pooling,1,0.8935117172285238,0,10.481549807367296,11.37506152459582,11.002116507732017,10.928305665981558,19,660,19
SC,10,2017.0,10,Subsampling,1,0.8136944454779886,0,10.521458443242564,11.335152888720552,11.002116507732017,10.928305665981558,19,660,19
SC,10,2017.0,10,Repeated,1,0.9986607803839149,0,10.4289752757896,11.427636056173515,11.002116507732017,10.928305665981558,19,660,19
SC,11,2017.0,11,HCP++,1,1.817327360977746,0,9.958627241534186,11.775954602511932,10.915106645867503,11.090253014807043,19,660,19
SC,11,2017.0,11,HCP.sample,1,1.8137365792773004,0,10.163019276687214,11.976755855964514,10.915106645867503,11.090253014807043,19,660,19
SC,11,2017.0,11,HCP,1,0.9822120574089084,0,10.599146986102589,11.581359043511497,10.915106645867503,11.090253014807043,19,660,19
SC,11,2017.0,11,Pooling,1,0.8935117172285238,0,10.643497156192781,11.537008873421305,10.915106645867503,11.090253014807043,19,660,19
SC,11,2017.0,11,Subsampling,1,0.9822120574089084,0,10.599146986102589,11.581359043511497,10.915106645867503,11.090253014807043,19,660,19
SC,11,2017.0,11,Repeated,1,0.9822120574089084,0,10.599146986102589,11.581359043511497,10.915106645867503,11.090253014807043,19,660,19
SC,12,2017.0,12,HCP++,1,1.7605858051043128,0,10.022483985815915,11.783069790920228,10.703266939811954,11.051765908112209,19,660,19
SC,12,2017.0,12,HCP.sample,1,1.2984482072358752,0,10.101076674772928,11.399524882008803,10.703266939811954,11.051765908112209,19,660,19
SC,12,2017.0,12,HCP,1,0.9822120574089084,0,10.560659879407755,11.542871936816663,10.703266939811954,11.051765908112209,19,660,19
SC,12,2017.0,12,Pooling,1,0.8935117172285238,0,10.605010049497947,11.498521766726471,10.703266939811954,11.051765908112209,19,660,19
SC,12,2017.0,12,Subsampling,1,0.9822120574089084,0,10.560659879407755,11.542871936816663,10.703266939811954,11.051765908112209,19,660,19
SC,12,2017.0,12,Repeated,1,0.9834968363353127,0,10.560017489944553,11.543514326279865,10.703266939811954,11.051765908112209,19,660,19
SC,13,2018.0,13,HCP++,1,1.6208840725473195,0,9.238724017480319,10.859608090027638,10.714439990727769,10.54479680407135,19,660,19
SC,13,2018.0,13,HCP.sample,1,1.430020304759477,0,9.28832994102826,10.718350245787738,10.714439990727769,10.54479680407135,19,660,19
SC,13,2018.0,13,HCP,1,0.9822120574089084,0,10.053690775366896,11.035902832775804,10.714439990727769,10.54479680407135,19,660,19
SC,13,2018.0,13,Pooling,1,0.8935117172285238,0,10.098040945457088,10.991552662685612,10.714439990727769,10.54479680407135,19,660,19
SC,13,2018.0,13,Subsampling,1,1.0908731883290947,0,9.999360209906802,11.090233398235897,10.714439990727769,10.54479680407135,19,660,19
SC,13,2018.0,13,Repeated,1,0.9834968363353127,0,10.053048385903693,11.036545222239006,10.714439990727769,10.54479680407135,19,660,19
SC,14,2018.0,14,HCP++,1,1.6945322267871177,0,9.953426516939583,11.6479587437267,11.429554725537322,11.044686581265898,19,660,19
SC,14,2018.0,14,HCP.sample,1,1.6941152337774668,0,10.048297206370636,11.742412440148103,11.429554725537322,11.044686581265898,19,660,19
SC,14,2018.0,14,HCP,1,0.9822120574089084,0,10.553580552561444,11.535792609970352,11.429554725537322,11.044686581265898,19,660,19
SC,14,2018.0,14,Pooling,1,0.8935117172285238,0,10.597930722651636,11.49144243988016,11.429554725537322,11.044686581265898,19,660,19
SC,14,2018.0,14,Subsampling,1,0.8136944454779886,0,10.637839358526904,11.451533804004892,11.429554725537322,11.044686581265898,19,660,19
SC,14,2018.0,14,Repeated,1,0.9822120574089084,0,10.553580552561444,11.535792609970352,11.429554725537322,11.044686581265898,19,660,19
SC,15,2018.0,15,HCP++,1,1.7958304930943392,0,10.255695333645768,12.051525826740107,10.819798284210286,11.380703193361779,19,660,19
SC,15,2018.0,15,HCP.sample,1,1.8212846723772067,0,9.954916977938552,11.776201650315759,10.819798284210286,11.380703193361779,19,660,19
SC,15,2018.0,15,HCP,0,0.9822120574089084,0,10.889597164657324,11.871809222066233,10.819798284210286,11.380703193361779,19,660,19
SC,15,2018.0,15,Pooling,0,0.8935117172285238,0,10.933947334747517,11.82745905197604,10.819798284210286,11.380703193361779,19,660,19
SC,15,2018.0,15,Subsampling,1,1.1436601384952958,0,10.80887312411413,11.952533262609427,10.819798284210286,11.380703193361779,19,660,19
SC,15,2018.0,15,Repeated,0,0.9822120574089084,0,10.889597164657324,11.871809222066233,10.819798284210286,11.380703193361779,19,660,19
SC,16,2018.0,16,HCP++,1,1.865965584112999,0,9.85700539467021,11.72297097878321,10.819798284210286,10.9229908122657,19,660,19
SC,16,2018.0,16,HCP.sample,1,1.8911558310405567,0,10.509076034981684,12.40023186602224,10.819798284210286,10.9229908122657,19,660,19
SC,16,2018.0,16,HCP,1,0.9822120574089084,0,10.431884783561246,11.414096840970155,10.819798284210286,10.9229908122657,19,660,19
SC,16,2018.0,16,Pooling,1,0.8935117172285238,0,10.476234953651439,11.369746670879962,10.819798284210286,10.9229908122657,19,660,19
SC,16,2018.0,16,Subsampling,1,0.9822120574089084,0,10.431884783561246,11.414096840970155,10.819798284210286,10.9229908122657,19,660,19
SC,16,2018.0,16,Repeated,1,0.9822120574089084,0,10.431884783561246,11.414096840970155,10.819798284210286,10.9229908122657,19,660,19
SC,17,2018.0,17,HCP++,1,2.02144020636333,0,9.51471322210923,11.53615342847256,10.87806606028079,10.73368298823492,19,660,19
SC,17,2018.0,17,HCP.sample,1,1.7685387556046166,0,9.487848233758378,11.256386989362994,10.87806606028079,10.73368298823492,19,660,19
SC,17,2018.0,17,HCP,1,0.9822120574089084,0,10.242576959530465,11.224789016939374,10.87806606028079,10.73368298823492,19,660,19
SC,17,2018.0,17,Pooling,1,0.8935117172285238,0,10.286927129620658,11.180438846849182,10.87806606028079,10.73368298823492,19,660,19
SC,17,2018.0,17,Subsampling,1,0.8136944454779886,0,10.326835765495925,11.140530210973914,10.87806606028079,10.73368298823492,19,660,19
SC,17,2018.0,17,Repeated,1,0.9834968363353127,0,10.241934570067263,11.225431406402576,10.87806606028079,10.73368298823492,19,660,19
SC,18,2018.0,18,HCP++,1,1.6969859596689858,0,10.103560649640748,11.800546609309734,11.472113887062386,11.416412782218973,19,660,19
SC,18,2018.0,18,HCP.sample,1,1.7001021972317645,0,10.226880909507337,11.926983106739101,11.472113887062386,11.416412782218973,19,660,19
SC,18,2018.0,18,HCP,1,0.9822120574089084,0,10.92530675351452,11.907518810923428,11.472113887062386,11.416412782218973,19,660,19
SC,18,2018.0,18,Pooling,1,0.8935117172285238,0,10.969656923604711,11.863168640833235,11.472113887062386,11.416412782218973,19,660,19
SC,18,2018.0,18,Subsampling,1,0.8935117172285238,0,10.969656923604711,11.863168640833235,11.472113887062386,11.416412782218973,19,660,19
SC,18,2018.0,18,Repeated,1,0.9822120574089084,0,10.92530675351452,11.907518810923428,11.472113887062386,11.416412782218973,19,660,19
AL,0,2017.0,0,HCP++,1,1.0029959815087892,0,10.807417165208074,11.810413146716863,10.819798284210286,11.31090431291474,19,660,9
AL,0,2017.0,0,HCP.sample,1,1.1436601384952958,0,10.739074243667092,11.882734382162388,10.819798284210286,11.31090431291474,19,660,9
AL,0,2017.0,0,HCP,1,0.9822120574089084,0,10.819798284210286,11.802010341619194,10.819798284210286,11.31090431291474,19,660,9
AL,0,2017.0,0,Pooling,0,0.8935117172285238,0,10.864148454300478,11.757660171529002,10.819798284210286,11.31090431291474,19,660,9
AL,0,2017.0,0,Subsampling,0,0.8935117172285238,0,10.864148454300478,11.757660171529002,10.819798284210286,11.31090431291474,19,660,9
AL,0,2017.0,0,Repeated,1,0.9822120574089084,0,10.819798284210286,11.802010341619194,10.819798284210286,11.31090431291474,19,660,9
AL,1,2017.0,1,HCP++,1,1.1395268309105369,0,10.755455410852269,11.894982241762806,11.264476926102367,11.323801290723146,19,660,9
AL,1,2017.0,1,HCP.sample,1,1.1429318161695896,0,10.756279185760505,11.899211001930095,11.264476926102367,11.323801290723146,19,660,9
AL,1,2017.0,1,HCP,1,0.9822120574089084,0,10.832695262018692,11.8149073194276,11.264476926102367,11.323801290723146,19,660,9
AL,1,2017.0,1,Pooling,1,0.8935117172285238,0,10.877045432108885,11.770557149337408,11.264476926102367,11.323801290723146,19,660,9
AL,1,2017.0,1,Subsampling,1,0.9822120574089084,0,10.832695262018692,11.8149073194276,11.264476926102367,11.323801290723146,19,660,9
AL,1,2017.0,1,Repeated,1,0.9834968363353127,0,10.83205287255549,11.815549708890803,11.264476926102367,11.323801290723146,19,660,9
AL,2,2017.0,2,HCP++,1,2.219287983899619,0,9.66671465804403,11.88600264194365,10.62135173563291,11.274467288223036,19,660,9
AL,2,2017.0,2,HCP.sample,1,1.9390675529153647,0,9.806432309527171,11.745499862442536,10.62135173563291,11.274467288223036,19,660,9
AL,2,2017.0,2,HCP,0,0.9822120574089084,0,10.783361259518582,11.76557331692749,10.62135173563291,11.274467288223036,19,660,9
AL,2,2017.0,2,Pooling,0,0.8935117172285238,0,10.827711429608774,11.721223146837298,10.62135173563291,11.274467288223036,19,660,9
AL,2,2017.0,2,Subsampling,0,0.7114622977199261,0,10.918736139363073,11.630198437083,10.62135173563291,11.274467288223036,19,660,9
AL,2,2017.0,2,Repeated,0,0.9822120574089084,0,10.783361259518582,11.76557331692749,10.62135173563291,11.274467288223036,19,660,9
AL,3,2017.0,3,HCP++,0,1.9436585185741073,0,9.785113049876216,11.728771568450323,12.100717685412471,11.162446337073629,19,660,9
AL,3,2017.0,3,HCP.sample,0,2.5594672517071224,0,9.301033434421212,11.860500686128335,12.100717685412471,11.162446337073629,19,660,9
AL,3,2017.0,3,HCP,0,0.9822120574089084,0,10.671340308369174,11.653552365778083,12.100717685412471,11.162446337073629,19,660,9
AL,3,2017.0,3,Pooling,0,0.8935117172285238,0,10.715690478459367,11.60920219568789,12.100717685412471,11.162446337073629,19,660,9
AL,3,2017.0,3,Subsampling,0,0.9822120574089084,0,10.671340308369174,11.653552365778083,12.100717685412471,11.162446337073629,19,660,9
AL,3,2017.0,3,Repeated,0,0.9822120574089084,0,10.671340308369174,11.653552365778083,12.100717685412471,11.162446337073629,19,660,9
AL,4,2017.0,4,HCP++,1,1.7456364922477228,0,9.782647984714922,11.528284476962645,10.373522431293592,10.959886521397886,19,660,9
AL,4,2017.0,4,HCP.sample,1,1.9390227633388761,0,10.266538687149888,12.205561450488764,10.373522431293592,10.959886521397886,19,660,9
AL,4,2017.0,4,HCP,0,0.9822120574089084,0,10.468780492693432,11.45099255010234,10.373522431293592,10.959886521397886,19,660,9
AL,4,2017.0,4,Pooling,0,0.8935117172285238,0,10.513130662783624,11.406642380012148,10.373522431293592,10.959886521397886,19,660,9
AL,4,2017.0,4,Subsampling,0,1.1436601384952958,0,10.388056452150238,11.531716590645534,10.373522431293592,10.959886521397886,19,660,9
AL,4,2017.0,4,Repeated,0,0.9822120574089084,0,10.468780492693432,11.45099255010234,10.373522431293592,10.959886521397886,19,660,9
AL,5,2018.0,5,HCP++,1,1.7896687734554426,0,9.721267615443281,11.510936388898724,10.239995502805316,10.856017685936877,19,660,9
AL,5,2018.0,5,HCP.sample,1,2.0237920924550643,0,9.346225178573466,11.37001727102853,10.239995502805316,10.856017685936877,19,660,9
AL,5,2018.0,5,HCP,0,0.9822120574089084,0,10.364911657232422,11.34712371464133,10.239995502805316,10.856017685936877,19,660,9
