state_fips,age,cow,english,marital,educ,sex,hours,yoep,nativity,income,state_abb,entry_recency,age_sq,educ_level,married,female,y
1,29,1.0,1.0,1,22.0,1,40.0,2017.0,2,41000.0,AL,1.0,841,BAplus,1,0,10.62135173563291
1,41,1.0,3.0,1,21.0,1,50.0,2018.0,2,180000.0,AL,0.0,1681,BAplus,1,0,12.100717685412471
1,34,1.0,1.0,1,22.0,2,40.0,2018.0,2,75000.0,AL,0.0,1156,BAplus,1,1,11.225256725762893
1,53,1.0,2.0,5,19.0,1,40.0,2018.0,2,40000.0,AL,0.0,2809,SomeCollege,0,0,10.596659732783579
1,50,1.0,1.0,1,22.0,1,40.0,2017.0,2,70000.0,AL,1.0,2500,BAplus,1,0,11.156264806643742
1,25,3.0,1.0,5,22.0,1,50.0,2017.0,2,60000.0,AL,1.0,625,BAplus,0,0,11.002116507732017
2,32,1.0,1.0,1,23.0,1,40.0,2017.0,2,50000.0,AK,1.0,1024,BAplus,1,0,10.819798284210286
2,28,1.0,1.0,1,22.0,1,40.0,2018.0,2,78000.0,AK,0.0,784,BAplus,1,0,11.264476926102367
4,32,8.0,4.0,5,12.0,1,48.0,2018.0,2,40500.0,AZ,0.0,1024,<HS,0,0,10.609081944147828
4,26,2.0,2.0,5,24.0,1,40.0,2017.0,2,40000.0,AZ,1.0,676,BAplus,0,0,10.596659732783579
4,32,1.0,1.0,1,22.0,2,40.0,2017.0,2,58000.0,AZ,1.0,1024,BAplus,1,1,10.968215530759236
4,48,7.0,2.0,1,21.0,1,48.0,2018.0,2,60000.0,AZ,0.0,2304,BAplus,1,0,11.002116507732017
4,38,1.0,1.0,1,21.0,1,48.0,2018.0,2,100000.0,AZ,0.0,1444,BAplus,1,0,11.51293546492023
4,29,1.0,1.0,1,22.0,2,40.0,2018.0,2,65000.0,AZ,0.0,841,BAplus,1,1,11.082157933374816
4,31,5.0,1.0,5,21.0,1,40.0,2017.0,2,49000.0,AZ,1.0,961,BAplus,0,0,10.799595985047786
4,29,1.0,1.0,5,22.0,1,65.0,2018.0,2,60000.0,AZ,0.0,841,BAplus,0,0,11.002116507732017
4,29,1.0,1.0,5,22.0,1,40.0,2017.0,2,136000.0,AZ,1.0,841,BAplus,0,0,11.820417517632333
4,29,1.0,2.0,1,18.0,1,54.0,2017.0,2,62000.0,AZ,1.0,841,SomeCollege,1,0,11.034905792929415
4,27,5.0,3.0,1,21.0,1,35.0,2018.0,2,40000.0,AZ,0.0,729,BAplus,1,0,10.596659732783579
4,38,1.0,1.0,2,21.0,2,40.0,2017.0,2,69000.0,AZ,1.0,1444,BAplus,0,1,11.141876276228
4,43,1.0,1.0,1,21.0,1,40.0,2017.0,2,52000.0,AZ,1.0,1849,BAplus,1,0,10.859018228147887
4,50,1.0,1.0,1,21.0,1,25.0,2017.0,2,230000.0,AZ,1.0,2500,BAplus,1,0,12.345838935721968
4,37,7.0,1.0,1,22.0,1,40.0,2017.0,2,170500.0,AZ,1.0,1369,BAplus,1,0,12.046496440791149
4,44,1.0,1.0,3,21.0,2,40.0,2017.0,2,120000.0,AZ,1.0,1936,BAplus,0,1,11.695255355062795
4,26,1.0,1.0,1,22.0,1,40.0,2018.0,2,115000.0,AZ,0.0,676,BAplus,1,0,11.652696102959753
4,27,1.0,1.0,5,21.0,1,40.0,2017.0,2,97000.0,AZ,1.0,729,BAplus,0,0,11.48247656671073
4,30,1.0,1.0,1,22.0,1,40.0,2018.0,2,76050.0,AZ,0.0,900,BAplus,1,0,11.239159446844907
5,31,1.0,2.0,1,21.0,1,40.0,2017.0,2,55000.0,AR,1.0,961,BAplus,1,0,10.915106645867503
5,28,1.0,1.0,5,21.0,2,48.0,2018.0,2,44500.0,AR,0.0,784,BAplus,0,1,10.703266939811954
5,31,3.0,1.0,1,23.0,1,50.0,2017.0,2,21000.0,AR,1.0,961,BAplus,1,0,9.952325334619427
5,33,1.0,4.0,5,1.0,2,40.0,2017.0,2,21000.0,AR,1.0,1089,<HS,0,1,9.952325334619427
6,26,1.0,2.0,1,21.0,1,45.0,2017.0,2,130100.0,CA,1.0,676,BAplus,1,0,11.776066350866136
6,39,1.0,2.0,1,22.0,1,40.0,2017.0,2,101000.0,CA,1.0,1521,BAplus,1,0,11.522885696764481
6,43,1.0,1.0,1,23.0,1,40.0,2017.0,2,120030.0,CA,1.0,1849,BAplus,1,0,11.695505321735206
6,27,1.0,2.0,1,22.0,2,40.0,2018.0,2,167700.0,CA,0.0,729,BAplus,1,1,12.02993791082274
6,33,1.0,1.0,1,22.0,1,40.0,2017.0,2,144000.0,CA,1.0,1089,BAplus,1,0,11.87757552297847
6,30,1.0,2.0,1,24.0,1,40.0,2018.0,2,198000.0,CA,0.0,900,BAplus,1,0,12.19602736016897
6,27,1.0,1.0,5,22.0,1,40.0,2017.0,2,85000.0,CA,1.0,729,BAplus,0,0,11.350418300109132
6,37,1.0,1.0,3,24.0,1,40.0,2018.0,2,155000.0,CA,0.0,1369,BAplus,0,0,11.951186847493476
6,29,1.0,2.0,5,22.0,1,40.0,2017.0,2,150000.0,CA,1.0,841,BAplus,0,0,11.918397239722838
6,45,1.0,1.0,5,21.0,1,45.0,2017.0,2,293000.0,CA,1.0,2025,BAplus,0,0,12.587931300962664
6,36,1.0,1.0,1,21.0,1,40.0,2018.0,2,168000.0,CA,0.0,1296,BAplus,1,0,12.031725210748633
6,33,1.0,1.0,1,21.0,1,40.0,2017.0,2,136000.0,CA,1.0,1089,BAplus,1,0,11.820417517632333
6,32,1.0,1.0,1,21.0,1,40.0,2018.0,2,101000.0,CA,0.0,1024,BAplus,1,0,11.522885696764481
6,30,1.0,1.0,5,21.0,2,40.0,2018.0,2,100000.0,CA,0.0,900,BAplus,0,1,11.51293546492023
6,35,2.0,1.0,1,24.0,1,40.0,2017.0,2,144000.0,CA,1.0,1225,BAplus,1,0,11.87757552297847
6,27,1.0,3.0,5,22.0,1,50.0,2018.0,2,100000.0,CA,0.0,729,BAplus,0,0,11.51293546492023
6,38,1.0,1.0,5,22.0,1,40.0,2018.0,2,160000.0,CA,0.0,1444,BAplus,0,0,11.982935344196433
6,28,1.0,1.0,1,21.0,2,34.0,2017.0,2,90000.0,CA,1.0,784,BAplus,1,1,11.407576060361786
6,34,4.0,1.0,1,16.0,1,40.0,2018.0,2,105000.0,CA,0.0,1156,HS,1,0,11.561725152903833
6,39,1.0,1.0,1,22.0,1,45.0,2017.0,2,272000.0,CA,1.0,1521,BAplus,1,0,12.513561021741964
6,41,1.0,1.0,1,21.0,1,40.0,2017.0,2,150000.0,CA,1.0,1681,BAplus,1,0,11.918397239722838
6,45,1.0,3.0,1,24.0,1,50.0,2017.0,2,223800.0,CA,1.0,2025,BAplus,1,0,12.318512543125225
6,39,1.0,2.0,1,21.0,1,40.0,2017.0,2,100000.0,CA,1.0,1521,BAplus,1,0,11.51293546492023
6,29,1.0,1.0,5,22.0,1,50.0,2017.0,2,125000.0,CA,1.0,841,BAplus,0,0,11.736077016252437
6,30,1.0,1.0,5,22.0,2,45.0,2017.0,2,87000.0,CA,1.0,900,BAplus,0,1,11.373674891823535
6,33,1.0,2.0,1,21.0,2,40.0,2018.0,2,90000.0,CA,0.0,1089,BAplus,1,1,11.407576060361786
6,37,1.0,1.0,5,24.0,1,48.0,2018.0,2,84000.0,CA,0.0,1369,BAplus,0,0,11.338583982516495
6,53,1.0,1.0,1,22.0,1,40.0,2017.0,2,250000.0,CA,1.0,2809,BAplus,1,0,12.429220196836383
6,31,5.0,1.0,1,24.0,1,40.0,2017.0,2,105000.0,CA,1.0,961,BAplus,1,0,11.561725152903833
6,35,1.0,2.0,1,24.0,2,40.0,2018.0,2,247700.0,CA,0.0,1225,BAplus,1,1,12.419977652611005
6,30,1.0,2.0,5,21.0,1,40.0,2018.0,2,125000.0,CA,0.0,900,BAplus,0,0,11.736077016252437
6,30,1.0,1.0,1,22.0,1,40.0,2017.0,2,140000.0,CA,1.0,900,BAplus,1,0,11.849404844423074
6,30,1.0,1.0,1,22.0,2,40.0,2017.0,2,150000.0,CA,1.0,900,BAplus,1,1,11.918397239722838
6,26,1.0,1.0,5,20.0,1,40.0,2018.0,2,90000.0,CA,0.0,676,SomeCollege,0,0,11.407576060361786
6,30,1.0,1.0,5,22.0,2,50.0,2017.0,2,100000.0,CA,1.0,900,BAplus,0,1,11.51293546492023
6,48,1.0,2.0,1,22.0,2,50.0,2017.0,2,120000.0,CA,1.0,2304,BAplus,1,1,11.695255355062795
6,44,2.0,3.0,1,20.0,1,60.0,2017.0,2,110000.0,CA,1.0,1936,SomeCollege,1,0,11.608244735642321
6,34,1.0,1.0,1,21.0,1,40.0,2017.0,2,88000.0,CA,1.0,1156,BAplus,1,0,11.385103457032141
6,33,1.0,1.0,1,22.0,1,40.0,2017.0,2,175000.0,CA,1.0,1089,BAplus,1,0,12.07254696717504
6,33,1.0,1.0,1,22.0,2,40.0,2017.0,2,110000.0,CA,1.0,1089,BAplus,1,1,11.608244735642321
6,31,1.0,1.0,1,22.0,1,40.0,2017.0,2,114000.0,CA,1.0,961,BAplus,1,0,11.643962499267984
6,33,1.0,2.0,1,16.0,2,40.0,2017.0,2,453000.0,CA,1.0,1089,HS,1,1,13.023649611968253
6,27,1.0,2.0,5,19.0,2,40.0,2017.0,2,100000.0,CA,1.0,729,SomeCollege,0,1,11.51293546492023
6,31,1.0,1.0,1,22.0,1,40.0,2017.0,2,90000.0,CA,1.0,961,BAplus,1,0,11.407576060361786
6,34,1.0,1.0,1,22.0,2,45.0,2018.0,2,145000.0,CA,0.0,1156,BAplus,1,1,11.884495917930655
6,34,3.0,1.0,1,22.0,2,40.0,2017.0,2,91000.0,CA,1.0,1156,BAplus,1,1,11.418625774449596
6,46,1.0,1.0,5,20.0,2,50.0,2017.0,2,156000.0,CA,1.0,2116,SomeCollege,0,1,11.957617696467539
6,35,2.0,2.0,1,21.0,2,40.0,2017.0,2,231000.0,CA,1.0,1225,BAplus,1,1,12.35017731849889
6,40,1.0,1.0,1,21.0,1,40.0,2017.0,2,128350.0,CA,1.0,1600,BAplus,1,0,11.762523977464884
6,43,4.0,1.0,1,24.0,1,65.0,2018.0,2,100000.0,CA,0.0,1849,BAplus,1,0,11.51293546492023
6,30,3.0,1.0,2,21.0,2,40.0,2017.0,2,85000.0,CA,1.0,900,BAplus,0,1,11.350418300109132
6,38,1.0,2.0,1,21.0,1,45.0,2018.0,2,90000.0,CA,0.0,1444,BAplus,1,0,11.407576060361786
6,31,1.0,1.0,1,22.0,2,40.0,2017.0,2,97000.0,CA,1.0,961,BAplus,1,1,11.48247656671073
6,33,1.0,1.0,1,21.0,1,40.0,2017.0,2,223000.0,CA,1.0,1089,BAplus,1,0,12.314931534737134
6,34,1.0,1.0,1,22.0,1,40.0,2017.0,2,100000.0,CA,1.0,1156,BAplus,1,0,11.51293546492023
6,34,1.0,1.0,1,22.0,2,40.0,2017.0,2,100000.0,CA,1.0,1156,BAplus,1,1,11.51293546492023
6,37,1.0,2.0,1,22.0,1,40.0,2017.0,2,200000.0,CA,1.0,1369,BAplus,1,0,12.206077645517674
6,40,1.0,2.0,1,21.0,1,40.0,2017.0,2,100000.0,CA,1.0,1600,BAplus,1,0,11.51293546492023
6,37,1.0,1.0,1,21.0,1,40.0,2017.0,2,200020.0,CA,1.0,1369,BAplus,1,0,12.20617764001806
6,41,1.0,1.0,1,21.0,1,40.0,2018.0,2,120000.0,CA,0.0,1681,BAplus,1,0,11.695255355062795
6,35,1.0,1.0,1,22.0,1,40.0,2017.0,2,92000.0,CA,1.0,1225,BAplus,1,0,11.429554725537322
6,26,1.0,1.0,5,22.0,2,60.0,2017.0,2,85000.0,CA,1.0,676,BAplus,0,1,11.350418300109132
6,37,1.0,1.0,1,22.0,1,40.0,2017.0,2,150300.0,CA,1.0,1369,BAplus,1,0,11.92039522907888
6,37,1.0,1.0,1,22.0,2,40.0,2017.0,2,160300.0,CA,1.0,1369,BAplus,1,1,11.984808576881369
