summary,spearman_rho,p_value,subsample
resid_mean,0.3408552939727666,0.025304179141476976,0
resid_median,0.3315427215252654,0.02986703090342086,0
resid_q25,0.4211099833577361,0.004921741364552135,0
resid_q75,0.3213973173954674,0.035592237473715725,0
resid_sd,0.21880759653071868,0.15863246862489128,0
resid_mean,0.3156432075905073,0.03922109670127469,1
resid_median,0.4192928960509066,0.0051305784457096075,1
resid_q25,0.42360847840462656,0.00464669277853028,1
resid_q75,0.30413498798058713,0.047386670868077053,1
resid_sd,0.1346915966187365,0.38916131466579457,1
resid_mean,0.2559821743496055,0.09754790892924159,2
resid_median,0.3430509411351856,0.024317563059631283,2
resid_q25,0.37749988799382816,0.012574704742016232,2
resid_q75,0.29557953524426495,0.05430787633674087,2
resid_sd,0.19556402139752468,0.20883056343966586,2
resid_mean,0.23841699705025363,0.12364974976366737,3
resid_median,0.24780528146887276,0.10911430684900965,3
resid_q25,0.3814369104919587,0.011610444815295912,3
resid_q75,0.3366154235901644,0.027303841961660746,3
resid_sd,0.24803241738222645,0.10877952228302512,3
resid_mean,0.21509770994594177,0.1659904115690408,4
resid_median,0.37303288169787224,0.013750622317598517,4
resid_q25,0.35047071430473936,0.02121781469423313,4
resid_q75,0.3644017169904321,0.016288851746094006,4
resid_sd,0.2633262355480414,0.08798555375326464,4
resid_mean,0.2710488566020667,0.07873238882915715,5
resid_median,0.3686415873730343,0.014996448944305081,5
resid_q25,0.36084325434789105,0.017445106467814053,5
resid_q75,0.3173845829262189,0.038092317248033525,5
resid_sd,0.17868025183823394,0.251624132315656,5
resid_mean,0.24742672161328327,0.10967402361553871,6
resid_median,0.39218801039069995,0.009292618654265039,6
resid_q25,0.3929599657777984,0.00914269967005856,6
resid_q75,0.3054220914895914,0.0464101743728989,6
resid_sd,0.33222412926532646,0.029511561299590768,6
resid_mean,0.21222065504346177,0.1718644192415405,7
resid_median,0.27392591150454676,0.07548691615837845,7
resid_q25,0.31511322379268203,0.03957001511653562,7
resid_q75,0.2802100051073321,0.06876391255950051,7
resid_sd,0.27657583049367307,0.0725915561863929,7
resid_mean,0.33441977642774545,0.02838990801240759,8
resid_median,0.38976522731492724,0.00977693087234155,8
resid_q25,0.3814369104919587,0.011610444815295912,8
resid_q75,0.3309873777259433,0.030159351001038337,8
resid_sd,0.25999490881885395,0.09222870334110823,8
resid_mean,0.21706622119500707,0.1620560192116057,9
resid_median,0.30739060273865665,0.04494831124735267,9
resid_q25,0.37106437044880697,0.014297764647299756,9
resid_q75,0.20896504028539223,0.1786902634091566,9
resid_sd,0.2700646009775341,0.07986743180903981,9
resid_mean,0.2731687917933678,0.0763306131561961,10
resid_median,0.3665973641528511,0.015608280844763244,10
resid_q25,0.41467446581271494,0.005696414451494922,10
resid_q75,0.3103433696122546,0.04282581230318669,10
resid_sd,0.3060277872585345,0.045956323565621786,10
resid_mean,0.31125191326566937,0.04218939974235443,11
resid_median,0.3354040320522781,0.027898700986274196,11
resid_q25,0.43375388253442465,0.0036627370576191526,11
resid_q75,0.31791456672404417,0.03775410326331851,11
resid_sd,0.10569391168058244,0.4999607525398191,11
resid_mean,0.2598434848766182,0.09242526754177535,12
resid_median,0.35319634526498356,0.02016569032621675,12
resid_q25,0.44844200493129643,0.0025619118885291552,12
resid_q75,0.2759701347247299,0.07324551030181423,12
resid_sd,0.15626950838733678,0.3169733315434246,12
resid_mean,0.3203373497998169,0.03623915522871982,13
resid_median,0.33267840109203384,0.029276533320868704,13
resid_q25,0.4706256124688399,0.0014481675733430644,13
resid_q75,0.31867168643522314,0.0372752102765006,13
resid_sd,-0.029376244793743546,0.8516631152207984,13
resid_mean,0.39302084207299676,0.00913096599288382,14
resid_median,0.4437478627219869,0.0028768506744249523,14
resid_q25,0.42444131008692354,0.004558036225150994,14
resid_q75,0.3227601328755895,0.034774452204371635,14
resid_sd,0.08759875058340537,0.5764535512902934,14
resid_mean,0.29951655774239555,0.05102832404059055,15
resid_median,0.3426723812795961,0.02448534170782867,15
resid_q25,0.33192128138085486,0.029669112883555383,15
resid_q75,0.25961634896326446,0.09272072094900585,15
resid_sd,0.11205371725448568,0.47436735808191666,15
resid_mean,0.39635216880218416,0.008508284410100852,16
resid_median,0.3203373497998169,0.03623915522871982,16
resid_q25,0.4822095440498779,0.001058642553033139,16
