summary,spearman_rho,p_value,subsample
age_mean,-0.28331912769405326,0.06561759596424577,0
age_sd,-0.2642347792014561,0.08685505307651593,0
age_sq_mean,-0.3012579330781071,0.049629619558093994,0
age_sq_sd,-0.2799828691939784,0.06899836336908437,0
english_mean,-0.44760423365111685,0.002615787747320726,0
entry_recency_mean,-0.011974250854845759,0.9392525791612631,0
entry_recency_sd,0.3109581712884217,0.04239431059213264,0
hours_mean,0.1752276669497401,0.26105193459465087,0
hours_sd,0.11180983310020624,0.475335847514075,0
prop_educ_<HS,,,0
prop_educ_BAplus,0.5247638533215282,0.00030320056594205824,0
prop_educ_HS,,,0
prop_educ_SomeCollege,,,0
prop_female,0.07699031759286666,0.6236301736918891,0
prop_married,0.14860816496150045,0.3415695404988281,0
age_mean,-0.3318831602384199,0.029688994022694887,1
age_sd,-0.34865362699790986,0.02194449826571745,1
age_sq_mean,-0.34517087632648663,0.02339563189470588,1
age_sq_sd,-0.37242718592892904,0.013917045156642636,1
english_mean,-0.46253985655230817,0.0017907291826178321,1
entry_recency_mean,0.017051294517862945,0.9135786060853149,1
entry_recency_sd,0.3178111396316829,0.03781991234614984,1
hours_mean,0.09104704616045803,0.5614759203402964,1
hours_sd,0.08472169568092533,0.5890870916225223,1
prop_educ_<HS,,,1
prop_educ_BAplus,0.48894076901053374,0.000877951427075513,1
prop_educ_HS,,,1
prop_educ_SomeCollege,,,1
prop_female,0.04342349317394146,0.7821743348472054,1
prop_married,0.14399923643772045,0.3569171763213942,1
age_mean,-0.3809175090437099,0.011733924258955072,2
age_sd,-0.3978814297037246,0.008234907197889411,2
age_sq_mean,-0.38999236322828096,0.009730625156100958,2
age_sq_sd,-0.4420821993573932,0.002996511989915784,2
english_mean,-0.5568168975380596,0.00010539056995195647,2
entry_recency_mean,0.02083338020370883,0.8945079215662155,2
entry_recency_sd,0.33024269824082125,0.030555044075029434,2
hours_mean,0.12518494386041884,0.42379361912393193,2
hours_sd,0.10674020457198988,0.4957023276729978,2
prop_educ_<HS,,,2
prop_educ_BAplus,0.514009308513817,0.0004223911830093902,2
prop_educ_HS,,,2
prop_educ_SomeCollege,,,2
prop_female,-0.02322479552763827,0.8824790623297888,2
prop_married,0.03125608282547218,0.8422871671905962,2
age_mean,-0.2984750810460297,0.05187993046974508,3
age_sd,-0.24545821036421797,0.11261983411774787,3
age_sq_mean,-0.30436212389394085,0.047213149719943726,3
age_sq_sd,-0.28134568467410054,0.06760109680604283,3
english_mean,-0.4564419379826476,0.002094641055594915,3
entry_recency_mean,-0.07521995223457427,0.6316571463985717,3
entry_recency_sd,0.3329559632963138,0.029133694693686,3
hours_mean,0.20062942501164677,0.19704695665172822,3
hours_sd,0.18898421475556548,0.22485906170814773,3
prop_educ_<HS,,,3
prop_educ_BAplus,0.528835379607308,0.00026665923973679485,3
prop_educ_HS,,,3
prop_educ_SomeCollege,,,3
prop_female,0.009537696244662575,0.9515971580316599,3
prop_married,0.11654345502992906,0.4567260157754678,3
age_mean,-0.32560968026435605,0.03311439304614756,4
age_sd,-0.2898254254393049,0.05940340542603345,4
age_sq_mean,-0.33192128138085486,0.029669112883555383,4
age_sq_sd,-0.32117018148211374,0.035730058255740604,4
english_mean,-0.41924248050587243,0.005136480926302978,4
entry_recency_mean,0.07930070032420378,0.6132192246960961,4
entry_recency_sd,0.23121269217157542,0.13575585644621307,4
hours_mean,0.09084383958462025,0.5623534968254331,4
hours_sd,0.06822936649054238,0.6637560630620387,4
prop_educ_<HS,,,4
prop_educ_BAplus,0.5065325085065521,0.0005284998379577427,4
prop_educ_HS,,,4
prop_educ_SomeCollege,,,4
prop_female,0.07089515461524652,0.6514412825394608,4
prop_married,0.2041312037726679,0.18917987568995318,4
age_mean,-0.3150331685132869,0.039622939868171995,5
age_sd,-0.3477450833444951,0.022315585660346998,5
age_sq_mean,-0.34183954959729923,0.024857855712398198,5
age_sq_sd,-0.3619789339146595,0.017068790656321577,5
english_mean,-0.43113932991675163,0.003897044908951527,5
entry_recency_mean,-0.07292785783300053,0.6421120055808802,5
entry_recency_sd,0.25467644515258564,0.09932871608338494,5
hours_mean,0.06814486150354057,0.6641478945726408,5
hours_sd,0.05019893204444708,0.7492123096345534,5
prop_educ_<HS,,,5
prop_educ_BAplus,0.5454339820698196,0.00015527619094694864,5
prop_educ_HS,,,5
prop_educ_SomeCollege,,,5
prop_female,-0.07190494810004013,0.6468000610172976,5
prop_married,0.14798664201358472,0.3436151236627706,5
age_mean,-0.41294200647050494,0.005922229785737044,6
age_sd,-0.31125191326566937,0.04218939974235443,6
age_sq_mean,-0.4183843523974918,0.00523785746878084,6
age_sq_sd,-0.3415367017128277,0.024994481478672566,6
english_mean,-0.5247513491702005,0.0003033194161846069,6
entry_recency_mean,0.10084551244467364,0.5199350415891677,6
