summary,median_rho,median_p_value,frac_p_lt_0p05,mean_rho
prop_educ_BAplus,0.5145634577596548,0.00041534771963684533,0.955,0.5148256421451141
english_mean,-0.4585965689742746,0.0019824398472873266,1.0,-0.45609138700586166
age_sq_sd,-0.3566790959364068,0.01888672418562455,0.86,-0.3561627402933828
age_sq_mean,-0.3435430689474519,0.024100928871025974,0.845,-0.3424287330124035
age_sd,-0.3379403830847276,0.026665322214809953,0.755,-0.3343953304434058
age_mean,-0.3274828996215341,0.03205917773863639,0.725,-0.327312660577947
entry_recency_sd,0.26787154921690337,0.08244251131667733,0.39,0.2734975224634784
prop_married,0.11253998587750363,0.47244843732748565,0.0,0.11257623006113354
hours_mean,0.10082613608738442,0.5200198475036444,0.005,0.09475906045118165
hours_sd,0.059916129559306516,0.6315590901769693,0.0,0.055260654320706405
prop_female,0.04932987705326405,0.6713503557179699,0.0,0.0490889228773917
entry_recency_mean,-0.025085750978152428,0.7702899130567512,0.0,-0.021108703162809325
prop_educ_<HS,,,0.0,
prop_educ_HS,,,0.0,
prop_educ_SomeCollege,,,0.0,
