yoep_min,min_income,trim2,min_puma_size,n_rows,n_pumas_eligible,median_n,min_n,max_abs_rho,mean_abs_rho,n_sig,rho_ba,p_ba
1998,0,0.02,31,13965,184,58.0,31,0.21894473402460624,0.10078723307492186,2,0.16503763296777832,0.025169070070159897
1997,10000,0.02,31,14082,182,58.0,31,0.22027481694184248,0.12662881258431324,3,0.1988317867609404,0.007127523874167183
1996,10000,0.02,31,14771,191,60.0,31,0.22515077501078576,0.10615866684274337,2,0.1238062450037648,0.08793813797165893
1996,10000,0.02,30,14771,196,59.0,30,0.22786960421810787,0.11503834275051279,2,0.09996796056892605,0.1632891826402775
1998,10000,0.02,31,13398,178,57.0,31,0.23013212275887104,0.13271898404321766,3,0.20829192437242577,0.005269975854860669
2000,0,0.02,30,12089,170,52.5,30,0.23395765209797295,0.1406628793738217,3,0.2095111822569336,0.00610593929806523
2000,0,0.02,31,12089,164,53.5,31,0.2349141090553805,0.1468582921464145,3,0.20728277350889282,0.007740151012686283
2000,0,0.0,30,12285,170,53.0,30,0.23691790159564313,0.14431806592078575,3,0.22922009355142817,0.0026405508634472644
1999,0,0.02,31,12984,172,56.5,31,0.2438447499961736,0.12348782567403062,3,0.20088374142851254,0.008233387805793718
1998,0,0.0,31,14192,187,57.0,31,0.24550226153041288,0.10790741273869395,3,0.14821533898128894,0.042927027391245404
1997,0,0.02,31,14675,190,60.0,31,0.2461527276902883,0.10747932065969865,3,0.1558045576684891,0.031827380464295035
1997,10000,0.0,31,14309,186,58.0,31,0.24626266580708475,0.11981449230752887,3,0.18277516860865614,0.012525345887788537
1997,10000,0.02,30,14082,185,58.0,30,0.2462870970640173,0.1159552142827729,3,0.1702319776175097,0.020522968730577292
1996,10000,0.0,30,15007,198,58.5,30,0.247243003840685,0.11390368510542485,2,0.09335283292913228,0.1908284655543838
1997,0,0.02,30,14675,194,59.5,30,0.24988235637177314,0.11887466542808767,3,0.11700550449605684,0.10421545457698535
2000,0,0.0,31,12285,165,53.0,31,0.25032535664350003,0.1532220987864941,3,0.22870823163399098,0.003129309586135749
1996,10000,0.0,31,15007,194,60.0,31,0.25151677983964416,0.1141489821416285,3,0.10077176749425462,0.16208931771078525
1998,0,0.02,30,13965,188,57.0,30,0.2518861449857367,0.1108746545300642,1,0.1312231210801683,0.07265196047354787
1995,10000,0.02,31,15554,201,61.0,31,0.25192936495100604,0.1131197198049647,1,0.07949439312750066,0.2619582242168527
1998,0,0.0,30,14192,189,57.0,30,0.2528339537614566,0.11099055808373705,3,0.15291674458789567,0.035668890605537414
1995,10000,0.0,31,15804,203,61.0,31,0.2546359767112651,0.1127062360831262,3,0.09273475123517931,0.1881924081592758
1998,10000,0.02,30,13398,184,54.5,30,0.25507113287985994,0.1217930574242381,3,0.17129815565621406,0.0200731377159706
1998,10000,0.0,31,13613,182,56.0,31,0.25771279704417827,0.12776283290534254,3,0.18548428412436405,0.012180504060109834
1999,10000,0.02,31,12446,164,55.0,31,0.25793005525992224,0.12716981814061026,3,0.19271816426162194,0.013423143201485355
1999,0,0.02,30,12984,178,55.0,30,0.25843127423983137,0.1150568838056958,3,0.1651081686743269,0.02763448836657664
1996,0,0.02,31,15381,197,61.0,31,0.26088424457685067,0.11557224727995087,1,0.09759205017823903,0.17246947663243872
1995,10000,0.02,30,15554,204,61.0,30,0.26151691461990184,0.12117635759383462,3,0.09409086598457903,0.18070091123336987
1998,10000,0.0,30,13613,185,55.0,30,0.26267576159901085,0.12156481547674683,3,0.17473353773400097,0.017366506962910755
2000,10000,0.02,31,11581,159,52.0,31,0.26271858632783013,0.15379578286144183,3,0.20864463869467004,0.008308657857324151
1999,0,0.0,30,13196,179,55.0,30,0.2632113747219555,0.11923406421055563,3,0.18554663573807217,0.012893948831181104
1999,10000,0.02,30,12446,169,54.0,30,0.26417313072579407,0.12397269453592141,3,0.17757205605806453,0.020905280681961912
2002,0,0.02,30,9808,138,46.0,30,0.26575397436409426,0.1476205703555851,3,0.23909325942664067,0.004739232215949829
1997,10000,0.0,30,14309,188,58.0,30,0.26576086095079565,0.11810466904846748,3,0.15930323468593713,0.028987799167448498
1999,10000,0.0,31,12651,167,55.0,31,0.2667308930721762,0.1340023099605089,3,0.2087913216927156,0.006772612240885194
2001,0,0.02,31,10738,150,48.0,31,0.2678634496550174,0.16478104757091863,3,0.2598844475797697,0.0013196886085078217
1996,0,0.02,30,15381,201,61.0,30,0.2681294435703068,0.12173577766258778,2,0.07173658507732644,0.3115366022638002
1997,0,0.0,30,14912,196,58.5,30,0.272347728996775,0.12091635226520234,2,0.10549354936876712,0.14113643082015687
2001,0,0.02,30,10738,154,47.0,30,0.27342116420867246,0.16276679440252714,3,0.2605429520042614,0.0011005963018995233
2002,0,0.0,30,9968,138,46.5,30,0.27364710845766754,0.16303704329374852,3,0.26185863924497504,0.001919038691893215
1995,10000,0.0,30,15804,206,61.0,30,0.27446343422594005,0.11760636435705986,3,0.08312676289816745,0.23487649991237453
2002,0,0.02,31,9808,133,47.0,31,0.2752061778730241,0.14425620228457214,3,0.22442896666706635,0.009403466634056397
2000,10000,0.0,30,11771,163,52.0,30,0.2766345591392088,0.1544332512316324,3,0.235062556441943,0.0025242470373023286
