summary,spearman_rho,p_value,subsample
resid_mean,0.3135744445227266,0.045886841052265565,0
resid_median,0.2137967862209841,0.1795275574510091,0
resid_q25,0.2551232594055061,0.10743429741182445,0
resid_q75,0.3371646089198111,0.031106601457448226,0
resid_sd,0.3503576267863286,0.02472213261211072,0
resid_mean,0.3333202858328787,0.03320399514010468,1
resid_median,0.24822095204487774,0.11762035106995367,1
resid_q25,0.26814153531352686,0.09006690252214233,1
resid_q75,0.3322718340818972,0.03379576461064182,1
resid_sd,0.2724227132967014,0.08485740339556269,1
resid_mean,0.3260684945552565,0.037476867226627616,2
resid_median,0.2757428105081429,0.08098106128551603,2
resid_q25,0.2186895610588979,0.16953932983482267,2
resid_q75,0.2830819727650137,0.07290289367463494,2
resid_sd,0.3688802743870024,0.017629163671210847,2
resid_mean,0.23258154675940318,0.14337272205863735,3
resid_median,0.24140601566349779,0.12837568049992515,3
resid_q25,0.21066060628136865,0.18614684822528949,3
resid_q75,0.1942256868693288,0.22367303577008632,3
resid_sd,0.31252599277174503,0.046656957675123054,3
resid_mean,0.23476582124061474,0.1395457160704918,4
resid_median,0.14957911647336525,0.35060313794085873,4
resid_q25,0.14197784127874913,0.37589508895534457,4
resid_q75,0.273296423089186,0.08382360830677255,4
resid_sd,0.2569580499697238,0.10484305888381784,4
resid_mean,0.2430660642692185,0.12569054526835283,5
resid_median,0.26988895489849607,0.08791149107025346,5
resid_q25,0.12442169363113603,0.438299076633358,5
resid_q75,0.25870546955469303,0.10241979755166915,5
resid_sd,0.2211359484778548,0.1646981824647733,5
resid_mean,0.22873722367247093,0.1502952463131533,6
resid_median,0.10152507788671168,0.527642341053114,6
resid_q25,0.13857037308805917,0.387575272503904,6
resid_q75,0.23022253031969472,0.14759218174244057,6
resid_sd,0.24367766112395775,0.12471195821273771,6
resid_mean,0.11707711219293775,0.46600866600979207,7
resid_median,0.06849884773079343,0.6704408641096891,7
resid_q25,-0.03896745674481361,0.8088662002949384,7
resid_q75,0.16827650603253594,0.2929389778201399,7
resid_sd,0.24804621008638084,0.11788735548754263,7
resid_mean,0.31016697633203655,0.04842795635869958,8
resid_median,0.27661652030062756,0.0799842910035737,8
resid_q25,0.27434487484016756,0.0825960165169217,8
resid_q75,0.22803825583848322,0.1515797525204734,8
resid_sd,0.27993661751206905,0.07628367306255147,8
resid_mean,0.24367766112395775,0.12471195821273771,9
