summary,spearman_rho,p_value,subsample
age_mean,-0.2751551829189154,0.08165688661165277,0
age_sd,-0.30230358819967507,0.05472650028705824,0
age_sq_mean,-0.2718984874212107,0.08548241968342048,0
age_sq_sd,-0.30824481478857046,0.049910756550393134,0
english_mean,-0.45794639745458154,0.0026062152748813176,0
entry_recency_mean,-0.064052269175729,0.6907333295174707,0
entry_recency_sd,0.12250478451963144,0.4454419940093687,0
hours_mean,0.07751541768214876,0.6300068224567865,0
hours_sd,0.021625259251198153,0.8932423806100049,0
prop_educ_<HS,,,0
prop_educ_BAplus,0.5021295159185258,0.0008224294489347484,0
prop_educ_HS,,,0
prop_educ_SomeCollege,,,0
prop_female,0.09409636195529561,0.5584275913608538,0
prop_married,0.2553497135043188,0.10711186998056355,0
age_mean,-0.24199500765129756,0.12741812394666244,1
age_sd,-0.12328045171957848,0.44254400097398844,1
age_sq_mean,-0.2618508248076376,0.09816612347570301,1
age_sq_sd,-0.1324544045406669,0.40906506412422833,1
english_mean,-0.44299990713683773,0.0037241966917904235,1
entry_recency_mean,-0.05830135798770294,0.7172965013851433,1
entry_recency_sd,0.15386699612670685,0.33680517406334004,1
hours_mean,0.046738481739832284,0.771681755597683,1
hours_sd,-0.014984775602345388,0.9259136999646631,1
prop_educ_<HS,,,1
prop_educ_BAplus,0.5192813341591178,0.0005033535113454183,1
prop_educ_HS,,,1
prop_educ_SomeCollege,,,1
prop_female,-0.17123728720322898,0.28440479860045687,1
prop_married,0.19356640420747837,0.22527951626085155,1
age_mean,-0.2137996649625475,0.17952155980277043,2
age_sd,-0.2619381957868861,0.09804993222085857,2
age_sq_mean,-0.2526768719865492,0.11096473598466541,2
age_sq_sd,-0.28046084338755983,0.07571183561912458,2
english_mean,-0.47873696651527264,0.0015437236685392538,2
entry_recency_mean,-0.004284725173529995,0.978788932009379,2
entry_recency_sd,0.2697729678068196,0.08805330893089792,2
hours_mean,0.058828860347507186,0.714845697962757,2
hours_sd,-0.043776674068712794,0.7857995450427447,2
prop_educ_<HS,,,2
prop_educ_BAplus,,,2
prop_educ_HS,,,2
prop_educ_SomeCollege,,,2
prop_female,-0.1887345577395541,0.23729504439743782,2
prop_married,0.11826486013828445,0.4614652084320848,2
age_mean,-0.2398646812888467,0.1309069378647166,3
age_sd,-0.30108039449019663,0.05576273696591246,3
age_sq_mean,-0.2561717111564876,0.10594768910232732,3
age_sq_sd,-0.2795871335950752,0.07666677440893262,3
english_mean,-0.4410298512201307,0.0038990404598265105,3
entry_recency_mean,0.05395962246189078,0.7375727350075604,3
entry_recency_sd,0.22840763675771508,0.15089993703589247,3
hours_mean,0.02600986438795686,0.8717617240561268,3
hours_sd,-0.024203869694677534,0.8805993764207646,3
prop_educ_<HS,,,3
prop_educ_BAplus,,,3
prop_educ_HS,,,3
prop_educ_SomeCollege,,,3
prop_female,0.007868518247424384,0.9610582113340387,3
prop_married,0.11809716854980809,0.4621052288700959,3
age_mean,-0.2929494878035915,0.06305610948782797,4
age_sd,-0.17156039005950532,0.2834833723558646,4
age_sq_mean,-0.30413837876389277,0.053201133095105844,4
age_sq_sd,-0.23030990129894321,0.14743429727720556,4
english_mean,-0.43424989495127747,0.004556681300821592,4
entry_recency_mean,-0.010715085643699343,0.946987660887844,4
entry_recency_sd,0.20602076906787103,0.19625480168974793,4
hours_mean,0.11403505821737253,0.477753420296276,4
hours_sd,0.0962870129083651,0.5492627691760492,4
prop_educ_<HS,,,4
prop_educ_BAplus,0.5022617491824147,0.0008194021467667687,4
prop_educ_HS,,,4
prop_educ_SomeCollege,,,4
prop_female,0.19204725194911637,0.22901134001821905,4
prop_married,0.16798462777034798,0.29378913993920625,4
age_mean,-0.24633021713950995,0.12053370656669585,5
age_sd,-0.31785562250590116,0.04284826815684535,5
age_sq_mean,-0.2601907762019169,0.10039389277856851,5
age_sq_sd,-0.3059731693281105,0.05171007831064938,5
english_mean,-0.4275591383944464,0.0052982356792017835,5
entry_recency_mean,0.0410983843175326,0.7986245974285708,5
entry_recency_sd,0.27384853603437076,0.08317540352772408,5
hours_mean,0.12496738574633015,0.43627731724013785,5
hours_sd,0.12388074033148892,0.44030837732148664,5
prop_educ_<HS,,,5
prop_educ_BAplus,0.48606031051954973,0.0012735670090857423,5
prop_educ_HS,,,5
prop_educ_SomeCollege,,,5
prop_female,0.15964609497107585,0.3187478824287443,5
prop_married,0.27640700094985454,0.08022244310110113,5
age_mean,-0.26874456368081895,0.08931850811713184,6
age_sd,-0.20803030159058566,0.19183059824945914,6
age_sq_mean,-0.2686657611890176,0.08941603248863161,6
age_sq_sd,-0.2307467561951855,0.14664673532293213,6
english_mean,-0.4744907075373542,0.0017225740715612551,6
entry_recency_mean,0.008130460180162735,0.9597628839193404,6
entry_recency_sd,0.15246235878856446,0.3412877039662802,6
hours_mean,0.051619549158572996,0.7485752938519414,6
hours_sd,-0.01398057455288233,0.9308661869875704,6
prop_educ_<HS,,,6
prop_educ_BAplus,0.5510910524932082,0.00018846576701150853,6
prop_educ_HS,,,6
prop_educ_SomeCollege,,,6
prop_female,0.07725461096326502,0.6311622667614453,6
prop_married,0.02962758138763928,0.8541056283956291,6
age_mean,-0.2139121092149715,0.17928740236103388,7
age_sd,-0.19466254176557113,0.2226128940610042,7
age_sq_mean,-0.2227959970835756,0.1614705904323026,7
age_sq_sd,-0.2355521600538509,0.1381866566166357,7
english_mean,-0.42721297271875447,0.005339297267172433,7
entry_recency_mean,-0.16848945393589912,0.2923197206645575,7
entry_recency_sd,0.31302016673703986,0.04629268140928171,7
hours_mean,0.11023637277596775,0.4926349496322746,7
hours_sd,0.05194657232305341,0.7470346793171652,7
prop_educ_<HS,,,7
prop_educ_BAplus,0.5329914496278594,0.00033354967053569423,7
prop_educ_HS,,,7
prop_educ_SomeCollege,,,7
prop_female,-0.05211759850438093,0.7462293567889163,7
prop_married,0.10045814301237922,0.5320121213598414,7
age_mean,-0.2731255826407536,0.08402497652198412,8
age_sd,-0.32467055888728114,0.0383501096447455,8
age_sq_mean,-0.28247037591027446,0.07355086830281823,8
age_sq_sd,-0.34476588411442716,0.027280460526880594,8
english_mean,-0.43384277734841525,0.004599072401821907,8
entry_recency_mean,-0.0021430171287398687,0.9893903251669737,8
entry_recency_sd,0.19325459158855435,0.2260420642772145,8
hours_mean,-0.03129380684161601,0.8459967191275358,8
hours_sd,-0.09275641500477624,0.5640683698647417,8
prop_educ_<HS,,,8
prop_educ_BAplus,0.5265727894829714,0.00040529598150732324,8
prop_educ_HS,,,8
prop_educ_SomeCollege,,,8
prop_female,0.06886782194795842,0.6687671037232484,8
prop_married,0.24242120641568854,0.12672856582264933,8
age_mean,-0.21509177158196582,0.1768439789836381,9
age_sd,-0.3244084459495357,0.03851567804616368,9
age_sq_mean,-0.23354262753113628,0.14167941939453477,9
age_sq_sd,-0.341707899840731,0.028769942406297457,9
english_mean,-0.43820601827506694,0.004162133224608326,9
entry_recency_mean,-0.10475403211879103,0.5145257861682309,9
entry_recency_sd,0.22894188159445478,0.1499206564770233,9
hours_mean,0.16521032103534708,0.3019492556783568,9
hours_sd,0.15560771404150905,0.33130087108518363,9
prop_educ_<HS,,,9
prop_educ_BAplus,0.5031115863086654,0.0008001821041081469,9
prop_educ_HS,,,9
prop_educ_SomeCollege,,,9
prop_female,-0.011051621027108395,0.9453251378487958,9
prop_married,0.1446196982788242,0.36698472156186124,9
age_mean,-0.25965679433508493,0.10111866059686762,10
age_sd,-0.22104857749860635,0.16486933925681982,10
age_sq_mean,-0.2852662472462252,0.0706252676240562,10
age_sq_sd,-0.2359016439708447,0.13758578610233768,10
english_mean,-0.45274700117827965,0.0029561040675561458,10
entry_recency_mean,-0.17210147301593712,0.28194466539266505,10
entry_recency_sd,0.2685027138542704,0.08961807816182904,10
hours_mean,0.17302024075215675,0.27934440756958534,10
hours_sd,0.08322448257279287,0.6049358449760773,10
prop_educ_<HS,,,10
prop_educ_BAplus,0.5496800440722425,0.00019727473476996226,10
prop_educ_HS,,,10
prop_educ_SomeCollege,,,10
prop_female,-0.09373916739419108,0.5599286957295837,10
prop_married,0.15263242122928017,0.3407430507423507,10
age_mean,-0.2759973026778952,0.0806897295174316,11
age_sd,-0.2884989734784183,0.06735771031800575,11
age_sq_mean,-0.30807007283007354,0.0500473503052231,11
age_sq_sd,-0.30807007283007354,0.0500473503052231,11
english_mean,-0.4305805075526797,0.004951324366899579,11
entry_recency_mean,-0.017485623117954194,0.9135924780213073,11
entry_recency_sd,0.22288336806282405,0.16130199781988655,11
hours_mean,0.07701409451092771,0.6322285880871271,11
hours_sd,0.09248620976724543,0.565209039641119,11
prop_educ_<HS,,,11
prop_educ_BAplus,0.5014462343679223,0.0008382316042177011,11
prop_educ_HS,,,11
prop_educ_SomeCollege,,,11
prop_female,-0.07205826352429494,0.6543611121803112,11
prop_married,0.0569924374936202,0.7233898598056989,11
age_mean,-0.27206509478791413,0.08528339314699292,12
age_sd,-0.22594135233652016,0.15548145573893601,12
age_sq_mean,-0.27486910071565834,0.08198749447426769,12
age_sq_sd,-0.24428925797869697,0.12373909113732197,12
english_mean,-0.45757082776708796,0.002630210697742394,12
entry_recency_mean,-0.03279269473535292,0.8387155241041554,12
entry_recency_sd,0.28834935015319807,0.06750625908793328,12
hours_mean,-0.013071073335549487,0.9353538624798364,12
hours_sd,-0.059517785301403676,0.7116491698875972,12
prop_educ_<HS,,,12
prop_educ_BAplus,0.5041264034069768,0.0007777579388500167,12
prop_educ_HS,,,12
prop_educ_SomeCollege,,,12
prop_female,-0.012943267017261407,0.9359846478459094,12
prop_married,0.08697591651679032,0.5886997558507718,12
age_mean,-0.2554624392524384,0.10695164486928023,13
age_sd,-0.2944402000673136,0.06166508604654312,13
age_sq_mean,-0.2818587790555352,0.07420335961176784,13
age_sq_sd,-0.32641797847225035,0.03726111606861529,13
english_mean,-0.4418114088679623,0.003828837954415716,13
entry_recency_mean,-0.13179094618610177,0.41143649871047866,13
entry_recency_sd,0.24038717837226256,0.13004473399518787,13
hours_mean,0.17286800283489764,0.27977417828438483,13
hours_sd,0.11616477646249675,0.46951474080617417,13
prop_educ_<HS,,,13
prop_educ_BAplus,0.5320071862443616,0.0003437517490574081,13
prop_educ_HS,,,13
prop_educ_SomeCollege,,,13
prop_female,-0.0389951478292485,0.8087329062557485,13
prop_married,0.11400619521705539,0.47786559419224955,13
age_mean,-0.27819877721293623,0.07820358445606981,14
age_sd,-0.2953139098597982,0.060861217911506366,14
age_sq_mean,-0.3037015238676504,0.05356118362575668,14
age_sq_sd,-0.3167197997756711,0.04363802202179489,14
english_mean,-0.42123480681886877,0.006093246148080897,14
entry_recency_mean,-0.07527028948890258,0.6399815685234294,14
entry_recency_sd,0.3595192124864647,0.020963300381804575,14
hours_mean,0.014339461727515306,0.9290959334693627,14
hours_sd,0.02542716996805474,0.8746115168707538,14
prop_educ_<HS,,,14
prop_educ_BAplus,0.5094533045382937,0.0006689867905713308,14
prop_educ_HS,,,14
prop_educ_SomeCollege,,,14
prop_female,-0.013078098278450821,0.9353191921506663,14
prop_married,0.05471348700602671,0.7340390712371374,14
age_mean,-0.23362404382349308,0.1415366554405652,15
age_sd,-0.25154104925631926,0.11263347701347427,15
age_sq_mean,-0.25687067899047533,0.10496535994393508,15
age_sq_sd,-0.28177140807628676,0.07429694252466709,15
english_mean,-0.4433657908255193,0.003692489269559803,15
entry_recency_mean,-0.12911284849082158,0.4210883062032081,15
entry_recency_sd,0.2850289636968885,0.07086994291767035,15
hours_mean,0.06042073341371485,0.7074669719542572,15
hours_sd,-0.008824853270185912,0.9563295476813624,15
prop_educ_<HS,,,15
prop_educ_BAplus,0.5262905830776518,0.00040874635952800625,15
prop_educ_HS,,,15
prop_educ_SomeCollege,,,15
prop_female,-0.022048287787927986,0.891166386196123,15
prop_married,0.18095604859723746,0.25753811013030714,15
age_mean,-0.24409209383422995,0.12405209642585102,16
age_sd,-0.2332805145933909,0.1421397579826355,16
age_sq_mean,-0.2555712456959781,0.10679716367023631,16
age_sq_sd,-0.24717250029389623,0.11922923589319828,16
english_mean,-0.4883122558650706,0.0011993842129210312,16
entry_recency_mean,-0.06304421793759357,0.6953641603091248,16
entry_recency_sd,0.21579083076240693,0.1754073242646041,16
hours_mean,0.13466279116808552,0.4012280377713913,16
hours_sd,0.06445294250051012,0.6888957716795121,16
prop_educ_<HS,,,16
prop_educ_BAplus,0.5121392855486453,0.0006194719506092712,16
prop_educ_HS,,,16
prop_educ_SomeCollege,,,16
prop_female,-0.06236207619708914,0.6985040320533499,16
prop_married,0.2101850688689543,0.18716546245425555,16
age_mean,-0.20073485813160497,0.20823392089498577,17
age_sd,-0.18863394419742732,0.2375497795337172,17
age_sq_mean,-0.2355521600538509,0.1381866566166357,17
age_sq_sd,-0.20339963969041724,0.20213277649257147,17
english_mean,-0.4130238326722457,0.007277903839940526,17
entry_recency_mean,-0.13072975170685977,0.4152458347715136,17
entry_recency_sd,0.31292721038425236,0.04636102717176182,17
hours_mean,0.20609503423462505,0.1960900316704488,17
hours_sd,0.17365738489598515,0.2775504190468266,17
prop_educ_<HS,,,17
prop_educ_BAplus,0.49774292293825045,0.0009286762207483174,17
prop_educ_HS,,,17
prop_educ_SomeCollege,,,17
prop_female,0.02623391815898339,0.8706663643692594,17
prop_married,0.15979486337968063,0.31829124038289397,17
age_mean,-0.31591729559966286,0.044203103659896915,18
age_sd,-0.2767912622591245,0.07978609142808923,18
age_sq_mean,-0.3037015238676504,0.05356118362575668,18
age_sq_sd,-0.3051868305148743,0.052344934342996814,18
english_mean,-0.4733476781425835,0.0017737410628293326,18
entry_recency_mean,0.03353160714940317,0.8351309235257621,18
entry_recency_sd,0.32018489909501263,0.041264992817439644,18
hours_mean,0.1278143310042787,0.42581370163746324,18
hours_sd,0.12581969018878925,0.43312993423951535,18
prop_educ_<HS,,,18
prop_educ_BAplus,0.5265188366143749,0.0004059536055430944,18
prop_educ_HS,,,18
prop_educ_SomeCollege,,,18
prop_female,0.11138067005454626,0.48812714331397394,18
prop_married,0.06342670571087279,0.693605774135657,18
age_mean,-0.24632024790359558,0.12054921024772507,19
age_sd,-0.33104864037241877,0.03449708466909378,19
age_sq_mean,-0.2753933265911491,0.08138247178892387,19
age_sq_sd,-0.3432805774672033,0.027995735281140834,19
english_mean,-0.4663898468748016,0.002115153689975749,19
entry_recency_mean,-0.08347197332851401,0.6038587892239063,19
entry_recency_sd,0.3066551649583784,0.05116449036188562,19
hours_mean,0.12352453966522514,0.4416342052160811,19
hours_sd,0.03176211781232954,0.8437204028294569,19
prop_educ_<HS,,,19
