summary,median_rho,median_p_value,frac_p_lt_0p05,mean_rho
prop_educ_BAplus,0.5270264958921194,0.0003998147498827318,0.94,0.525725351625642
english_mean,-0.44040899390875166,0.003955963254679227,1.0,-0.44309433421695493
age_sq_sd,-0.3094680084980489,0.04896332247258592,0.53,-0.3089162607640949
age_sd,-0.29439651457768934,0.061705510570813055,0.395,-0.29288654920591406
age_sq_mean,-0.28268880335839564,0.07331921893004302,0.275,-0.2839640238328353
age_mean,-0.2722120813981265,0.08510824432115219,0.165,-0.2685985306886995
entry_recency_sd,0.2540806259851969,0.10892890614827706,0.24,0.24931283364516996
prop_married,0.1238978985854236,0.4402456594841533,0.0,0.12421829181336085
hours_mean,0.08324435106609004,0.586814261547561,0.0,0.08157092374641733
entry_recency_mean,-0.039067894555099764,0.7188631584113038,0.0,-0.03572249077059071
hours_sd,0.03027404430959174,0.7233773850933147,0.005,0.031195834708631673
prop_female,-0.013134108701276175,0.7191786259711213,0.0,-0.008088288325282102
prop_educ_<HS,,,0.0,
prop_educ_HS,,,0.0,
prop_educ_SomeCollege,,,0.0,
