summary,spearman_rho,p_value,subsample
resid_mean,0.33777620577455025,0.030783223787127143,0
resid_median,0.2827324888480198,0.07327261298812536,0
resid_q25,0.26586988985306687,0.09292976227107723,0
resid_q75,0.3605800313583986,0.020560765875783153,0
resid_sd,0.3098174924150427,0.04869487943119831,0
resid_mean,0.39098513213686303,0.01148394867453026,1
resid_median,0.34747438447112944,0.026015136804314488,1
resid_q25,0.3163703158586773,0.04388338558747009,1
resid_q75,0.36494858032082167,0.018970664260984416,1
resid_sd,0.21571894776445022,0.17555466574889675,1
resid_mean,0.3632885317151009,0.01956228277034478,2
resid_median,0.2529389849242946,0.11058231906637406,2
resid_q25,0.20401123654515646,0.20075034824797122,2
resid_q75,0.24577456462592082,0.12140012065786417,2
resid_sd,0.3173313966304104,0.04321131511527715,2
resid_mean,0.3037015238676504,0.05356118362575668,3
resid_median,0.30798270185082505,0.05011576000253284,3
resid_q25,0.27584219578194974,0.08086719178107372,3
resid_q75,0.21877693203814635,0.16936468571115382,3
resid_sd,0.2558222272394938,0.10644147312246338,3
resid_mean,0.25311372688279155,0.1103279305954571,4
resid_median,0.23240680480090628,0.14368219111290662,4
resid_q25,0.0788959942613603,0.6239050277872644,4
resid_q75,0.31383655746047195,0.045695928161303516,4
resid_sd,0.1884592022389304,0.23799263528470144,4
resid_mean,0.277839714010106,0.07860493659800487,5
resid_median,0.30317729799215964,0.05399582195230286,5
resid_q25,0.18698203958611734,0.24175865318892303,5
resid_q75,0.37342356530792237,0.016179349959104666,5
resid_sd,0.19125507357488114,0.23097401823025934,5
resid_mean,0.26176345382838917,0.09828242037373822,6
resid_median,0.28517887626697674,0.07071528279524349,6
resid_q25,0.14529793849019065,0.3647177565773525,6
resid_q75,0.2453377097296785,0.12208457656117858,6
resid_sd,0.20811767256983416,0.1916398539537764,6
resid_mean,0.2193885288928856,0.16814580560175074,7
resid_median,0.1655680056758336,0.30088913227338765,7
resid_q25,0.021231147957376025,0.8951770978470238,7
resid_q75,0.20182696206394493,0.20571816823041633,7
resid_sd,0.17596515220640047,0.271115740071012,7
resid_mean,0.3380383187122956,0.030645484818600063,8
resid_median,0.32685483336849264,0.03699285667053306,8
resid_q25,0.3085069277263158,0.04970642916330742,8
resid_q75,0.31436078333596273,0.045316031266599215,8
resid_sd,0.1760525231856489,0.2708740721480235,8
resid_mean,0.31034171829053353,0.0482949382574649,9
resid_median,0.2821208919932806,0.07392316614018277,9
resid_q25,0.25032875860477855,0.11443546099868665,9
resid_q75,0.3773552593741031,0.015007226375300496,9
resid_sd,0.2740827619024222,0.08290159367612714,9
resid_mean,0.4017317625844237,0.009228025701640599,10
resid_median,0.38941245451039075,0.011850592788471783,10
resid_q25,0.2268150621290048,0.15384693991727552,10
resid_q75,0.38941245451039075,0.011850592788471783,10
resid_sd,0.3249326718250265,0.03818512297511479,10
resid_mean,0.32772854316097727,0.03646107742687252,11
resid_median,0.26525829299832765,0.09371239549169565,11
resid_q25,0.3154092350869442,0.04456391058442517,11
resid_q75,0.2714616325249684,0.0860059927885394,11
resid_sd,0.20741870473584645,0.1931695656845182,11
resid_mean,0.36512332227931854,0.018909272411566626,12
resid_median,0.34162052886148253,0.028813468028675876,12
resid_q25,0.290159022084139,0.06572686657870956,12
resid_q75,0.3294759627459465,0.03541628904484855,12
resid_sd,0.2351153051576086,0.13894047441244395,12
resid_mean,0.26569514789456994,0.0931528555702228,13
resid_median,0.16766490917779667,0.29472221648544245,13
resid_q25,0.18601281481997348,0.24425146468496897,13
resid_q75,0.30448786268088657,0.05291449351609074,13
resid_sd,0.2137967862209841,0.1795275574510091,13
resid_mean,0.30798270185082505,0.05011576000253284,14
resid_median,0.24411451602020007,0.12401647050061562,14
resid_q25,0.24814438898344546,0.1177372826772834,14
resid_q75,0.2379111764935593,0.1341682917090834,14
resid_sd,0.21711688343242558,0.17270514344354781,14
resid_mean,0.4085466989658037,0.008003802266072946,15
resid_median,0.3710645488682139,0.01691904084105801,15
resid_q25,0.1259015810970323,0.4328281943676351,15
resid_q75,0.3751709848928916,0.015649200105325993,15
resid_sd,0.2283877397554771,0.15093649885755334,15
resid_mean,0.3846070506517254,0.01303329259074233,16
resid_median,0.33340765681212725,0.03315506801948107,16
resid_q25,0.2912201579161351,0.06470089068743361,16
resid_q75,0.34695015859563866,0.026256158532781477,16
resid_sd,0.25722016290746924,0.10447680784246889,16
resid_mean,0.25687067899047533,0.10496535994393508,17
resid_median,0.22864985269322247,0.1504553719995878,17
resid_q25,0.020182696206394492,0.90032690223191,17
resid_q75,0.26403509928884916,0.09529289030438662,17
resid_sd,0.29225592558610203,0.06371172824804372,17
resid_mean,0.2009532522714603,0.20772912542992347,18
resid_median,0.2534632107997854,0.1098204864661942,18
resid_q25,0.16818913505328742,0.2931932991681551,18
resid_q75,0.18793497636343962,0.23932456213019937,18
resid_sd,0.15088968116209217,0.3463498118204376,18
resid_mean,0.21475786699271715,0.1775331598887727,19
resid_median,0.17919787843859356,0.26226846032908513,19
resid_q25,0.1513265360583345,0.34493908431171455,19
resid_q75,0.21991275476837638,0.16710609836140056,19
resid_sd,0.16600486057207592,0.2995975963884197,19
resid_mean,0.32222417146832416,0.039918234591862015,20
resid_median,0.2716363744834653,0.08579626562860067,20
resid_q25,0.2746943587571614,0.08218994572455225,20
