summary,spearman_rho,p_value,subsample
age_mean,-0.037813094532271566,0.629665344552734,0
age_sd,-0.08154177576451418,0.29778495146865835,0
age_sq_mean,-0.04356397431228106,0.5784849535532265,0
age_sq_sd,-0.09383897725452071,0.2305795987584262,0
english_mean,-0.12327982698021486,0.11467062630174382,0
entry_recency_mean,-0.16602888033517782,0.03306598178185399,0
entry_recency_sd,0.06322444751300958,0.4198011841980491,0
hours_mean,-0.11819528522528698,0.1305316070947106,0
hours_sd,-0.1384348318963137,0.07618611866218974,0
prop_educ_<HS,,,0
prop_educ_BAplus,,,0
prop_educ_HS,,,0
prop_educ_SomeCollege,,,0
prop_female,-0.012153426504877647,0.8768745409803943,0
prop_married,0.02200003300346938,0.7791084097958757,0
age_mean,-0.15679414692068624,0.0443040165249443,1
age_sd,-0.10941088983231582,0.16183476354661655,1
age_sq_mean,-0.16935907906038006,0.029656174640234068,1
age_sq_sd,-0.1297619299339868,0.09667699720403834,1
english_mean,-0.11647003252261111,0.1362805112065246,1
entry_recency_mean,-0.2550744627474847,0.000944863695808695,1
entry_recency_sd,0.15730648370175268,0.04360608240494157,1
hours_mean,-0.12185917281165388,0.11894285834890142,1
hours_sd,-0.12169873882227562,0.11943298698189511,1
prop_educ_<HS,,,1
prop_educ_BAplus,,,1
prop_educ_HS,,,1
prop_educ_SomeCollege,,,1
prop_female,-0.019601847837141306,0.8026645881759852,1
prop_married,0.003730363644784943,0.9620722745150108,1
age_mean,-0.11782111286779687,0.13176232259567924,2
age_sd,-0.11333441498504185,0.1472220926012343,2
age_sq_mean,-0.12156729816586187,0.11983570768199524,2
age_sq_sd,-0.11426483735656547,0.14390818859066098,2
english_mean,-0.12866958686801463,0.0995416756824014,2
entry_recency_mean,-0.1676327290330842,0.03138440640943919,2
entry_recency_sd,0.09306278190356453,0.2344761855946455,2
hours_mean,-0.09166567167184984,0.24160579940549104,2
hours_sd,-0.10947545994771135,0.16158580982155227,2
prop_educ_<HS,,,2
prop_educ_BAplus,,,2
prop_educ_HS,,,2
prop_educ_SomeCollege,,,2
prop_female,0.0846453676086433,0.27971277279224666,2
prop_married,-0.00019909430499074883,0.9979749947779809,2
age_mean,-0.0951059475658349,0.2243176491033441,3
age_sd,-0.05356577598189286,0.494401635661714,3
age_sq_mean,-0.094501731800342,0.2272887746608142,3
age_sq_sd,-0.07410253001306304,0.3441847127114297,3
english_mean,-0.11715328825088259,0.13398102587712296,3
entry_recency_mean,-0.2637692913547098,0.0006187739075440604,3
entry_recency_sd,0.21745631465780998,0.005020794286801353,3
hours_mean,-0.1461069632310185,0.061127551182274246,3
hours_sd,-0.1302630437196978,0.09538487232249102,3
prop_educ_<HS,,,3
prop_educ_BAplus,,,3
prop_educ_HS,,,3
prop_educ_SomeCollege,,,3
prop_female,0.08157649105194754,0.2975786241292615,3
prop_married,-0.013637066531657893,0.8619851799177495,3
age_mean,-0.17501775766711786,0.024548397380835585,4
age_sd,-0.09533276878808167,0.2232094273923224,4
age_sq_mean,-0.1786782966533336,0.02166295699397214,4
age_sq_sd,-0.11185857270168698,0.15259674043680127,4
english_mean,-0.13378098568973984,0.08669543476606222,4
entry_recency_mean,-0.19083075329438665,0.014079191593813344,4
entry_recency_sd,0.16433778383518927,0.03492117217849543,4
hours_mean,-0.13623393916060805,0.08102020191657114,4
hours_sd,-0.1285802606231414,0.09977887088955328,4
prop_educ_<HS,,,4
prop_educ_BAplus,,,4
prop_educ_HS,,,4
prop_educ_SomeCollege,,,4
prop_female,0.08088336399093712,0.3017160957213274,4
prop_married,0.009531001003599365,0.9032950554415563,4
age_mean,-0.1504139128372193,0.05380552790848849,5
age_sd,-0.09532736083338504,0.2232358047743252,5
age_sq_mean,-0.14982705074851504,0.054758352514826296,5
age_sq_sd,-0.10437390052143745,0.18215090828142763,5
english_mean,-0.14443203005510227,0.06418744061284862,5
entry_recency_mean,-0.21297559843816408,0.006023375056932888,5
entry_recency_sd,0.10467666052030417,0.18087916288020103,5
hours_mean,-0.07252145679853166,0.3546057380674441,5
hours_sd,-0.035761407454052416,0.6483775436974759,5
prop_educ_<HS,,,5
prop_educ_BAplus,,,5
prop_educ_HS,,,5
prop_educ_SomeCollege,,,5
prop_female,0.047125234002422925,0.5477955355671807,5
prop_married,-0.08804831616703913,0.2607634381536902,5
age_mean,-0.10928536714586144,0.16231954405372145,6
age_sd,-0.0994926299799263,0.20356954602390634,6
age_sq_mean,-0.1076913658951539,0.16857047277585765,6
age_sq_sd,-0.10790380125335806,0.16772721319152814,6
english_mean,-0.14732157864886272,0.058984323289853896,6
entry_recency_mean,-0.25066306474739064,0.0011648472960215936,6
entry_recency_sd,0.0678183633105634,0.38675509492831334,6
hours_mean,-0.16450226535655102,0.034736946939063935,6
hours_sd,-0.18414082836454504,0.017902301759117414,6
prop_educ_<HS,,,6
prop_educ_BAplus,,,6
prop_educ_HS,,,6
prop_educ_SomeCollege,,,6
prop_female,0.052322274133283525,0.5044913020507995,6
prop_married,-0.043640339587039854,0.5778185536286928,6
age_mean,-0.1373987383751531,0.07843195782353053,7
age_sd,-0.14605532108681488,0.06122007333705818,7
age_sq_mean,-0.14145608411680094,0.06993260492638384,7
age_sq_sd,-0.16123042044834182,0.03855989017417977,7
english_mean,-0.12603178748018293,0.10673608469635786,7
entry_recency_mean,-0.19365903302612997,0.012690995458260858,7
entry_recency_sd,0.10324358408721912,0.1869568714010026,7
hours_mean,-0.1605750642802539,0.03936676187393614,7
hours_sd,-0.17653735865084683,0.02331279555699268,7
prop_educ_<HS,,,7
prop_educ_BAplus,,,7
prop_educ_HS,,,7
prop_educ_SomeCollege,,,7
prop_female,0.056688849118046405,0.4695401450638511,7
prop_married,-0.016355598844138577,0.8348321493263593,7
age_mean,-0.13193817951604794,0.09116473808147313,8
age_sd,-0.08792018079637982,0.2614606183514314,8
age_sq_mean,-0.13068248315287143,0.09431391277350329,8
age_sq_sd,-0.10402251373396769,0.18363513467362974,8
english_mean,-0.15303144555725,0.04972119741583798,8
entry_recency_mean,-0.16032976973729196,0.039672398085155096,8
entry_recency_sd,0.12384722440277535,0.1129981437621092,8
hours_mean,-0.18492554724392288,0.017411564416432237,8
hours_sd,-0.1691516588613736,0.029859438903055,8
prop_educ_<HS,,,8
prop_educ_BAplus,,,8
prop_educ_HS,,,8
prop_educ_SomeCollege,,,8
prop_female,0.09300469442378032,0.23476963863387085,8
prop_married,0.011441729686110833,0.8840325968550662,8
age_mean,-0.15171403734950004,0.05174343780968731,9
age_sd,-0.09103990759767983,0.2448476713558996,9
age_sq_mean,-0.15189425759140135,0.05146283526654881,9
age_sq_sd,-0.09756528048742252,0.21250834614757183,9
english_mean,-0.15339626232357312,0.04917295442008246,9
entry_recency_mean,-0.23586343791018444,0.0022896621430871737,9
entry_recency_sd,0.06834673427002218,0.3830578456747952,9
hours_mean,-0.0674797329511709,0.38913594693532694,9
hours_sd,-0.104728767375879,0.1806609481291758,9
prop_educ_<HS,,,9
