summary,spearman_rho,p_value,subsample
resid_mean,0.09135650995065385,0.5459614342254633,0
resid_median,0.11770578093168196,0.43594250975025484,0
resid_q25,0.08708867028471268,0.5649505325070951,0
resid_q75,0.1625490237984552,0.2804456294529465,0
resid_sd,0.2524210677783469,0.09056663769441028,0
resid_mean,0.16799206569124972,0.26443286866274157,1
resid_median,0.05739935086946972,0.7047619699139618,1
resid_q25,0.08882054725060184,0.5572079418052817,1
resid_q75,0.12751337363146484,0.39839450855889874,1
resid_sd,0.28211038719358983,0.057499920598359476,1
resid_mean,0.14448802115418238,0.3380445995805988,2
resid_median,0.034513833820219934,0.8198718143095886,2
resid_q25,0.08146007014557285,0.590452748060711,2
resid_q75,0.17770294724998545,0.23740295982696208,2
resid_sd,0.20584594794568448,0.16992570019102232,2
resid_mean,0.2220513681265046,0.13803036171210026,3
resid_median,0.13211747139783114,0.38143805949997855,3
resid_q25,0.06228571802322845,0.6809140581413551,3
resid_q75,0.19081572999171773,0.20398913060159313,3
resid_sd,0.21561868225320197,0.15011034266623036,3
resid_mean,0.08108895365288232,0.5921520304518335,4
resid_median,0.15172479276164785,0.3141413442949652,4
resid_q25,0.030369699651842275,0.8412030769561585,4
resid_q75,0.20349554349197777,0.1749614791561374,4
resid_sd,0.25798781516870495,0.08344421073668756,4
resid_mean,0.13026188893437846,0.38821989111670857,5
resid_median,0.10978862908761716,0.4676363008589453,5
resid_q25,-0.04552362310337253,0.7638607249222965,5
resid_q75,0.14454987390296414,0.33783564155619034,5
resid_sd,0.17349696033282602,0.24886916352246247,5
resid_mean,0.1711465558791193,0.2554369382202883,6
resid_median,0.20733041391644666,0.16679974297204397,6
resid_q25,0.24901916659535028,0.09514620961956069,6
resid_q75,0.2634927098102812,0.07683922888451426,6
resid_sd,0.14523025413956345,0.335542392677855,6
resid_mean,0.1798677934573469,0.2316439612537374,7
resid_median,0.2071448556701014,0.1671881892029714,7
resid_q25,0.1373749550442804,0.3626076980313375,7
resid_q75,0.15160108726408433,0.3145406987094525,7
resid_sd,0.13267414613686698,0.37941728309463835,7
resid_mean,0.23479303437554636,0.11626045280801703,8
resid_median,0.15902341711789506,0.2911498571983974,8
resid_q25,0.2582970789126137,0.08306175139835478,8
resid_q75,0.2553281469710894,0.08679045992725375,8
resid_sd,0.26596681976155145,0.07400804987288356,8
resid_mean,0.13793162978331622,0.36064736851510626,9
resid_median,0.09011945497501872,0.551433942949895,9
resid_q25,-0.0047626616561952245,0.9749400727411669,9
resid_q75,0.188465325538011,0.20972113502283188,9
resid_sd,0.2291644342364066,0.12553168503763112,9
resid_mean,0.22965925622666064,0.12469499918606441,10
resid_median,0.15679671816175186,0.2980452662093414,10
resid_q25,0.07360477105028983,0.6268724677117633,10
resid_q75,0.20046475880167172,0.1816125258788848,10
resid_sd,0.3537977230316452,0.01585992993240073,10
resid_mean,0.1623634655521099,0.2810024891749857,11
resid_median,0.0945110001385234,0.5321253567935811,11
resid_q25,0.07051213361120202,0.6414620565548148,11
resid_q75,0.2140105107848763,0.15324839302584942,11
resid_sd,0.1784451802353665,0.2354175494385877,11
resid_mean,0.26312159331759066,0.07727115860433996,12
resid_median,0.203433690743196,0.1750954358454916,12
resid_q25,0.06166719053541088,0.6839163919087531,12
resid_q75,0.3109337681258882,0.03544259498591354,12
resid_sd,0.3100678296429436,0.03598469614464774,12
resid_mean,0.19279501795273393,0.1992482731607026,13
resid_median,0.09407803089705112,0.5340142247828017,13
resid_q25,0.0366786800275814,0.8087785530859642,13
resid_q75,0.22934999248275184,0.12521743434519625,13
resid_sd,0.3247269311042198,0.027676290551857555,13
resid_mean,0.17782665274754894,0.23707126753634325,14
