summary,median_rho,median_p_value,frac_p_lt_0p05,mean_rho
prop_educ_BAplus,0.5086257942039341,0.0003071455773098377,0.84,0.5078586502507961
english_mean,-0.45737596339405295,0.0013949698970866287,1.0,-0.45477116371427184
age_sq_sd,-0.34278793374849265,0.019697503937750493,0.84,-0.34130934378886474
age_sq_mean,-0.33647895337275346,0.022229437113983626,0.86,-0.3389647817148081
age_mean,-0.32268968792980757,0.02872542350412917,0.785,-0.32463382959678866
age_sd,-0.31767571774309966,0.03145147914544256,0.685,-0.31747174089631147
entry_recency_sd,0.18036661916109442,0.23033066536940106,0.09,0.17762129757883355
prop_married,0.13656676500411974,0.36546717126919986,0.01,0.13400843768157686
hours_sd,0.07421470104323834,0.6086670540003998,0.0,0.07180891762151816
entry_recency_mean,-0.06127022839520129,0.6542655272317734,0.0,-0.0632499244464241
prop_female,-0.021491661749069225,0.7264023281547092,0.0,-0.019394689301522775
hours_mean,0.01880452954821247,0.7400622588819332,0.0,0.019753648951837278
prop_educ_<HS,,,0.0,
prop_educ_HS,,,0.0,
prop_educ_SomeCollege,,,0.0,
