yoep_min,n_pumas,min_n,median_n,resid_median_omni_stat,resid_median_perm_p,resid_frac_p_lt_0.05
2011,29,30,38.0,0.25106198270074526,0.24,0.0
2012,19,31,38.0,0.35267338690946254,0.28,0.0
2009,42,31,41.5,0.2649987095230905,0.11499999999999999,0.06666666666666667
2006,74,30,44.5,0.23808102707237916,0.05,0.4666666666666667
1990,225,31,77.0,0.08188831844330088,0.035,0.5666666666666667
2007,61,30,44.0,0.34471755663253195,0.03,0.7
1991,223,30,71.0,0.09889354243965326,0.02,0.7666666666666667
1992,221,30,69.0,0.12591410734629355,0.02,0.8
2010,39,30,39.0,0.6208281359856538,0.03,0.8333333333333334
1985,242,30,86.0,0.09489260862301668,0.02,0.8666666666666667
1995,211,30,62.0,0.11624332858864128,0.01,0.9
1994,214,30,65.0,0.11920914125247942,0.01,0.9
1988,236,30,81.0,0.1260051907817285,0.01,0.9
1987,239,30,83.0,0.10781438876060119,0.01,0.9333333333333333
1993,216,30,67.0,0.10845527541652616,0.015,0.9333333333333333
2008,50,30,42.5,0.5670379737530904,0.01,0.9333333333333333
1989,231,30,79.0,0.11092973318457333,0.01,0.9666666666666667
1996,204,30,59.5,0.16049662315674013,0.01,0.9666666666666667
2004,109,30,46.0,0.33427453850109556,0.01,0.9666666666666667
1986,241,30,84.0,0.13363379057939145,0.01,1.0
1997,196,30,58.5,0.19511252434804166,0.01,1.0
1998,189,30,57.0,0.24970812492560748,0.01,1.0
1999,179,30,55.0,0.2640527753545492,0.01,1.0
2001,155,30,47.0,0.26498623796100984,0.01,1.0
2002,138,30,46.5,0.3206895017379875,0.01,1.0
2000,170,30,53.0,0.35613589846227983,0.01,1.0
2005,92,30,44.5,0.389515131113821,0.01,1.0
2003,126,30,45.5,0.41098992505917176,0.01,1.0
