yoep_min,n_pumas,min_n,median_n,n_rows,x_max_abs_rho,x_top_name,x_top_rho,x_top_p,x_mean_abs_rho,x_n_sig,resid_max_abs_rho,resid_top_name,resid_top_rho,resid_top_p,resid_mean_abs_rho,resid_n_sig,combined_max_abs_rho
1996,204,30,59.5,15627,0.2819291524283598,prop_cow_1.0,0.2819291524283598,4.404121009988577e-05,,3,0.26107456333873885,resid_median,0.26107456333873885,0.0001622049031904509,0.18854676927400135,4,0.2819291524283598
1997,196,30,58.5,14912,0.272347728996775,prop_cow_1.0,0.272347728996775,0.00011258489768911814,,3,0.28397297493306917,resid_q25,0.28397297493306917,5.494173040511127e-05,0.21212540042514286,4,0.28397297493306917
1995,211,30,62.0,16454,0.28820555333746967,prop_cow_1.0,0.28820555333746967,2.117445137419577e-05,,3,0.23465680253184992,resid_median,0.23465680253184992,0.0005893982291918785,0.17935190546897736,4,0.28820555333746967
1999,179,30,55.0,13196,0.2632113747219555,prop_cow_1.0,0.2632113747219555,0.00037108419239968666,,2,0.29168594243186957,resid_q75,0.29168594243186957,7.443374805645333e-05,0.25517484291840015,5,0.29168594243186957
2001,155,30,47.0,10917,0.25631951193325486,entry_recency_mean,-0.25631951193325486,0.0012851415893044258,,5,0.2979195141191664,resid_q75,0.2979195141191664,0.00016661409294790435,0.24896741952522014,5,0.2979195141191664
1994,214,30,65.0,17169,0.31473876372707416,prop_cow_1.0,0.31473876372707416,2.637650242945233e-06,,4,0.23178472352605664,resid_q25,0.23178472352605664,0.0006319468572393943,0.17241547499036697,4,0.31473876372707416
1998,189,30,57.0,14192,0.2528339537614566,prop_cow_1.0,0.2528339537614566,0.0004480448637295299,,2,0.31983996081646393,resid_median,0.31983996081646393,7.24658067781367e-06,0.2445610139782723,4,0.31983996081646393
2002,138,30,46.5,9968,0.27364710845766754,prop_cow_1.0,0.27364710845766754,0.001163807824285935,,2,0.32505787679231957,resid_mean,0.32505787679231957,0.00010023864130947971,0.2770161910399329,5,0.32505787679231957
1988,236,30,81.0,22532,0.3272699518793889,prop_cow_1.0,0.3272699518793889,2.700140136150624e-07,,7,0.28373323425028324,resid_q25,0.28373323425028324,9.556739911427102e-06,0.1453054287901784,2,0.3272699518793889
1991,223,30,71.0,19573,0.3273322606574895,prop_cow_1.0,0.3273322606574895,5.761493644479538e-07,,5,0.21328134462758416,resid_q25,0.21328134462758416,0.0013552457420636546,0.1433681486312291,4,0.3273322606574895
1990,225,31,77.0,20788,0.3314622627968136,prop_cow_1.0,0.3314622627968136,3.602750270084131e-07,,4,0.23986643462490612,resid_q25,0.23986643462490612,0.0002822042553996719,0.12869157591668595,2,0.3314622627968136
1992,221,30,69.0,18763,0.33688582703405684,prop_cow_1.0,0.33688582703405684,2.8893034174011685e-07,,4,0.2192072584138868,resid_q25,0.2192072584138868,0.001037122307782833,0.16418837857366136,4,0.33688582703405684
1989,231,30,79.0,21705,0.336969669637476,hours_mean,-0.336969669637476,1.5375709638685042e-07,,6,0.25131859444348337,resid_q25,0.25131859444348337,0.000112857034957369,0.12963719106599253,2,0.336969669637476
1993,216,30,67.0,17933,0.3461489353808026,prop_cow_1.0,0.3461489353808026,1.7884076245677585e-07,,3,0.2437659640205251,resid_q25,0.2437659640205251,0.0002985744074390104,0.16617574946465336,4,0.3461489353808026
2000,170,30,53.0,12285,0.23691790159564313,prop_cow_1.0,0.23691790159564313,0.0018667607861110713,,3,0.34667566873271205,resid_q75,0.34667566873271205,3.635743051753184e-06,0.28665548596796125,5,0.34667566873271205
1987,239,30,83.0,23130,0.3491934779772255,hours_mean,-0.3491934779772255,2.9285996134030024e-08,,8,0.2589848568476466,resid_q25,0.2589848568476466,5.074493443310192e-05,0.13171316012369846,2,0.3491934779772255
1986,241,30,84.0,23747,0.35150286718098683,hours_mean,-0.35150286718098683,2.0419095492653033e-08,,8,0.28636459359304883,resid_q25,0.28636459359304883,6.259639742243888e-06,0.14871043338450063,2,0.35150286718098683
1985,242,30,86.0,24460,0.35396311602620995,hours_mean,-0.35396311602620995,1.4941099587651818e-08,,8,0.2619345806411976,resid_q25,0.2619345806411976,3.692659844883847e-05,0.12604815256232166,2,0.35396311602620995
2004,109,30,46.0,8389,0.3564749586145175,entry_recency_mean,-0.3564749586145175,0.00014204676239451823,,3,0.33469261603680295,resid_mean,0.33469261603680295,0.000374869171363868,0.2944538370734787,5,0.3564749586145175
2003,126,30,45.5,9204,0.3491441801852509,entry_recency_mean,-0.3491441801852509,6.151509294106614e-05,,4,0.3615014802896278,resid_mean,0.3615014802896278,3.1971434821909425e-05,0.31576105239826635,5,0.3615014802896278
2005,92,30,44.5,7724,0.3632824236026261,prop_educ_BAplus,0.3632824236026261,0.0003719070275560793,,6,0.3223391814510232,resid_q75,0.3223391814510232,0.0017268524055689986,0.28321033229325454,5,0.3632824236026261
2006,74,30,44.5,6941,0.4054388914038901,prop_educ_BAplus,0.4054388914038901,0.00033896493300186227,,4,0.3251934277421439,resid_q75,0.3251934277421439,0.004697605552037589,0.23656466031248424,3,0.4054388914038901
2007,61,30,44.0,6262,0.49943779253770004,prop_educ_BAplus,0.49943779253770004,4.176089767681636e-05,,5,0.36405750324748803,resid_q75,0.36405750324748803,0.00392351986326057,0.2933524921857275,4,0.49943779253770004
2008,50,30,42.5,5586,0.5289808223315714,prop_educ_BAplus,0.5289808223315714,7.835965189504967e-05,,6,0.4181834436784067,resid_mean,0.4181834436784067,0.002510877138307181,0.3702303318452446,5,0.5289808223315714
