yoep_min,rows_after_trim,n_pumas_ge21,max_abs_rho,min_perm_p,n_sig_5pct,rho_ba,p_ba,rho_eng,p_eng,rho_age,p_age,rho_mar,p_mar,rho_fem,p_fem
1990,19582,245,0.183311,0.004280,2,0.020014,0.756063,0.150920,0.017118,-0.004400,0.957204,-0.183311,0.004280,0.029622,0.646220
1991,18428,244,0.173955,0.009986,1,0.053081,0.396576,0.118888,0.054208,-0.027665,0.669044,-0.173955,0.009986,0.034148,0.549215
1992,17663,244,0.185715,0.002853,1,0.056725,0.385164,0.117147,0.065621,-0.053981,0.379458,-0.185715,0.002853,0.052305,0.443652
1993,16875,243,0.174836,0.009986,1,0.052257,0.436519,0.118476,0.068474,-0.073984,0.248217,-0.174836,0.009986,0.020877,0.746077
1994,16154,237,0.190302,0.001427,1,0.049377,0.463623,0.123012,0.058488,-0.080494,0.233951,-0.190302,0.001427,0.028019,0.669044
1995,15488,232,0.182309,0.005706,1,0.046411,0.470756,0.100941,0.118402,-0.062425,0.353780,-0.182309,0.005706,0.010846,0.891583
1996,14707,229,0.193726,0.005706,1,0.064542,0.328103,0.080329,0.216833,-0.048871,0.463623,-0.193726,0.005706,0.059201,0.358060
1997,14027,227,0.185226,0.005706,1,0.081093,0.225392,0.070229,0.299572,-0.075310,0.241084,-0.185226,0.005706,0.073235,0.272468
1998,13341,219,0.184171,0.008559,1,0.058566,0.399429,0.078723,0.272468,-0.107472,0.124108,-0.184171,0.008559,0.061204,0.355207
1999,12398,208,0.148749,0.028531,1,0.071828,0.273894,0.066117,0.358060,-0.117004,0.105563,-0.148749,0.028531,0.046400,0.507846
2000,11536,204,0.146272,0.037090,1,0.071722,0.330956,0.049419,0.475036,-0.146272,0.037090,-0.129352,0.058488,0.057334,0.405136
2001,10243,193,0.167363,0.018545,1,0.167363,0.018545,-0.033566,0.639087,-0.134423,0.069900,-0.042542,0.579173,0.062357,0.369472
2002,9345,172,0.293904,0.001427,2,0.293904,0.001427,-0.185499,0.018545,-0.149341,0.051355,-0.031451,0.723252,0.028418,0.713267
2003,8629,163,0.316232,0.001427,2,0.316232,0.001427,-0.192422,0.011412,-0.144513,0.072753,-0.036931,0.656205,0.022453,0.758916
2004,7877,149,0.365444,0.001427,2,0.365444,0.001427,-0.223738,0.005706,-0.100502,0.249643,0.057571,0.504993,-0.001609,0.982882
2005,7229,138,0.331536,0.001427,3,0.331536,0.001427,-0.209021,0.011412,-0.186623,0.025678,0.018884,0.801712,-0.016252,0.888730
2006,6491,112,0.307992,0.001427,1,0.307992,0.001427,-0.166286,0.071327,-0.034114,0.721826,0.052635,0.596291,0.018921,0.867332
2007,5839,103,0.353922,0.002853,2,0.353922,0.002853,-0.232785,0.015692,-0.093075,0.350927,0.052040,0.597718,-0.012417,0.905849
2008,5202,80,0.390815,0.001427,2,0.390815,0.001427,-0.315166,0.008559,-0.162827,0.162625,0.081949,0.480742,0.040933,0.690442
2009,4614,67,0.468322,0.001427,2,0.468322,0.001427,-0.355409,0.001427,-0.233103,0.058488,0.174933,0.148359,-0.075201,0.569187
2010,4160,58,0.542812,0.001427,4,0.542812,0.001427,-0.403203,0.004280,-0.351114,0.009986,0.311208,0.027104,0.039593,0.767475
2011,3651,48,0.589380,0.001427,3,0.589380,0.001427,-0.485198,0.002853,-0.301101,0.035663,0.246886,0.091298,0.019768,0.895863
2012,3203,40,0.552483,0.001427,2,0.552483,0.001427,-0.473340,0.002853,-0.275698,0.082739,0.197233,0.206847,0.016569,0.917261
