method,o,coverage_mean,coverage_std,coverage_median,width_income_mean,width_income_std,width_income_median
HCP,0,0.8768,0.05789,0.88,224072.304108,42333.621184,216410.738881
HCP,5,0.8596,0.072473,0.84,230405.71824,42301.300282,222705.836318
HCP,10,0.8728,0.073554,0.88,224515.725638,42502.26576,222426.073599
HCP,20,0.862,0.075076,0.88,227892.095083,40931.781714,218729.80718
Pooling,0,0.784,0.081995,0.8,146525.971688,24456.036559,146849.619693
Pooling,5,0.7776,0.076767,0.76,150550.045363,23895.035369,149599.563284
Pooling,10,0.7744,0.098394,0.76,146600.460242,23538.1335,146197.489876
Pooling,20,0.7644,0.092881,0.76,148958.375954,23340.672643,145735.13309
Repeated,0,0.9372,0.050614,0.96,326252.845528,61896.336078,317177.561731
Repeated,5,0.922,0.058638,0.92,335250.338067,59408.830947,332382.151378
Repeated,10,0.9328,0.057946,0.96,326773.388943,61422.035884,319332.976188
Repeated,20,0.9288,0.057018,0.92,332300.792662,62266.364384,328604.633508
Std-CP,0,1.0,0.0,1.0,,,
Std-CP,5,0.7588,0.100013,0.76,3.420987739397653e+32,3.420982411598178e+33,213541259861050.97
Std-CP,10,0.8448,0.080258,0.84,1.222097178763034e+259,inf,1406858464.468759
Std-CP,20,0.8304,0.068725,0.84,1.1351877947565244e+276,inf,1.3901850762056973e+20
Subsampling,0,0.8924,0.099241,0.92,358009.078128,294207.59792,275698.497503
Subsampling,5,0.8732,0.117214,0.9,365750.233682,298325.090083,292684.060081
Subsampling,10,0.8876,0.112377,0.92,361128.825573,314043.043219,283355.815558
Subsampling,20,0.8804,0.118509,0.92,360957.218538,296597.955987,291176.579674
donor-HCP-derandomized,0,0.9996,0.004,1.0,1656254.87344,699742.724426,1506348.841896
donor-HCP-derandomized,5,0.9768,0.031233,1.0,584284.747198,159213.095127,561117.092301
donor-HCP-derandomized,10,0.9536,0.047472,0.96,395041.224913,76464.972772,387271.093664
donor-HCP-derandomized,20,0.884,0.05257,0.88,275400.051827,39185.073234,273461.785032
donor-HCP-randomized,0,0.8748,0.063476,0.88,220243.815046,40864.953148,213839.495318
donor-HCP-randomized,5,0.8464,0.076005,0.84,187720.081994,30086.449267,184379.946978
donor-HCP-randomized,10,0.8388,0.074661,0.84,158356.859549,20879.591201,157820.387427
donor-HCP-randomized,20,0.8244,0.073448,0.84,145015.388651,17029.330837,144408.557907
sample-HCP-derandomized,0,0.9952,0.014247,1.0,1050308.184487,646830.817157,867318.886128
sample-HCP-derandomized,5,0.8896,0.065102,0.92,277853.705974,49043.586505,275999.320372
sample-HCP-derandomized,10,0.9016,0.065424,0.92,258167.89845,45005.156188,256113.710457
sample-HCP-derandomized,20,0.878,0.05696,0.88,254950.871929,32853.36641,253036.486812
sample-HCP-randomized,0,0.8124,0.078098,0.8,204428.034601,41273.783331,203670.914403
sample-HCP-randomized,5,0.7964,0.074149,0.8,173088.212264,24771.014248,170407.512782
sample-HCP-randomized,10,0.7908,0.095449,0.8,158246.592648,23705.25623,158957.453887
sample-HCP-randomized,20,0.7936,0.08292,0.8,169448.673121,22186.136307,170003.39512
