method,o,coverage_mean,coverage_std,coverage_median,width_mean,width_std,width_median,width_income_mean,width_income_std,width_income_median,n_replicates
HCP,0,0.8768,0.05789,0.88,2.329985,0.246746,2.337014,224072.304108,42333.621184,216410.738881,100
HCP,5,0.8596,0.072473,0.84,2.329985,0.246746,2.337014,230405.71824,42301.300282,222705.836318,100
HCP,10,0.8728,0.073554,0.88,2.329985,0.246746,2.337014,224515.725638,42502.26576,222426.073599,100
HCP,20,0.862,0.075076,0.88,2.329985,0.246746,2.337014,227892.095083,40931.781714,218729.80718,100
Pooling,0,0.784,0.081995,0.8,1.691126,0.17795,1.678407,146525.971688,24456.036559,146849.619693,100
Pooling,5,0.7776,0.076767,0.76,1.691126,0.17795,1.678407,150550.045363,23895.035369,149599.563284,100
Pooling,10,0.7744,0.098394,0.76,1.691126,0.17795,1.678407,146600.460242,23538.1335,146197.489876,100
Pooling,20,0.7644,0.092881,0.76,1.691126,0.17795,1.678407,148958.375954,23340.672643,145735.13309,100
Repeated,0,0.9372,0.050614,0.96,2.978384,0.28298,2.978847,326252.845528,61896.336078,317177.561731,100
Repeated,5,0.922,0.058638,0.92,2.978384,0.28298,2.978847,335250.338067,59408.830947,332382.151378,100
Repeated,10,0.9328,0.057946,0.96,2.978384,0.28298,2.978847,326773.388943,61422.035884,319332.976188,100
Repeated,20,0.9288,0.057018,0.92,2.978384,0.28298,2.978847,332300.792662,62266.364384,328604.633508,100
Std-CP,0,1.0,0.0,1.0,,,,,,,100
Std-CP,5,0.7588,0.100013,0.76,7.856429,1.427767,7.926754,3.420987739397653e+32,3.420982411598178e+33,213541259861050.97,100
Std-CP,10,0.8448,0.080258,0.84,6.44696,5.22608,5.486003,1.222097178763034e+259,inf,1406858464.468759,100
Std-CP,20,0.8304,0.068725,0.84,13.541311,14.121233,9.076449,1.1351877947565244e+276,inf,1.3901850762056973e+20,100
Subsampling,0,0.8924,0.099241,0.92,2.836279,1.132512,2.728727,358009.078128,294207.59792,275698.497503,100
Subsampling,5,0.8732,0.117214,0.9,2.836279,1.132512,2.728727,365750.233682,298325.090083,292684.060081,100
Subsampling,10,0.8876,0.112377,0.92,2.836279,1.132512,2.728727,361128.825573,314043.043219,283355.815558,100
Subsampling,20,0.8804,0.118509,0.92,2.836279,1.132512,2.728727,360957.218538,296597.955987,291176.579674,100
donor-HCP-derandomized,0,0.9996,0.004,1.0,5.998576,0.697467,5.961134,1656254.87344,699742.724426,1506348.841896,100
donor-HCP-derandomized,5,0.9768,0.031233,1.0,3.970377,0.448239,3.923517,584284.747198,159213.095127,561117.092301,100
donor-HCP-derandomized,10,0.9536,0.047472,0.96,3.310874,0.288245,3.321078,395041.224913,76464.972772,387271.093664,100
donor-HCP-derandomized,20,0.884,0.05257,0.88,2.610955,0.16393,2.614473,275400.051827,39185.073234,273461.785032,100
donor-HCP-randomized,0,0.8748,0.063476,0.88,2.312988,0.257276,2.326869,220243.815046,40864.953148,213839.495318,100
donor-HCP-randomized,5,0.8464,0.076005,0.84,2.073075,0.193641,2.065014,187720.081994,30086.449267,184379.946978,100
donor-HCP-randomized,10,0.8388,0.074661,0.84,1.897455,0.155573,1.883291,158356.859549,20879.591201,157820.387427,100
donor-HCP-randomized,20,0.8244,0.073448,0.84,1.777797,0.132171,1.775052,145015.388651,17029.330837,144408.557907,100
sample-HCP-derandomized,0,0.9952,0.014247,1.0,5.003501,0.908736,4.738304,1050308.184487,646830.817157,867318.886128,100
sample-HCP-derandomized,5,0.8896,0.065102,0.92,2.630466,0.247747,2.607961,277853.705974,49043.586505,275999.320372,100
sample-HCP-derandomized,10,0.9016,0.065424,0.92,2.559158,0.235058,2.558555,258167.89845,45005.156188,256113.710457,100
sample-HCP-derandomized,20,0.878,0.05696,0.88,2.492121,0.152256,2.499815,254950.871929,32853.36641,253036.486812,100
sample-HCP-randomized,0,0.8124,0.078098,0.8,2.059214,0.219589,2.065695,204428.034601,41273.783331,203670.914403,100
sample-HCP-randomized,5,0.7964,0.074149,0.8,1.875288,0.155278,1.865019,173088.212264,24771.014248,170407.512782,100
sample-HCP-randomized,10,0.7908,0.095449,0.8,1.782191,0.153035,1.780752,158246.592648,23705.25623,158957.453887,100
sample-HCP-randomized,20,0.7936,0.08292,0.8,1.846522,0.13451,1.846279,169448.673121,22186.136307,170003.39512,100
