method,o,coverage_mean,coverage_std,width_income_median,width_income_mean,width_income_std,n,coverage_se
Donor-HCP,0,0.956,0.20519772441746528,262166.49614028883,285610.5599572567,150964.03748383766,1000,0.006485676526007139
Donor-HCP,5,0.933,0.2501471038680511,226169.53406682226,246852.6312295679,132144.2066832377,1000,0.007906389820898028
Donor-HCP,10,0.922,0.2683057733034979,211927.04213318057,232971.92010743867,122917.5853796322,1000,0.008480330182251158
Donor-HCP,15,0.879,0.32629046180583576,190132.9864890019,205438.7393187972,108406.59783168565,1000,0.010313049985334114
Donor-HCP,20,0.857,0.35024801737293776,175333.4424792966,189972.29099171053,101306.5938707633,1000,0.011070275515993268
HCP,0,0.944,0.23003677296666497,250653.67124749554,272902.6946888949,146862.36081167852,1000,0.007270763371201131
Pooling,0,0.835,0.37136627864268046,157171.83874542854,171618.07740952677,91761.238462666,1000,0.011737759581794136
Repeated,0,0.955,0.20740785428237282,259766.07190361302,284064.34537985653,153194.1293439455,1000,0.00655553201502365
S-HCP,0,1.0,0.0,inf,inf,,1000,0.0
S-HCP,5,1.0,0.0,inf,inf,,1000,0.0
S-HCP,10,1.0,0.0,inf,inf,,1000,0.0
S-HCP,15,1.0,0.0,inf,inf,,1000,0.0
S-HCP,20,1.0,0.0,inf,inf,,1000,0.0
Std-CP,0,1.0,0.0,inf,inf,,1000,0.0
Std-CP,5,0.785,0.4110279113928202,115033.6471008916,153562.47395074842,108106.84742002664,1000,0.012991343271578961
Std-CP,10,0.704,0.4567193805747598,133470.60157899454,149487.34386323844,96250.52609881859,1000,0.014435511767859151
Std-CP,15,0.766,0.42358402168096876,125662.77130654204,152090.57384187434,98298.94267424011,1000,0.013388203763014663
Std-CP,20,0.839,0.3677148544921927,145334.76292444958,182737.80513855355,117305.7765927198,1000,0.011622349160131098
Subsampling,0,0.889,0.3142893217686177,242762.8498880699,334187.5472027938,313745.27501116955,1000,0.00993373041711924
