tau_B,alpha,experiment,o,method,coverage_mean,width_mean,width_median,width_std,n_infinite,base_seed
0.0,0.05,0,0,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,0,0,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,0,HCP,1.0,,,,100,12345
0.0,0.05,0,0,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,0,Repeated,1.0,,,,100,12345
0.0,0.05,0,0,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,0,Std-CP,1.0,,,,100,12345
0.0,0.05,0,0,Subsampling,1.0,,,,100,12345
0.0,0.05,0,5,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,0,5,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,5,HCP,1.0,,,,100,12345
0.0,0.05,0,5,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,5,Repeated,1.0,,,,100,12345
0.0,0.05,0,5,S-HCP-within,1.0,15.642912030416644,15.13035623750773,1.325788582061605,0,12345
0.0,0.05,0,5,Std-CP,0.72,5.790753265216846,4.930612922275902,4.015984585901505,0,12345
0.0,0.05,0,5,Subsampling,1.0,,,,100,12345
0.0,0.05,0,10,Donor-HCP-no-within,0.99,11.960671477503858,11.794872051027795,0.6214990295680565,0,12345
0.0,0.05,0,10,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,10,HCP,1.0,,,,100,12345
0.0,0.05,0,10,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,10,Repeated,1.0,,,,100,12345
0.0,0.05,0,10,S-HCP-within,0.99,15.556126467767601,15.13035623750773,1.0610581871146147,0,12345
0.0,0.05,0,10,Std-CP,0.89,65.20046890410991,12.494238042114382,377.13284667359983,0,12345
0.0,0.05,0,10,Subsampling,1.0,,,,100,12345
0.0,0.05,0,15,Donor-HCP-no-within,0.98,8.789205206957634,8.591896988442826,0.5859930006552654,0,12345
0.0,0.05,0,15,Donor-HCP-within,1.0,10.39121155075867,10.713539209615888,0.9446244418065075,0,12345
0.0,0.05,0,15,HCP,1.0,,,,100,12345
0.0,0.05,0,15,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,15,Repeated,1.0,,,,100,12345
0.0,0.05,0,15,S-HCP-within,1.0,15.628317322059447,15.13035623750773,0.9116157893467612,0,12345
0.0,0.05,0,15,Std-CP,0.92,9.058537450961234,8.012474322916244,4.55040311241369,0,12345
0.0,0.05,0,15,Subsampling,1.0,,,,100,12345
0.0,0.05,0,20,Donor-HCP-no-within,0.94,7.779178341711023,7.654526296981207,0.45974533969997916,0,12345
0.0,0.05,0,20,Donor-HCP-within,0.97,6.998338000916683,7.023184003715308,0.2387919778081385,0,12345
0.0,0.05,0,20,HCP,1.0,,,,100,12345
0.0,0.05,0,20,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,20,Repeated,1.0,,,,100,12345
0.0,0.05,0,20,S-HCP-within,1.0,14.99171073162024,14.784822231866436,0.6958504249988997,0,12345
0.0,0.05,0,20,Std-CP,0.9,7.189696410084549,6.4732944757940185,3.177496907679578,0,12345
0.0,0.05,0,20,Subsampling,1.0,,,,100,12345
0.0,0.05,0,25,Donor-HCP-no-within,0.97,8.046636261327562,7.415009189608159,2.3499763930409627,0,12345
0.0,0.05,0,25,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,25,HCP,1.0,,,,100,12345
0.0,0.05,0,25,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,25,Repeated,1.0,,,,100,12345
0.0,0.05,0,25,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,25,Std-CP,0.92,7.03888249796918,6.350099255421316,2.4921361374448354,0,12345
0.0,0.05,0,25,Subsampling,1.0,,,,100,12345
0.0,0.05,0,30,Donor-HCP-no-within,0.98,8.32846953770379,8.169142914860139,2.281034990966871,0,12345
0.0,0.05,0,30,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,30,HCP,1.0,,,,100,12345
0.0,0.05,0,30,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,30,Repeated,1.0,,,,100,12345
0.0,0.05,0,30,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,30,Std-CP,0.96,6.693642164881961,6.4915733319024,2.1735217340364437,0,12345
0.0,0.05,0,30,Subsampling,1.0,,,,100,12345
0.0,0.05,0,35,Donor-HCP-no-within,0.98,8.520653297224754,8.528041466981113,2.216889808644349,0,12345
0.0,0.05,0,35,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,35,HCP,1.0,,,,100,12345
0.0,0.05,0,35,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,35,Repeated,1.0,,,,100,12345
0.0,0.05,0,35,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,35,Std-CP,0.98,6.627126824458003,6.468209466091412,1.7879871520386927,0,12345
0.0,0.05,0,35,Subsampling,1.0,,,,100,12345
0.0,0.05,1,0,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,1,0,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,0,HCP,1.0,,,,100,12345
0.0,0.05,1,0,Pooling,0.82,6.978220404850397,6.978220404850397,7.361004375023832e-16,0,12345
0.0,0.05,1,0,Repeated,1.0,,,,100,12345
0.0,0.05,1,0,S-HCP-within,1.0,,,,100,12345
0.0,0.05,1,0,Std-CP,1.0,,,,100,12345
0.0,0.05,1,0,Subsampling,1.0,,,,100,12345
0.0,0.05,1,5,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,1,5,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,5,HCP,1.0,,,,100,12345
0.0,0.05,1,5,Pooling,0.82,6.978220404850397,6.978220404850397,7.361004375023832e-16,0,12345
0.0,0.05,1,5,Repeated,1.0,,,,100,12345
0.0,0.05,1,5,S-HCP-within,0.83,9.309909247476277,8.882417090426227,1.9378581465176072,0,12345
0.0,0.05,1,5,Std-CP,0.76,6.511353673027924,4.9916469644734445,4.632679968701197,0,12345
0.0,0.05,1,5,Subsampling,1.0,,,,100,12345
0.0,0.05,1,10,Donor-HCP-no-within,0.99,11.776621535457636,11.424253064936273,1.463749724206086,0,12345
0.0,0.05,1,10,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,10,HCP,1.0,,,,100,12345
0.0,0.05,1,10,Pooling,0.82,6.978220404850397,6.978220404850397,7.361004375023832e-16,0,12345
0.0,0.05,1,10,Repeated,1.0,,,,100,12345
0.0,0.05,1,10,S-HCP-within,0.85,9.308145426926393,8.900214979040719,1.8281094487862881,0,12345
0.0,0.05,1,10,Std-CP,0.87,28.156376447360053,12.618234207060667,42.80618808053343,0,12345
