tau_B,alpha,experiment,o,method,coverage_mean,width_mean,width_median,width_std,n_infinite,base_seed
0.0,0.05,0,0,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,0,0,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,0,HCP,1.0,,,,100,12345
0.0,0.05,0,0,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,0,Repeated,1.0,,,,100,12345
0.0,0.05,0,0,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,0,Std-CP,1.0,,,,100,12345
0.0,0.05,0,0,Subsampling,1.0,,,,100,12345
0.0,0.05,0,5,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,0,5,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,5,HCP,1.0,,,,100,12345
0.0,0.05,0,5,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,5,Repeated,1.0,,,,100,12345
0.0,0.05,0,5,S-HCP-within,1.0,15.481640879760896,15.047993448927059,1.3593508783401838,0,12345
0.0,0.05,0,5,Std-CP,0.8,5.685095362822427,4.931801244637612,3.567612001525189,0,12345
0.0,0.05,0,5,Subsampling,1.0,,,,100,12345
0.0,0.05,0,10,Donor-HCP-no-within,0.99,11.960671477503858,11.794872051027795,0.6214990295680565,0,12345
0.0,0.05,0,10,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,10,HCP,1.0,,,,100,12345
0.0,0.05,0,10,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,10,Repeated,1.0,,,,100,12345
0.0,0.05,0,10,S-HCP-within,1.0,15.253793902922316,15.047993448927059,1.0974092771331405,0,12345
0.0,0.05,0,10,Std-CP,0.83,32.18211320288705,12.501974342435368,67.66704618450457,0,12345
0.0,0.05,0,10,Subsampling,1.0,,,,100,12345
0.0,0.05,0,15,Donor-HCP-no-within,0.98,8.789205206957634,8.591896988442826,0.5859930006552654,0,12345
0.0,0.05,0,15,Donor-HCP-within,0.99,9.308682190657759,9.44101572440087,0.45730354935202266,0,12345
0.0,0.05,0,15,HCP,1.0,,,,100,12345
0.0,0.05,0,15,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,15,Repeated,1.0,,,,100,12345
0.0,0.05,0,15,S-HCP-within,1.0,15.460792966655367,15.130356237507728,0.9079192890775715,0,12345
0.0,0.05,0,15,Std-CP,0.98,9.024067419549517,8.046044921913946,5.605342527177212,0,12345
0.0,0.05,0,15,Subsampling,1.0,,,,100,12345
0.0,0.05,0,20,Donor-HCP-no-within,0.94,7.779178341711023,7.654526296981207,0.45974533969997916,0,12345
0.0,0.05,0,20,Donor-HCP-within,0.96,6.522056130349809,6.550882912931961,0.2907682720430239,0,12345
0.0,0.05,0,20,HCP,1.0,,,,100,12345
0.0,0.05,0,20,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,20,Repeated,1.0,,,,100,12345
0.0,0.05,0,20,S-HCP-within,1.0,14.9895810410608,14.784822231866436,0.8049474314509323,0,12345
0.0,0.05,0,20,Std-CP,0.94,7.38158139140741,7.1017001463584855,2.735661872457443,0,12345
0.0,0.05,0,20,Subsampling,1.0,,,,100,12345
0.0,0.05,0,25,Donor-HCP-no-within,0.97,8.046636261327562,7.415009189608159,2.3499763930409627,0,12345
0.0,0.05,0,25,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,25,HCP,1.0,,,,100,12345
0.0,0.05,0,25,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,25,Repeated,1.0,,,,100,12345
0.0,0.05,0,25,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,25,Std-CP,0.94,6.8805359854809724,6.14892432058055,2.684248270204289,0,12345
0.0,0.05,0,25,Subsampling,1.0,,,,100,12345
0.0,0.05,0,30,Donor-HCP-no-within,0.98,8.32846953770379,8.169142914860139,2.281034990966871,0,12345
0.0,0.05,0,30,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,30,HCP,1.0,,,,100,12345
0.0,0.05,0,30,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,30,Repeated,1.0,,,,100,12345
0.0,0.05,0,30,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,30,Std-CP,0.94,6.61013824326916,6.296607673025345,2.2868525162910327,0,12345
0.0,0.05,0,30,Subsampling,1.0,,,,100,12345
0.0,0.05,0,35,Donor-HCP-no-within,0.98,8.520653297224754,8.528041466981113,2.216889808644349,0,12345
0.0,0.05,0,35,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,0,35,HCP,1.0,,,,100,12345
0.0,0.05,0,35,Pooling,0.97,8.466092647319034,8.466092647319034,1.4170425459125113e-15,0,12345
0.0,0.05,0,35,Repeated,1.0,,,,100,12345
0.0,0.05,0,35,S-HCP-within,1.0,,,,100,12345
0.0,0.05,0,35,Std-CP,0.92,6.577109628967841,6.198099584864709,1.8640089635933925,0,12345
0.0,0.05,0,35,Subsampling,1.0,,,,100,12345
0.0,0.05,1,0,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,1,0,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,0,HCP,1.0,,,,100,12345
0.0,0.05,1,0,Pooling,0.82,6.978220404850397,6.978220404850397,7.361004375023832e-16,0,12345
0.0,0.05,1,0,Repeated,1.0,,,,100,12345
0.0,0.05,1,0,S-HCP-within,1.0,,,,100,12345
0.0,0.05,1,0,Std-CP,1.0,,,,100,12345
0.0,0.05,1,0,Subsampling,1.0,,,,100,12345
0.0,0.05,1,5,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,1,5,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,5,HCP,1.0,,,,100,12345
0.0,0.05,1,5,Pooling,0.82,6.978220404850397,6.978220404850397,7.361004375023832e-16,0,12345
0.0,0.05,1,5,Repeated,1.0,,,,100,12345
0.0,0.05,1,5,S-HCP-within,0.86,9.60220887795808,9.070986487020281,1.7111331384232573,0,12345
0.0,0.05,1,5,Std-CP,0.76,6.283155196086101,5.371700331004822,4.107573998790717,0,12345
0.0,0.05,1,5,Subsampling,1.0,,,,100,12345
0.0,0.05,1,10,Donor-HCP-no-within,0.99,11.776621535457636,11.424253064936273,1.463749724206086,0,12345
0.0,0.05,1,10,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,10,HCP,1.0,,,,100,12345
0.0,0.05,1,10,Pooling,0.82,6.978220404850397,6.978220404850397,7.361004375023832e-16,0,12345
0.0,0.05,1,10,Repeated,1.0,,,,100,12345
0.0,0.05,1,10,S-HCP-within,0.87,9.316938257274469,8.882417090426227,1.5934752321474672,0,12345
0.0,0.05,1,10,Std-CP,0.85,43.63892295898375,16.809075985665157,74.63913883139152,0,12345
