tau_B,alpha,o,mean_width_mean,sd_upper_mean,sd_width_mean,relative_instability_mean,n_finite_total,base_seed
0.0,0.05,0,,,,,0,12345
0.0,0.05,5,,,,,0,12345
0.0,0.05,10,9.697716479223827,0.4379902169123285,0.7190431461210951,0.042461947172830194,1122,12345
0.0,0.05,15,8.385272455547858,0.5766743417499726,0.9743220570327769,0.06770277816653168,4894,12345
0.0,0.05,20,7.571031085694236,0.5140643979756775,0.8680785806273827,0.06570179006098215,4625,12345
0.0,0.05,25,6.816607777383306,0.18787553716862454,0.39579155085675927,0.026969428852085888,2264,12345
0.0,0.05,30,4.211879559244588,0.2918210687460806,0.5775878326644917,0.06928523587659745,100,12345
0.0,0.05,35,,,,,0,12345
0.0,0.1,0,11.217654548250431,3.0350198548856978e-15,1.928130260750914e-15,2.7575624537719695e-16,5000,12345
0.0,0.1,5,9.057758204805754,0.6915483428300864,1.2424543345058792,0.07023584894735242,5000,12345
0.0,0.1,10,7.438240906922853,0.5675985012905808,0.9548825034067218,0.07079946723810693,5000,12345
0.0,0.1,15,6.4459917946755265,0.44317015401213494,0.5268870276094354,0.06711454890675128,5000,12345
0.0,0.1,20,5.769855014344188,0.35381171767647557,0.44065361580834933,0.0600714313980257,5000,12345
0.0,0.1,25,5.570600723871585,0.24605777762207431,0.4792705989722958,0.04464475109330573,3973,12345
0.0,0.1,30,5.842144614966373,1.992361604798205e-15,9.361969423248564e-16,3.446862038806371e-16,4050,12345
0.0,0.1,35,6.1004466723498725,2.5529872896979694e-15,1.3032732318038584e-15,4.2514319781464886e-16,5000,12345
5.0,0.05,0,,,,,0,12345
5.0,0.05,5,,,,,0,12345
5.0,0.05,10,23.52285952722656,1.1154211695230283,1.6024977390515744,0.04386614864689229,1087,12345
5.0,0.05,15,20.78239945937082,2.096789285152068,3.509568369831151,0.096572271264703,4936,12345
5.0,0.05,20,15.638948157703533,1.4010982890272101,2.237883986672343,0.08500470034121356,4428,12345
5.0,0.05,25,8.972048107654336,0.3666798388002598,0.6703620921923348,0.03467931349711103,1881,12345
5.0,0.05,30,8.767949737414147,0.08346360415052585,0.256280594083618,0.011387742843978407,341,12345
5.0,0.05,35,,,,,0,12345
5.0,0.1,0,38.67729388193393,5.998627477891732e-15,7.748227158943487e-15,1.5906064056820916e-16,5000,12345
5.0,0.1,5,29.977294416559843,2.8783833392770095,3.9280703049930175,0.09627826663700914,5000,12345
5.0,0.1,10,23.31183168451939,2.205951760526802,3.0363900714265672,0.09490146876677319,5000,12345
5.0,0.1,15,19.578753074355603,2.0058265057147056,2.856340065757379,0.10207093992280188,5000,12345
5.0,0.1,20,16.10238961979628,1.664805524373701,2.606703869126319,0.09900071528503895,5000,12345
5.0,0.1,25,8.070884910861215,0.542909128412903,0.8916930343023768,0.06346867820795934,4271,12345
5.0,0.1,30,5.948561265314575,0.022277554552398382,0.05867390511671179,0.002793083873611464,4041,12345
5.0,0.1,35,6.354091935513946,3.6693613208792706e-15,1.2764936448489847e-15,5.531663578893723e-16,5000,12345
