tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
0.0,0.05,0,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Pooling,0.9212,0.26945330025108827,8.944312851351226,8.70049437270162,1.8539299724321854,0.0,0,12345
0.0,0.05,0,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,0,Subsampling,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,Donor-HCP-no-within,0.9996,0.019997999499869967,10.915657862506443,11.813382392469464,1.36427321642786,0.9912,4956,12345
0.0,0.05,5,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,Pooling,0.9212,0.26945330025108827,8.944312851351226,8.70049437270162,1.8539299724321854,0.0,0,12345
0.0,0.05,5,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,5,S-HCP-within,0.952,0.2137876072839714,9.80530032257147,9.350815079634234,2.3005875898717854,0.0,0,12345
0.0,0.05,5,Std-CP,0.7564,0.4292969824956104,6.066628040705754,5.016454034074338,4.918789938235477,0.0,0,12345
0.0,0.05,5,Subsampling,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,Donor-HCP-no-within,0.9888,0.10524626052773092,11.732086425367795,11.41068251890917,2.558096880255936,0.1228,614,12345
0.0,0.05,10,Donor-HCP-within,0.998,0.04468108413921899,9.921645883935494,9.499701170946878,2.373248331316539,0.8032,4016,12345
0.0,0.05,10,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,Pooling,0.9212,0.26945330025108827,8.944312851351226,8.70049437270162,1.8539299724321854,0.0,0,12345
0.0,0.05,10,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,10,S-HCP-within,0.9546,0.20820064721777504,9.717803245609096,9.21710076644786,2.1616637981097377,0.0,0,12345
0.0,0.05,10,Std-CP,0.8332,0.372834495603911,73.70198095799691,12.146219552916111,971.8939932847231,0.0,0,12345
0.0,0.05,10,Subsampling,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,15,Donor-HCP-no-within,0.9652,0.1832912412959963,10.03327101443603,9.652360494004213,2.065116946246497,0.0,0,12345
0.0,0.05,15,Donor-HCP-within,0.9728,0.1626820613670053,8.469622693619801,8.109335724182344,1.7604076376912365,0.0146,73,12345
0.0,0.05,15,HCP,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,15,Pooling,0.9212,0.26945330025108827,8.944312851351226,8.70049437270162,1.8539299724321854,0.0,0,12345
0.0,0.05,15,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,15,S-HCP-within,0.9592,0.19784637635733285,9.839239604681232,9.43795041867665,2.254505702501527,0.0,0,12345
