dataset,alpha,nominal_coverage,o,mean_width_mean,sd_upper_mean,sd_width_mean,relative_instability_mean,coverage_mean,n_finite_total,n_datasets,n_reruns,base_seed
fixedN21,0.05,0.95,0,,0.0,0.0,,1.0,0,25,50,456
fixedN21,0.05,0.95,5,,0.0,0.0,,1.0,0,25,50,456
fixedN21,0.05,0.95,10,,0.0,0.0,,1.0,0,25,50,456
fixedN21,0.05,0.95,15,7.98303895829815,0.2866115621562348,0.468491240098364,0.03522380480278138,0.9623999999999999,1250,25,50,456
fixedN21,0.05,0.95,20,6.10589207321189,0.19675850154860602,0.25769683380824293,0.0320631789615842,0.9984000000000001,1250,25,50,456
fixedN21,0.05,0.95,25,,0.0,0.0,,1.0,0,25,50,456
fixedN21,0.05,0.95,30,,0.0,0.0,,1.0,0,25,50,456
fixedN21,0.05,0.95,35,,0.0,0.0,,1.0,0,25,50,456
fixedN21,0.075,0.925,0,,0.0,0.0,,1.0,0,25,50,456
fixedN21,0.075,0.925,5,,0.0,0.0,,1.0,0,25,50,456
fixedN21,0.075,0.925,10,7.883452450275899,0.3181163196013905,0.5294610354998399,0.0398711053516809,0.9623999999999999,1250,25,50,456
fixedN21,0.075,0.925,15,6.752145919943424,0.30123291284091863,0.3868819607740078,0.04413280805319981,0.9952,1250,25,50,456
fixedN21,0.075,0.925,20,5.592626695082698,0.23429026716344634,0.2719489070492742,0.04106614986203528,1.0,1250,25,50,456
fixedN21,0.075,0.925,25,6.04497312718632,1.4893448465228952e-15,4.665417591517504e-16,2.482357566369678e-16,0.92,1250,25,50,456
fixedN21,0.075,0.925,30,6.056960442812885,8.254200354223275e-16,4.665417591517504e-16,1.4649030765693158e-16,0.88,1250,25,50,456
fixedN21,0.075,0.925,35,5.849127059013186,9.151396044899718e-16,3.588782762705772e-16,1.4744306084625978e-16,0.96,1250,25,50,456
fixedN21,0.1,0.9,0,11.37786824117318,0.7514370468397686,1.162613652025647,0.0639434896447886,1.0,1250,25,50,456
fixedN21,0.1,0.9,5,8.691123385688337,0.6558880523079337,0.7565489191217791,0.07457423127020396,0.9864,1250,25,50,456
fixedN21,0.1,0.9,10,6.656031409720786,0.26885643291393335,0.38383988565736726,0.03985924383611203,0.9536,1250,25,50,456
fixedN21,0.1,0.9,15,5.875579790337199,0.23805951035317718,0.2682078897563114,0.04032276922415662,0.9712000000000001,1250,25,50,456
fixedN21,0.1,0.9,20,5.041345900980492,0.1738078302604394,0.23121478435459458,0.034714444360649827,0.9104000000000001,1250,25,50,456
fixedN21,0.1,0.9,25,5.52194046131872,1.0945787426252604e-15,3.76822190084106e-16,2.0866221447140686e-16,0.88,1250,25,50,456
fixedN21,0.1,0.9,30,6.091439928325676,1.1304665702523182e-15,4.665417591517504e-16,1.6750287441884248e-16,1.0,1250,25,50,456
fixedN21,0.1,0.9,35,5.620300630136931,9.869152597440873e-16,4.665417591517504e-16,1.6385964246715793e-16,0.88,1250,25,50,456
fixedN21,0.125,0.875,0,9.898965517100343,0.8128276996936655,1.0626609335949417,0.0815216963978704,0.9495999999999999,1250,25,50,456
fixedN21,0.125,0.875,5,7.352743690072232,0.5168076912512278,0.6781883536022388,0.06840037070849773,0.9144,1250,25,50,456
fixedN21,0.125,0.875,10,6.175360987890178,0.3440178564256626,0.39660962393115584,0.05492722768424636,0.9448000000000001,1250,25,50,456
fixedN21,0.125,0.875,15,5.364362413881621,0.26431109286182347,0.30410149436501205,0.047850948604789834,0.9864,1250,25,50,456
fixedN21,0.125,0.875,20,4.7322752189621875,0.17485881980430146,0.1847441910139681,0.037068598504131155,0.8976000000000001,1250,25,50,456
fixedN21,0.125,0.875,25,5.598837251337755,9.330835183035007e-16,5.203735005923369e-16,1.6193921528120492e-16,0.84,1250,25,50,456
fixedN21,0.125,0.875,30,4.470784044590424,1.2381300531334913e-15,4.844856729652792e-16,2.494505991607047e-16,0.92,1250,25,50,456
fixedN21,0.125,0.875,35,4.975565393824247,1.3637374498281934e-15,4.844856729652792e-16,2.6933684939240417e-16,0.88,1250,25,50,456
fixedN21,0.15,0.85,0,9.272031141772052,1.067898601286298,1.1873419401671645,0.10878105329105875,0.9336,1250,25,50,456
fixedN21,0.15,0.85,5,6.579042033856555,0.43280803786968797,0.6420858279214801,0.06271164926665046,0.8623999999999999,1250,25,50,456
fixedN21,0.15,0.85,10,5.4801088446773205,0.28036129908090873,0.3172654810932998,0.050316418534421335,0.8976000000000001,1250,25,50,456
fixedN21,0.15,0.85,15,4.8726944459979356,0.20493633545238601,0.2580189888774766,0.04238453734217679,0.8912,1250,25,50,456
fixedN21,0.15,0.85,20,4.408258564350696,0.1650609809548394,0.22511307535219127,0.03731610012304806,0.852,1250,25,50,456
fixedN21,0.15,0.85,25,4.415209260515025,1.0586909149982027e-15,3.409343624570483e-16,2.2279449560847834e-16,0.96,1250,25,50,456
fixedN21,0.15,0.85,30,4.253454167950367,8.613078630493853e-16,3.409343624570483e-16,1.9289155736737807e-16,0.8,1250,25,50,456
fixedN21,0.15,0.85,35,4.88733535112218,9.869152597440873e-16,2.51214793389404e-16,2.003082237392307e-16,0.84,1250,25,50,456
fixedN21,0.175,0.825,0,8.118715532245567,0.8789849009467139,1.136746896262414,0.10443349138081404,0.8824,1250,25,50,456
fixedN21,0.175,0.825,5,6.375018184204662,0.5327603134669513,0.6031595124619312,0.08156239142120747,0.9392,1250,25,50,456
fixedN21,0.175,0.825,10,5.194964237492929,0.32369739855235014,0.3825149838351127,0.06110927560410012,0.972,1250,25,50,456
fixedN21,0.175,0.825,15,4.661628951033501,0.21143843445535204,0.20962887877330327,0.0443837776941192,0.92,1250,25,50,456
fixedN21,0.175,0.825,20,4.002035473050628,0.16384003110103595,0.15909212856868296,0.04131865930831558,0.7944,1250,25,50,456
fixedN21,0.175,0.825,25,4.60103580378641,6.998126387276255e-16,3.76822190084106e-16,1.602468106493747e-16,0.88,1250,25,50,456
fixedN21,0.175,0.825,30,4.6023988704311085,1.166354397879376e-15,2.0635500885558188e-16,2.672066462350821e-16,0.72,1250,25,50,456
fixedN21,0.175,0.825,35,3.722957820374519,1.148410484065847e-15,2.8710262101646176e-16,2.914947055457577e-16,0.96,1250,25,50,456
fixedN21,0.2,0.8,0,7.646671858933271,0.7336319608044284,1.0454818146544225,0.09019594412466604,0.84,1250,25,50,456
fixedN21,0.2,0.8,5,5.876038174449019,0.47193447597434485,0.5384446120563471,0.07819850960412754,0.8984000000000001,1250,25,50,456
fixedN21,0.2,0.8,10,4.665016138467551,0.26456241532020913,0.3083739655571884,0.056855527886056814,0.8767999999999999,1250,25,50,456
fixedN21,0.2,0.8,15,4.392521156028619,0.20454724206148026,0.22949523500025115,0.04574932341951317,0.8048000000000001,1250,25,50,456
fixedN21,0.2,0.8,20,3.961291470693638,0.1922136617788879,0.1770057580276835,0.04834496777361948,0.8968,1250,25,50,456
fixedN21,0.2,0.8,25,3.954503441973013,5.921491558464524e-16,3.76822190084106e-16,1.6464340154970596e-16,0.76,1250,25,50,456
fixedN21,0.2,0.8,30,3.809672190223961,9.061676475832074e-16,3.050465348299906e-16,2.1418883766001348e-16,0.8,1250,25,50,456
fixedN21,0.2,0.8,35,4.233032109825208,6.998126387276255e-16,2.691587072029329e-16,1.545645586764239e-16,0.8,1250,25,50,456
fixedN21,0.225,0.775,0,7.439250774150329,0.8999465441622757,0.915913966935204,0.11599329337170632,0.8736,1250,25,50,456
fixedN21,0.225,0.775,5,5.44002923056651,0.4909571614923196,0.6296647072089533,0.08861063125952447,0.9640000000000001,1250,25,50,456
fixedN21,0.225,0.775,10,4.486361218375139,0.24942117123180219,0.23250612503170123,0.054368081557161566,0.9024,1250,25,50,456
fixedN21,0.225,0.775,15,3.9448705871718976,0.20800572754426708,0.16322571364949248,0.05241817748819463,0.8048000000000001,1250,25,50,456
fixedN21,0.225,0.775,20,3.5467763536524033,0.15913661703524304,0.15385523279865626,0.045173672814813895,0.768,1250,25,50,456
fixedN21,0.225,0.775,25,3.5226229618889833,1.2381300531334913e-15,3.050465348299906e-16,3.586943231710036e-16,0.68,1250,25,50,456
fixedN21,0.225,0.775,30,3.683122576268198,9.510274321170296e-16,2.153269657623463e-16,2.4615952646892185e-16,0.84,1250,25,50,456
fixedN21,0.225,0.775,35,3.6740415101004458,1.0138311304643805e-15,2.332708795758752e-16,2.6210045611787425e-16,0.76,1250,25,50,456
fixedN21,0.25,0.75,0,7.00788721594945,0.7960436666839573,0.8819329387068408,0.11232745307806774,0.8848,1250,25,50,456
fixedN21,0.25,0.75,5,4.851070612696285,0.43181971340925296,0.4921121810651832,0.08820997112356933,0.8887999999999999,1250,25,50,456
fixedN21,0.25,0.75,10,4.285695489406906,0.25666362442005947,0.2873698409971379,0.05829070185678519,0.7071999999999999,1250,25,50,456
fixedN21,0.25,0.75,15,3.901741622968396,0.2495554616810285,0.2154246936458147,0.06250352082925623,0.8664000000000001,1250,25,50,456
fixedN21,0.25,0.75,20,3.4082241678510106,0.16045940559792904,0.18552109432955077,0.046950517400038985,0.6512,1250,25,50,456
fixedN21,0.25,0.75,25,3.7854890906075793,1.0586909149982027e-15,3.4990631936381274e-16,3.0151362275133516e-16,0.76,1250,25,50,456
