tau_B,experiment,o,method,coverage,width,n_infinite
5.0,0,0,Donor-HCP-no-within,0.71,16.312582096310962,0
5.0,0,0,Donor-HCP-within,0.71,16.312582096310962,0
5.0,0,0,HCP,0.71,16.312582096310962,0
5.0,0,0,Pooling,0.62,14.122150486783298,0
5.0,0,0,Repeated,0.67,15.391892709848314,0
5.0,0,0,S-HCP-within,0.96,35.023852569701766,0
5.0,0,0,Std-CP,1.0,,100
5.0,0,0,Subsampling,0.62,14.240204971513753,0
5.0,0,5,Donor-HCP-no-within,0.69,15.51440757305122,0
5.0,0,5,Donor-HCP-within,0.73,13.172152759024113,0
5.0,0,5,HCP,0.71,16.312582096310962,0
5.0,0,5,Pooling,0.62,14.122150486783298,0
5.0,0,5,Repeated,0.67,15.391892709848314,0
5.0,0,5,S-HCP-within,0.96,34.47793705543313,0
5.0,0,5,Std-CP,0.72,6.660540261276814,0
5.0,0,5,Subsampling,0.62,14.240204971513753,0
5.0,0,10,Donor-HCP-no-within,0.69,15.07258970700641,0
5.0,0,10,Donor-HCP-within,0.68,11.279659327248552,0
5.0,0,10,HCP,0.71,16.312582096310962,0
5.0,0,10,Pooling,0.62,14.122150486783298,0
5.0,0,10,Repeated,0.67,15.391892709848314,0
5.0,0,10,S-HCP-within,0.96,34.09896532245488,0
5.0,0,10,Std-CP,0.93,140.20721140667288,0
5.0,0,10,Subsampling,0.62,14.240204971513753,0
5.0,0,15,Donor-HCP-no-within,0.68,14.532098652789452,0
5.0,0,15,Donor-HCP-within,0.7,9.451734200428179,0
5.0,0,15,HCP,0.71,16.312582096310962,0
5.0,0,15,Pooling,0.62,14.122150486783298,0
5.0,0,15,Repeated,0.67,15.391892709848314,0
5.0,0,15,S-HCP-within,0.96,34.07004573591102,0
5.0,0,15,Std-CP,0.92,5.5550233419502355,0
5.0,0,15,Subsampling,0.62,14.240204971513753,0
5.0,0,20,Donor-HCP-no-within,0.66,14.028427048561372,0
5.0,0,20,Donor-HCP-within,0.62,7.4954567768215545,0
5.0,0,20,HCP,0.71,16.312582096310962,0
5.0,0,20,Pooling,0.62,14.122150486783298,0
5.0,0,20,Repeated,0.67,15.391892709848314,0
5.0,0,20,S-HCP-within,0.96,33.93882187109017,0
5.0,0,20,Std-CP,0.85,3.1096257212287695,0
5.0,0,20,Subsampling,0.62,14.240204971513753,0
5.0,0,25,Donor-HCP-no-within,0.82,12.37526815238191,0
5.0,0,25,Donor-HCP-within,0.87,3.5203090011367504,0
5.0,0,25,HCP,0.71,16.312582096310962,0
5.0,0,25,Pooling,0.62,14.122150486783298,0
5.0,0,25,Repeated,0.67,15.391892709848314,0
5.0,0,25,S-HCP-within,0.85,12.904887720062675,0
5.0,0,25,Std-CP,0.9,3.289184221986952,0
5.0,0,25,Subsampling,0.62,14.240204971513753,0
5.0,0,30,Donor-HCP-no-within,0.82,12.299842043778547,0
5.0,0,30,Donor-HCP-within,0.83,2.9067267508963783,0
5.0,0,30,HCP,0.71,16.312582096310962,0
5.0,0,30,Pooling,0.62,14.122150486783298,0
5.0,0,30,Repeated,0.67,15.391892709848314,0
5.0,0,30,S-HCP-within,0.81,12.366821918324305,0
5.0,0,30,Std-CP,0.85,2.7701063872520337,0
5.0,0,30,Subsampling,0.62,14.240204971513753,0
5.0,0,35,Donor-HCP-no-within,0.82,12.31836866091017,0
5.0,0,35,Donor-HCP-within,0.87,2.9961253215249455,0
5.0,0,35,HCP,0.71,16.312582096310962,0
5.0,0,35,Pooling,0.62,14.122150486783298,0
5.0,0,35,Repeated,0.67,15.391892709848314,0
5.0,0,35,S-HCP-within,0.86,12.732916894986534,0
5.0,0,35,Std-CP,0.88,2.776305927363816,0
5.0,0,35,Subsampling,0.62,14.240204971513753,0
5.0,1,0,Donor-HCP-no-within,0.9,23.850672825467942,0
5.0,1,0,Donor-HCP-within,0.9,23.850672825467942,0
5.0,1,0,HCP,0.9,23.850672825467942,0
5.0,1,0,Pooling,0.86,21.066048139744936,0
5.0,1,0,Repeated,0.86,21.880079820871497,0
5.0,1,0,S-HCP-within,0.88,36.733248610158974,0
5.0,1,0,Std-CP,1.0,,100
5.0,1,0,Subsampling,0.86,21.011389847920565,0
5.0,1,5,Donor-HCP-no-within,0.94,30.702385834746515,0
5.0,1,5,Donor-HCP-within,0.95,27.61362857540555,0
5.0,1,5,HCP,0.9,23.850672825467942,0
5.0,1,5,Pooling,0.86,21.066048139744936,0
5.0,1,5,Repeated,0.86,21.880079820871497,0
5.0,1,5,S-HCP-within,0.88,35.45510401919549,0
5.0,1,5,Std-CP,0.82,6.256411790764575,0
5.0,1,5,Subsampling,0.86,21.011389847920565,0
5.0,1,10,Donor-HCP-no-within,0.96,31.725223587651012,0
5.0,1,10,Donor-HCP-within,0.89,23.259729373387486,0
5.0,1,10,HCP,0.9,23.850672825467942,0
5.0,1,10,Pooling,0.86,21.066048139744936,0
5.0,1,10,Repeated,0.86,21.880079820871497,0
5.0,1,10,S-HCP-within,0.88,34.11573713519645,0
5.0,1,10,Std-CP,0.85,20.615974319851574,0
5.0,1,10,Subsampling,0.86,21.011389847920565,0
5.0,1,15,Donor-HCP-no-within,0.93,32.50892748607512,0
5.0,1,15,Donor-HCP-within,0.95,19.622450506219863,0
5.0,1,15,HCP,0.9,23.850672825467942,0
5.0,1,15,Pooling,0.86,21.066048139744936,0
5.0,1,15,Repeated,0.86,21.880079820871497,0
5.0,1,15,S-HCP-within,0.89,34.694449514104456,0
5.0,1,15,Std-CP,0.88,5.461969663765992,0
5.0,1,15,Subsampling,0.86,21.011389847920565,0
5.0,1,20,Donor-HCP-no-within,0.92,30.118611168913684,0
5.0,1,20,Donor-HCP-within,0.96,16.69142759980125,0
5.0,1,20,HCP,0.9,23.850672825467942,0
5.0,1,20,Pooling,0.86,21.066048139744936,0
5.0,1,20,Repeated,0.86,21.880079820871497,0
5.0,1,20,S-HCP-within,0.88,34.06397314709043,0
5.0,1,20,Std-CP,0.82,2.9488101909598816,0
5.0,1,20,Subsampling,0.86,21.011389847920565,0
5.0,1,25,Donor-HCP-no-within,0.81,9.907975294848972,0
5.0,1,25,Donor-HCP-within,0.87,3.1015726368050425,0
5.0,1,25,HCP,0.9,23.850672825467942,0
5.0,1,25,Pooling,0.86,21.066048139744936,0
5.0,1,25,Repeated,0.86,21.880079820871497,0
5.0,1,25,S-HCP-within,0.88,10.62621567706893,0
5.0,1,25,Std-CP,0.89,3.129646643844518,0
5.0,1,25,Subsampling,0.86,21.011389847920565,0
5.0,1,30,Donor-HCP-no-within,0.82,9.916942745609411,0
5.0,1,30,Donor-HCP-within,0.86,2.652110243009628,0
5.0,1,30,HCP,0.9,23.850672825467942,0
5.0,1,30,Pooling,0.86,21.066048139744936,0
