summary,spearman_rho,p_value,subsample,test
resid_mean,0.20650490894558418,0.002514286790024207,0,residual_summaries
resid_median,0.28949008452245906,1.850806873523178e-05,0,residual_summaries
resid_q25,0.18526889228847349,0.00682908891216338,0,residual_summaries
resid_q75,0.1397530634255064,0.04207359763125783,0,residual_summaries
resid_sd,0.015341707184257609,0.8242585966625593,0,residual_summaries
resid_mean,0.19275865868532072,0.004855352997788502,1,residual_summaries
resid_median,0.2382376842439747,0.0004673608044784462,1,residual_summaries
resid_q25,0.21057203618609666,0.002052804730338592,1,residual_summaries
resid_q75,0.1225110375317781,0.07508376793380156,1,residual_summaries
resid_sd,0.00395053526541297,0.9544011679952563,1,residual_summaries
resid_mean,0.1865229604825802,0.006455452274162972,2,residual_summaries
resid_median,0.2582701035074368,0.00014297764251992325,2,residual_summaries
resid_q25,0.18362058422559613,0.00734947991188591,2,residual_summaries
resid_q75,0.22837149588255565,0.0008085302352010982,2,residual_summaries
resid_sd,0.07239960547634385,0.29404035132717454,2,residual_summaries
resid_mean,0.1314208038995353,0.05606925129712276,3,residual_summaries
resid_median,0.1831311762428597,0.007510648642694714,3,residual_summaries
resid_q25,0.09661338633260892,0.16101191435999102,3,residual_summaries
resid_q75,0.11862663723636556,0.08486908383037636,3,residual_summaries
resid_sd,0.000103298434873681,0.9988070389224797,3,residual_summaries
resid_mean,0.18018018463393404,0.008550844228399105,4,residual_summaries
resid_median,0.29501844039371694,1.2553589334816333e-05,4,residual_summaries
resid_q25,0.1883306830928696,0.005948976785874394,4,residual_summaries
resid_q75,0.16004837786018047,0.01972109452383449,4,residual_summaries
resid_sd,0.017863070811082883,0.7959646071672523,4,residual_summaries
resid_mean,0.10304333812902343,0.13479787005675203,5,residual_summaries
resid_median,0.19239125156674958,0.004938687648079536,5,residual_summaries
resid_q25,0.11479010696243046,0.09551392209085419,5,residual_summaries
resid_q75,0.0780375584675287,0.257948940936808,5,residual_summaries
resid_sd,-0.026705164888867847,0.699050030568221,5,residual_summaries
resid_mean,0.20822130062260116,0.002309117720300194,6,residual_summaries
resid_median,0.22481014744740688,0.0009799248002158598,6,residual_summaries
resid_q25,0.14075167593745427,0.04061267683444908,6,residual_summaries
resid_q75,0.1087080947599814,0.11453434512292492,6,residual_summaries
resid_sd,0.006041698703099684,0.930314492087623,6,residual_summaries
resid_mean,0.15790362520602264,0.021450120502094504,7,residual_summaries
resid_median,0.2193464221622997,0.0013086229556807838,7,residual_summaries
resid_q25,0.12864316480133114,0.06151505402153214,7,residual_summaries
resid_q75,0.19888482238986194,0.0036399162088486103,7,residual_summaries
resid_sd,-0.01317495952593162,0.8487571694269646,7,residual_summaries
resid_mean,0.19212753044298272,0.004999293855284166,8,residual_summaries
resid_median,0.26649925420950643,8.54305040657165e-05,8,residual_summaries
resid_q25,0.22523341908298683,0.0009579349201534749,8,residual_summaries
resid_q75,0.09212834680020625,0.18144408027523234,8,residual_summaries
resid_sd,-0.014265891777158542,0.8364027384721915,8,residual_summaries
resid_mean,0.23065091809730712,0.000713808355094386,9,residual_summaries
resid_median,0.21334503315391792,0.0017839140021772143,9,residual_summaries
resid_q25,0.19215146544618517,0.00499376589079551,9,residual_summaries
resid_q75,0.11815423570862768,0.08612597685681214,9,residual_summaries
resid_sd,0.005870374469650652,0.9322857756254032,9,residual_summaries
resid_mean,0.1661958440786568,0.015417857688894195,10,residual_summaries
resid_median,0.2439335851376497,0.00033703146157313736,10,residual_summaries
resid_q25,0.17115453777729758,0.012568847537728842,10,residual_summaries
resid_q75,0.09770712291637389,0.15630163812873046,10,residual_summaries
resid_sd,-0.009848623949298025,0.8866426066023768,10,residual_summaries
resid_mean,0.21324828116361852,0.0017927266126519183,11,residual_summaries
resid_median,0.2118140705769882,0.001928105187102828,11,residual_summaries
resid_q25,0.2549884875614178,0.00017475514013289288,11,residual_summaries
resid_q75,0.13448204952262854,0.05053551088734016,11,residual_summaries
resid_sd,-0.00688005368369035,0.9206745906543305,11,residual_summaries
resid_mean,0.14739741853716287,0.03193836898029668,12,residual_summaries
resid_median,0.2655091009191319,9.097268937838074e-05,12,residual_summaries
resid_q25,0.24098265119019122,0.00039962068424418404,12,residual_summaries
resid_q75,0.1366276979372024,0.046934043722669405,12,residual_summaries
resid_sd,-0.00994562369911843,0.8855337411648266,12,residual_summaries
resid_mean,0.16983081522290083,0.013280082345612341,13,residual_summaries
resid_median,0.2805571511205364,3.407581480055551e-05,13,residual_summaries
resid_q25,0.15772348281349902,0.02160113698965406,13,residual_summaries
resid_q75,0.14175420093036742,0.039189213790562144,13,residual_summaries
resid_sd,0.033022745997300894,0.6325746655131217,13,residual_summaries
resid_mean,0.18136874650348672,0.008117420880668974,14,residual_summaries
resid_median,0.23606691676940542,0.0005283008402835902,14,residual_summaries
resid_q25,0.18181532327376382,0.00795968760295903,14,residual_summaries
resid_q75,0.1290871410872976,0.0606164889809605,14,residual_summaries
resid_sd,0.02329505680102572,0.7359498692864803,14,residual_summaries
resid_mean,0.2280495611703053,0.0008228046390308557,15,residual_summaries
resid_median,0.31125267125002337,3.830003397712151e-06,15,residual_summaries
resid_q25,0.2695866395715732,7.011484927362293e-05,15,residual_summaries
resid_q75,0.19095471528606328,0.005276986186241472,15,residual_summaries
resid_sd,-0.01662663893512535,0.8098086714689852,15,residual_summaries
resid_mean,0.1468544718855707,0.03258235800143932,16,residual_summaries
resid_median,0.25687864265913685,0.00015572792971850038,16,residual_summaries
resid_q25,0.261551007231655,0.0001166738052316133,16,residual_summaries
resid_q75,0.13037459231218665,0.05807170271760079,16,residual_summaries
resid_sd,0.022292936009049948,0.7469140512780524,16,residual_summaries
resid_mean,0.14673290726404253,0.03272804904347568,17,residual_summaries
resid_median,0.21287364345558554,0.0018272263343267739,17,residual_summaries
resid_q25,0.20101724288607067,0.0032861875113722413,17,residual_summaries
resid_q75,0.11630221664389057,0.09119819303434186,17,residual_summaries
resid_sd,-0.005520797449193987,0.9363093302108991,17,residual_summaries
resid_mean,0.2166338243797529,0.0015068725460019776,18,residual_summaries
resid_median,0.245929638431032,0.0002999971698706756,18,residual_summaries
resid_q25,0.24487720526171655,0.00031902413406275135,18,residual_summaries
resid_q75,0.1485091364490656,0.03065350482825593,18,residual_summaries
resid_sd,-0.028782471219437354,0.6769068222249996,18,residual_summaries
resid_mean,0.1767581090444907,0.009915625780068918,19,residual_summaries
resid_median,0.2598421739767019,0.00012974934391349856,19,residual_summaries
resid_q25,0.2536889885481593,0.00018907260002238945,19,residual_summaries
resid_q75,0.10808361397200335,0.11664403686979384,19,residual_summaries
resid_sd,-0.018241621782784604,0.7917385542483439,19,residual_summaries
resid_mean,0.17355774716892258,0.011362808491742225,20,residual_summaries
resid_median,0.22314288551380546,0.0010711326181624824,20,residual_summaries
resid_q25,0.1976780561954669,0.003854995381457479,20,residual_summaries
resid_q75,0.07642354448567223,0.26795439305097585,20,residual_summaries
resid_sd,-0.0033181472860643385,0.9616943695196744,20,residual_summaries
resid_mean,0.18067148206808936,0.008369256188955851,21,residual_summaries
resid_median,0.2945775324399878,1.2952167658017902e-05,21,residual_summaries
resid_q25,0.19219372715098285,0.004984018637577775,21,residual_summaries
resid_q75,0.06831211682912078,0.3222153062054467,21,residual_summaries
resid_sd,-0.04808416169668785,0.4861911206002409,21,residual_summaries
resid_mean,0.16760108071404212,0.014558163457679298,22,residual_summaries
resid_median,0.20991249755940503,0.002121967549786832,22,residual_summaries
resid_q25,0.2534868007579492,0.00019139624635698669,22,residual_summaries
resid_q75,0.1125268154987205,0.1022752379186994,22,residual_summaries
resid_sd,-0.06237587808256482,0.3661453278096345,22,residual_summaries
resid_mean,0.14838757182753745,0.03079182202855141,23,residual_summaries
resid_median,0.2513926462868932,0.00021708175023962205,23,residual_summaries
resid_q25,0.19112981873054427,0.005234666671636122,23,residual_summaries
resid_q75,0.16333246185343883,0.017307864010608714,23,residual_summaries
resid_sd,0.019005022411241322,0.7832347080712401,23,residual_summaries
resid_mean,0.12755782035636284,0.06375785257258763,24,residual_summaries
resid_median,0.173023618676405,0.011621667703243667,24,residual_summaries
resid_q25,0.08096683843227492,0.24045379865102443,24,residual_summaries
resid_q75,0.15804219627719465,0.021334575869484618,24,residual_summaries
resid_sd,0.03527389603534075,0.6095484406051188,24,residual_summaries
resid_mean,0.19310823570577737,0.004777237425070767,25,residual_summaries
resid_median,0.23441753175916452,0.0005794315505710881,25,residual_summaries
resid_q25,0.19253480105400958,0.0049059763290191126,25,residual_summaries
resid_q75,0.16750555166739592,0.01461524764666222,25,residual_summaries
resid_sd,-0.008184511358223236,0.9056986627119413,25,residual_summaries
resid_mean,0.10770940401648824,0.11792268132440481,26,residual_summaries
resid_median,0.1829567026119485,0.0075688614997727645,26,residual_summaries
resid_q25,0.2044597259087864,0.0027802958916673046,26,residual_summaries
resid_q75,0.1127714132749436,0.10152679032654503,26,residual_summaries
resid_sd,-0.014960636738534578,0.8285556217529664,26,residual_summaries
resid_mean,0.21031372379729854,0.0020796443919100433,27,residual_summaries
resid_median,0.26980047999646256,6.915578828039031e-05,27,residual_summaries
resid_q25,0.25272883358707166,0.0002003464742466118,27,residual_summaries
resid_q75,0.14877746043233503,0.03035007772140509,27,residual_summaries
resid_sd,0.013895529096026076,0.8405926369992925,27,residual_summaries
resid_mean,0.21607450114702223,0.0015510208467812126,28,residual_summaries
resid_median,0.2023091035972578,0.0030873189195001374,28,residual_summaries
resid_q25,0.17964012895287693,0.008754481226789719,28,residual_summaries
resid_q75,0.1850340095965878,0.006901176911739051,28,residual_summaries
resid_sd,0.057002469863617414,0.4089554928553504,28,residual_summaries
resid_mean,0.17920199884516075,0.008922834506547775,29,residual_summaries
resid_median,0.23438477859688747,0.000580491719883731,29,residual_summaries
resid_q25,0.16340678633706746,0.017256364279744953,29,residual_summaries
resid_q75,0.11158344539214586,0.10520276965175449,29,residual_summaries
resid_sd,0.04133260118808427,0.5495000101182932,29,residual_summaries
resid_mean,0.16448197187566116,0.016526156407225743,30,residual_summaries
resid_median,0.24817559087006183,0.00026286741773195825,30,residual_summaries
resid_q25,0.12791157207168855,0.06301959386930306,30,residual_summaries
resid_q75,0.13686547344769753,0.04654847249291798,30,residual_summaries
resid_sd,0.0645678204811039,0.34951006767863113,30,residual_summaries
resid_mean,0.14892547953108698,0.030183793332232534,31,residual_summaries
resid_median,0.3025137219927427,7.320907925351523e-06,31,residual_summaries
resid_q25,0.1615525043244978,0.01858181974606017,31,residual_summaries
resid_q75,0.1643256047729291,0.016630649125323724,31,residual_summaries
resid_sd,-0.02977262450981191,0.66644759034546,31,residual_summaries
resid_mean,0.18515740556303056,0.0068632211942302275,32,residual_summaries
resid_median,0.21505764615914358,0.0016343241552374548,32,residual_summaries
resid_q25,0.1776142121919925,0.009557252645265803,32,residual_summaries
resid_q75,0.10162172491249966,0.14029133998599383,32,residual_summaries
resid_sd,0.06107016067102127,0.3762839563275527,32,residual_summaries
resid_mean,0.20983250425922845,0.002130498785257487,33,residual_summaries
resid_median,0.24637999441234107,0.0002921821200362477,33,residual_summaries
resid_q25,0.2393758566331012,0.00043807597922498957,33,residual_summaries
resid_q75,0.17961556407343454,0.00876384527605018,33,residual_summaries
resid_sd,0.024751942653847815,0.720105436256126,33,residual_summaries
resid_mean,0.17403770696998203,0.011134550515889899,34,residual_summaries
resid_median,0.2846053185535222,2.5907857003216003e-05,34,residual_summaries
resid_q25,0.21456081486714543,0.001676494806530579,34,residual_summaries
resid_q75,0.1446389549597232,0.0353258407774544,34,residual_summaries
resid_sd,-0.039226950774775025,0.570038441513846,34,residual_summaries
resid_mean,0.2096013425177733,0.0021553278296796217,35,residual_summaries
resid_median,0.29266439900462327,1.4824659116224523e-05,35,residual_summaries
resid_q25,0.20967440726439127,0.0021474516353484426,35,residual_summaries
resid_q75,0.17289764497533955,0.011683471236279998,35,residual_summaries
resid_sd,-0.012266689141249619,0.8590713663476283,35,residual_summaries
resid_mean,0.19437112205895865,0.004504357123916688,36,residual_summaries
resid_median,0.24813992514662608,0.0002634220293059661,36,residual_summaries
resid_q25,0.20630939973414197,0.002538677954432492,36,residual_summaries
resid_q75,0.15262510830953377,0.02627305941893571,36,residual_summaries
resid_sd,0.027976239532618387,0.6854692950834637,36,residual_summaries
resid_mean,0.10715826907432682,0.11982571240278736,37,residual_summaries
resid_median,0.18746782226749326,0.006186115490657056,37,residual_summaries
resid_q25,0.16350698691192525,0.017187146148137163,37,residual_summaries
resid_q75,0.12650188563810755,0.06600380412198607,37,residual_summaries
resid_sd,0.009900273166734865,0.8860521441923318,37,residual_summaries
resid_mean,0.16840920200637705,0.01408302176713254,38,residual_summaries
resid_median,0.28167215663433626,3.161177377250549e-05,38,residual_summaries
resid_q25,0.14602813038562434,0.03358365741092315,38,residual_summaries
resid_q75,0.06478514551397044,0.34788709197836926,38,residual_summaries
resid_sd,-0.0007419850992755866,0.9914312082398442,38,residual_summaries
resid_mean,0.1589214927106316,0.020613860190633257,39,residual_summaries
resid_median,0.1481876818951281,0.031020415016457793,39,residual_summaries
resid_q25,0.10103909654507189,0.14259153253906273,39,residual_summaries
resid_q75,0.09983796874082347,0.14742409869464956,39,residual_summaries
resid_sd,-0.0266994960723199,0.699110817350164,39,residual_summaries
resid_mean,0.17531319069326984,0.01054749590776189,40,residual_summaries
resid_median,0.24335331455655018,0.0003485690532041061,40,residual_summaries
resid_q25,0.14839486203959104,0.030783512196443326,40,residual_summaries
resid_q75,0.1088715456885787,0.11398710923810713,40,residual_summaries
resid_sd,0.04759349413103786,0.49065625840518323,40,residual_summaries
resid_mean,0.11358733690820282,0.09906141063662427,41,residual_summaries
resid_median,0.23910775850938418,0.0004448167566676655,41,residual_summaries
resid_q25,0.1481841243003167,0.031024496524587736,41,residual_summaries
resid_q75,0.11885566935701247,0.08426503468231375,41,residual_summaries
resid_sd,-0.045146454987841214,0.5132475136042406,41,residual_summaries
resid_mean,0.19224531585347893,0.004972143356023615,42,residual_summaries
resid_median,0.22435223304403387,0.0010042363435109466,42,residual_summaries
resid_q25,0.19524197674229937,0.004324439516753258,42,residual_summaries
resid_q75,0.12917343307252743,0.06044310196451582,42,residual_summaries
resid_sd,0.027516435523729437,0.6903706871180101,42,residual_summaries
resid_mean,0.15849822107505163,0.020958120582699653,43,residual_summaries
resid_median,0.22778816574059446,0.0008345651239373714,43,residual_summaries
resid_q25,0.19582806957104615,0.0042070225074764675,43,residual_summaries
resid_q75,0.08356751532247601,0.22563177000225534,43,residual_summaries
resid_sd,-0.00027840187935467686,0.9967848318626249,43,residual_summaries
resid_mean,0.22454056372712677,0.000994171169849479,44,residual_summaries
resid_median,0.3353978412037903,5.727522020961183e-07,44,residual_summaries
resid_q25,0.18228085349293152,0.007798166592635947,44,residual_summaries
resid_q75,0.1652309375538166,0.01603355797282937,44,residual_summaries
resid_sd,-0.021266250345366413,0.7581999645147195,44,residual_summaries
resid_mean,0.18707031621370965,0.0062981775021364525,45,residual_summaries
resid_median,0.24235702426881545,0.0003692377108758045,45,residual_summaries
resid_q25,0.11206340534432752,0.10370517901384316,45,residual_summaries
resid_q75,0.16432565651330738,0.01663061445463534,45,residual_summaries
resid_sd,-0.032826856892144096,0.6345956071011886,45,residual_summaries
resid_mean,0.23553932756715248,0.0005441831564726737,46,residual_summaries
resid_median,0.2547849597474289,0.0001769285849376379,46,residual_summaries
resid_q25,0.20720847206603485,0.0024282631215484275,46,residual_summaries
resid_q75,0.1902895741444376,0.005440549787635051,46,residual_summaries
resid_sd,0.00913246345874086,0.8948361695880582,46,residual_summaries
resid_mean,0.23808777553970684,0.0004713502685404272,47,residual_summaries
resid_median,0.25954109683115545,0.00013219060019788192,47,residual_summaries
