size_band,n_pumas,summary,spearman_rho,p_value
21-35,63,y_mean,-0.13693405027885255,0.2845443944829967
21-35,63,y_sd,-0.1208567731206067,0.34541189345146556
21-35,63,age_mean,-0.011775161409544169,0.9270206151836539
21-35,63,hours_mean,0.007062601610323385,0.9561896327390438
21-35,63,prop_female,0.11513879201379794,0.36887709210067954
21-35,63,resid_sd,-0.02651425018601264,0.836578216152674
36-60,83,y_mean,0.05002107894799771,0.6533711892135846
36-60,83,y_sd,-0.01149885698027096,0.9178247042782633
36-60,83,age_mean,-0.05917601901181491,0.5951352830296235
36-60,83,hours_mean,-0.16293461320496339,0.1410890946818557
36-60,83,prop_female,0.1602673744396524,0.14780292758997382
36-60,83,resid_sd,0.0599117776851412,0.5905575800823188
61+,66,y_mean,0.26858849993302786,0.029215132011784304
61+,66,y_sd,0.19186384911221505,0.12275696103984436
61+,66,age_mean,-0.1915922943992636,0.1232976726972306
61+,66,hours_mean,-0.22691529590702142,0.06691765966509765
61+,66,prop_female,-0.09333711127998728,0.4560204715555438
61+,66,resid_sd,0.19602072510277907,0.1147038913738805
