summary,spearman_rho,p_value,subsample,test
age_mean,-0.08611316741387391,0.21176216553081392,0,x_summaries
age_sd,0.01002122054106149,0.8846697000637249,0,x_summaries
age_sq_mean,-0.08718327661578161,0.20611830005504791,0,x_summaries
age_sq_sd,-0.0030813167280612647,0.9644265399703003,0,x_summaries
english_mean,0.02833038707668235,0.6817030995748615,0,x_summaries
entry_recency_mean,-0.04933064273603136,0.47494677280609976,0,x_summaries
entry_recency_sd,-0.12187553044436271,0.0766190178283033,0,x_summaries
hours_mean,-0.16257407057258133,0.01784105286034631,0,x_summaries
hours_sd,-0.08048426100903545,0.24327739949245147,0,x_summaries
prop_educ_<HS,,,0,x_summaries
prop_educ_BAplus,,,0,x_summaries
prop_educ_HS,,,0,x_summaries
prop_educ_SomeCollege,,,0,x_summaries
prop_female,-0.023514388598364716,0.7335571820670208,0,x_summaries
prop_married,-0.1395995212830164,0.04230209156822018,0,x_summaries
age_mean,-0.11640582083442315,0.09090828800044215,1,x_summaries
age_sd,0.030446622156746095,0.6593644878769973,1,x_summaries
age_sq_mean,-0.1103983126657306,0.10897367774712723,1,x_summaries
age_sq_sd,0.021468438135576483,0.7559732663943665,1,x_summaries
english_mean,0.034061095381262126,0.6219079848820475,1,x_summaries
entry_recency_mean,-0.08748212663708983,0.20456168984511686,1,x_summaries
entry_recency_sd,0.026834372424434906,0.6976650567958292,1,x_summaries
hours_mean,-0.2006520272714962,0.003344471786653694,1,x_summaries
hours_sd,-0.1540582562912834,0.024879464756794,1,x_summaries
prop_educ_<HS,,,1,x_summaries
prop_educ_BAplus,,,1,x_summaries
prop_educ_HS,,,1,x_summaries
prop_educ_SomeCollege,,,1,x_summaries
prop_female,-0.003982146475876311,0.9540366967627137,1,x_summaries
prop_married,-0.12517104821666442,0.06892624055908385,1,x_summaries
age_mean,-0.1229809252954736,0.07396473283179852,2,x_summaries
age_sd,0.05794004737704881,0.40127995178179293,2,x_summaries
age_sq_mean,-0.1206130041468421,0.07974437790870742,2,x_summaries
age_sq_sd,0.046784742970197586,0.4980634998522216,2,x_summaries
english_mean,0.037325450412540595,0.5888922424861682,2,x_summaries
entry_recency_mean,-0.0800111377776037,0.24606806298717757,2,x_summaries
entry_recency_sd,0.010556311129319287,0.8785577834847146,2,x_summaries
hours_mean,-0.08203179798560224,0.2343039608503613,2,x_summaries
hours_sd,-0.058241423643846955,0.3988310712624163,2,x_summaries
prop_educ_<HS,,,2,x_summaries
prop_educ_BAplus,,,2,x_summaries
prop_educ_HS,,,2,x_summaries
prop_educ_SomeCollege,,,2,x_summaries
prop_female,0.0493753708511586,0.47454593759368907,2,x_summaries
prop_married,-0.10678296538754962,0.12113521937536616,2,x_summaries
age_mean,-0.11949686669653178,0.08259229844637148,3,x_summaries
age_sd,0.04477298525643759,0.5167421069338237,3,x_summaries
age_sq_mean,-0.11299575333919602,0.10084414286291994,3,x_summaries
age_sq_sd,0.0403651231639015,0.5588916660323855,3,x_summaries
english_mean,0.02937738103445181,0.6706150677381094,3,x_summaries
entry_recency_mean,-0.08176395871028289,0.2358401408793161,3,x_summaries
entry_recency_sd,-0.07365822190415823,0.285705489101537,3,x_summaries
hours_mean,-0.1865104271016309,0.006459094280758824,3,x_summaries
hours_sd,-0.14296296519352317,0.03752907321261585,3,x_summaries
prop_educ_<HS,,,3,x_summaries
prop_educ_BAplus,,,3,x_summaries
prop_educ_HS,,,3,x_summaries
prop_educ_SomeCollege,,,3,x_summaries
prop_female,0.06359043696138206,0.35686798834774186,3,x_summaries
prop_married,-0.10414379349392988,0.13065997181940603,3,x_summaries
age_mean,-0.109480491267964,0.11196632536053779,4,x_summaries
age_sd,0.051560155981174235,0.4551929972125857,4,x_summaries
age_sq_mean,-0.10066057726779101,0.14410124251187348,4,x_summaries
age_sq_sd,0.0479008699616376,0.4878565416919217,4,x_summaries
english_mean,0.06205969186631921,0.3685847887610079,4,x_summaries
entry_recency_mean,-0.07562221771793863,0.2730190032619964,4,x_summaries
entry_recency_sd,-0.0360043646053662,0.6021570186175786,4,x_summaries
hours_mean,-0.12613709123295422,0.06679459881836226,4,x_summaries
hours_sd,-0.10338753780398098,0.13349295300610964,4,x_summaries
prop_educ_<HS,,,4,x_summaries
prop_educ_BAplus,,,4,x_summaries
prop_educ_HS,,,4,x_summaries
prop_educ_SomeCollege,,,4,x_summaries
prop_female,-0.06762461189287879,0.3271206424764889,4,x_summaries
prop_married,-0.13731992613643682,0.04581890544351745,4,x_summaries
age_mean,-0.12033577709084071,0.08044424089773065,5,x_summaries
age_sd,0.07795172868196,0.2584744444423186,5,x_summaries
age_sq_mean,-0.11151643460034757,0.10541320831391378,5,x_summaries
age_sq_sd,0.08402949755870752,0.22306804833432317,5,x_summaries
english_mean,0.06547373331042108,0.3427762256843341,5,x_summaries
entry_recency_mean,-0.10433131806245494,0.12996470919407788,5,x_summaries
entry_recency_sd,-0.0665517170672847,0.33487139290590373,5,x_summaries
hours_mean,-0.11615736362921412,0.09160475707057346,5,x_summaries
hours_sd,-0.050790316676954994,0.4619614513458304,5,x_summaries
prop_educ_<HS,,,5,x_summaries
prop_educ_BAplus,,,5,x_summaries
prop_educ_HS,,,5,x_summaries
prop_educ_SomeCollege,,,5,x_summaries
prop_female,0.10113308585191805,0.14221853464096315,5,x_summaries
prop_married,-0.10160527660599261,0.14035588614571662,5,x_summaries
age_mean,-0.05132258402017109,0.45727580301226955,6,x_summaries
age_sd,0.0883775911588233,0.19994837685454225,6,x_summaries
age_sq_mean,-0.04489485079153771,0.5156004551728632,6,x_summaries
age_sq_sd,0.09618784931704086,0.16287302055968145,6,x_summaries
english_mean,0.06824311382810423,0.3227054788699356,6,x_summaries
entry_recency_mean,-0.059730300223996134,0.3868646211604135,6,x_summaries
entry_recency_sd,-0.06110617861683575,0.3760019978603871,6,x_summaries
hours_mean,-0.08821393272551084,0.2007858404710466,6,x_summaries
hours_sd,-0.046432974829583126,0.5013036331272576,6,x_summaries
prop_educ_<HS,,,6,x_summaries
prop_educ_BAplus,,,6,x_summaries
prop_educ_HS,,,6,x_summaries
prop_educ_SomeCollege,,,6,x_summaries
prop_female,0.014691180800391068,0.8315971449548061,6,x_summaries
prop_married,-0.14660642588060266,0.032880220198321056,6,x_summaries
age_mean,-0.03352060396800906,0.627450654079166,7,x_summaries
age_sd,0.03546888500930133,0.6075714814241874,7,x_summaries
age_sq_mean,-0.029993402864780527,0.6641241182114432,7,x_summaries
age_sq_sd,0.015091649387642663,0.8270777159199588,7,x_summaries
english_mean,0.041892543684499135,0.5440999728083328,7,x_summaries
entry_recency_mean,-0.09652670375232619,0.1613897252331274,7,x_summaries
entry_recency_sd,0.03826457193940851,0.5795449211915548,7,x_summaries
hours_mean,-0.15018692686566743,0.028797961367228363,7,x_summaries
hours_sd,-0.1828213584533555,0.007614295120600644,7,x_summaries
prop_educ_<HS,,,7,x_summaries
prop_educ_BAplus,,,7,x_summaries
prop_educ_HS,,,7,x_summaries
prop_educ_SomeCollege,,,7,x_summaries
prop_female,0.025293018707057875,0.7142507819518502,7,x_summaries
prop_married,-0.09853341598531,0.15281250950511743,7,x_summaries
age_mean,-0.05764387814099303,0.40369523212698954,8,x_summaries
age_sd,0.06616839968944378,0.33766878651144,8,x_summaries
age_sq_mean,-0.0536156669104724,0.4373952583503359,8,x_summaries
age_sq_sd,0.05870311482800119,0.3950968979717448,8,x_summaries
english_mean,0.08399422077621456,0.2232630802292505,8,x_summaries
entry_recency_mean,-0.03978640523291587,0.564546239499304,8,x_summaries
entry_recency_sd,-0.08024148188133697,0.24470663378395718,8,x_summaries
hours_mean,-0.12301359864754415,0.07388742746496442,8,x_summaries
hours_sd,-0.0984223237213853,0.15327815754149057,8,x_summaries
prop_educ_<HS,,,8,x_summaries
prop_educ_BAplus,,,8,x_summaries
prop_educ_HS,,,8,x_summaries
prop_educ_SomeCollege,,,8,x_summaries
prop_female,-0.09959648218235816,0.14841052036758326,8,x_summaries
prop_married,-0.06778261917664023,0.3259890241170533,8,x_summaries
age_mean,-0.14419709226327734,0.0358957943153351,9,x_summaries
age_sd,0.017459965962714576,0.8004713124063692,9,x_summaries
age_sq_mean,-0.13723331688645024,0.04595720335644681,9,x_summaries
age_sq_sd,0.018021797674425372,0.7941918870901681,9,x_summaries
english_mean,0.037501271321386774,0.5871370028205107,9,x_summaries
entry_recency_mean,-0.09639663882101943,0.16195786687515534,9,x_summaries
entry_recency_sd,-0.05838136231510165,0.3976970209373282,9,x_summaries
hours_mean,-0.1771191136033824,0.009763081353901417,9,x_summaries
hours_sd,-0.12919512417243964,0.060399582153097445,9,x_summaries
prop_educ_<HS,,,9,x_summaries
prop_educ_BAplus,,,9,x_summaries
prop_educ_HS,,,9,x_summaries
prop_educ_SomeCollege,,,9,x_summaries
prop_female,-0.044423100974590186,0.5200270786328598,9,x_summaries
prop_married,-0.09597358016371949,0.16381621262240212,9,x_summaries
age_mean,-0.02463070818909525,0.7214194926141222,10,x_summaries
age_sd,0.04621290967219806,0.5033362733781304,10,x_summaries
age_sq_mean,-0.01737336445895207,0.8014403824469416,10,x_summaries
age_sq_sd,0.05404271775708432,0.433748155357245,10,x_summaries
english_mean,0.05565685077183795,0.4201217991934417,10,x_summaries
entry_recency_mean,-0.05921116082142812,0.39101214974808146,10,x_summaries
entry_recency_sd,-0.04373826181295624,0.5264876552321711,10,x_summaries
hours_mean,-0.17643749711632792,0.010052865648062124,10,x_summaries
hours_sd,-0.15516431579517098,0.023847835529747115,10,x_summaries
prop_educ_<HS,,,10,x_summaries
prop_educ_BAplus,,,10,x_summaries
prop_educ_HS,,,10,x_summaries
prop_educ_SomeCollege,,,10,x_summaries
prop_female,0.08581504912505826,0.2133540389260571,10,x_summaries
prop_married,-0.10463811803294013,0.1288333758564449,10,x_summaries
age_mean,-0.09581512109197633,0.16451635841494286,11,x_summaries
age_sd,0.1232140098007677,0.07341468701839807,11,x_summaries
age_sq_mean,-0.0822287811747207,0.23317867341807547,11,x_summaries
age_sq_sd,0.11295620866586484,0.10096420956196293,11,x_summaries
english_mean,0.080434780216947,0.24356821800045667,11,x_summaries
entry_recency_mean,-0.1109226581736264,0.10729240366168856,11,x_summaries
entry_recency_sd,-0.056355177971304446,0.4143048485181747,11,x_summaries
hours_mean,-0.16633151986088326,0.015332962235484198,11,x_summaries
hours_sd,-0.11815365077354069,0.08612754236582257,11,x_summaries
prop_educ_<HS,,,11,x_summaries
prop_educ_BAplus,,,11,x_summaries
prop_educ_HS,,,11,x_summaries
prop_educ_SomeCollege,,,11,x_summaries
prop_female,-0.021445084321706418,0.7562303600369091,11,x_summaries
prop_married,-0.12346081070926278,0.07283589786509653,11,x_summaries
age_mean,-0.07932179603639665,0.2501738194708636,12,x_summaries
age_sd,0.09188879756398656,0.18258679660563512,12,x_summaries
age_sq_mean,-0.07227903117375195,0.2948472350484498,12,x_summaries
age_sq_sd,0.08927630220808414,0.19539465559331626,12,x_summaries
english_mean,0.013534261713350886,0.8446839660227814,12,x_summaries
entry_recency_mean,-0.13784320642062886,0.04499071508111185,12,x_summaries
entry_recency_sd,-0.054744809629465555,0.42779024214206407,12,x_summaries
hours_mean,-0.1729149798413659,0.011674949495928396,12,x_summaries
hours_sd,-0.13861961130031553,0.043785025484849596,12,x_summaries
prop_educ_<HS,,,12,x_summaries
prop_educ_BAplus,,,12,x_summaries
prop_educ_HS,,,12,x_summaries
prop_educ_SomeCollege,,,12,x_summaries
prop_female,0.037040965053564356,0.5917373731661443,12,x_summaries
prop_married,-0.14832753308661145,0.030860330626687985,12,x_summaries
age_mean,-0.10108250384150573,0.14241917751682906,13,x_summaries
age_sd,0.015388642078573635,0.8237297083794018,13,x_summaries
age_sq_mean,-0.09610788627780531,0.16322453337085877,13,x_summaries
age_sq_sd,0.022884382535552306,0.7404367371494939,13,x_summaries
english_mean,-0.0071602940460808884,0.9174547298873911,13,x_summaries
entry_recency_mean,-0.07342136614976605,0.28726177030395383,13,x_summaries
entry_recency_sd,-0.07331402119974786,0.2879689566451387,13,x_summaries
hours_mean,-0.14795614047784597,0.03128701072735087,13,x_summaries
hours_sd,-0.1264610816903752,0.06609187592032288,13,x_summaries
prop_educ_<HS,,,13,x_summaries
prop_educ_BAplus,,,13,x_summaries
prop_educ_HS,,,13,x_summaries
prop_educ_SomeCollege,,,13,x_summaries
prop_female,-0.012098397492391486,0.8609851431333068,13,x_summaries
prop_married,-0.12006691553445692,0.08112770833494919,13,x_summaries
age_mean,-0.11267339172319522,0.10182620600302465,14,x_summaries
age_sd,0.036491850200344726,0.5972467049742443,14,x_summaries
age_sq_mean,-0.10434027023451713,0.12993158972808838,14,x_summaries
age_sq_sd,0.03842134895646138,0.5779912361761492,14,x_summaries
english_mean,0.052693591219797456,0.44532945323097656,14,x_summaries
entry_recency_mean,-0.11750901617090026,0.08786675092073147,14,x_summaries
entry_recency_sd,-0.010285466904515008,0.8816505481174559,14,x_summaries
hours_mean,-0.15100901758362884,0.027924387479595324,14,x_summaries
hours_sd,-0.11300564956994573,0.10081411331405621,14,x_summaries
prop_educ_<HS,,,14,x_summaries
prop_educ_BAplus,,,14,x_summaries
prop_educ_HS,,,14,x_summaries
prop_educ_SomeCollege,,,14,x_summaries
prop_female,-0.08217986612879911,0.23345775004553496,14,x_summaries
prop_married,-0.14400526575817837,0.03614564201628332,14,x_summaries
age_mean,-0.06027964338783787,0.3825049288170944,15,x_summaries
age_sd,0.030838400860488408,0.6552610929683169,15,x_summaries
age_sq_mean,-0.05657827123975647,0.41245653502720164,15,x_summaries
age_sq_sd,0.03636293868105169,0.5985434377601313,15,x_summaries
english_mean,0.05480872326056233,0.4272502340623854,15,x_summaries
entry_recency_mean,-0.10625982974707711,0.12297905243109901,15,x_summaries
entry_recency_sd,-0.07400973580034712,0.28340628370949683,15,x_summaries
hours_mean,-0.1419164414839268,0.038962853762274555,15,x_summaries
hours_sd,-0.12510192479801213,0.06908086968093571,15,x_summaries
prop_educ_<HS,,,15,x_summaries
prop_educ_BAplus,,,15,x_summaries
prop_educ_HS,,,15,x_summaries
prop_educ_SomeCollege,,,15,x_summaries
prop_female,0.003978186361149157,0.9540823556095263,15,x_summaries
prop_married,-0.04187642139024867,0.544255087771482,15,x_summaries
age_mean,-0.13079751530219108,0.05725523448378441,16,x_summaries
age_sd,-0.002791264039097029,0.9677732636310902,16,x_summaries
age_sq_mean,-0.12844983549274192,0.06190974129076341,16,x_summaries
age_sq_sd,-0.015371311004007992,0.8239249952470902,16,x_summaries
english_mean,0.0695111114667243,0.3137751362625135,16,x_summaries
entry_recency_mean,-0.14490591855982932,0.034985217405294367,16,x_summaries
entry_recency_sd,-0.02091267136496064,0.7620987171895882,16,x_summaries
hours_mean,-0.13202814816392303,0.054933217750179196,16,x_summaries
hours_sd,-0.09395150301387263,0.17291930491137747,16,x_summaries
prop_educ_<HS,,,16,x_summaries
prop_educ_BAplus,,,16,x_summaries
prop_educ_HS,,,16,x_summaries
prop_educ_SomeCollege,,,16,x_summaries
prop_female,-0.002563287804821267,0.9704041272003491,16,x_summaries
prop_married,-0.1815912545115784,0.008038485962992179,16,x_summaries
