summary,median_rho,median_p_value,frac_p_lt_0p05,mean_rho
hours_mean,-0.14340571425178245,0.036936047846055954,0.63,-0.14481452994641045
prop_married,-0.11620808058690917,0.09146400243916407,0.345,-0.11802251334816187
hours_sd,-0.11590511034385542,0.09231622157503513,0.345,-0.11710504789956688
age_mean,-0.10980984303577093,0.11088578302025706,0.21,-0.1071284517695006
age_sq_mean,-0.10336745423518914,0.13356948639125268,0.165,-0.10253689627232944
entry_recency_mean,-0.10036924793892882,0.14527248559997144,0.155,-0.10066724430765618
english_mean,0.04816579115924596,0.4854506754204811,0.0,0.046845488056347646
entry_recency_sd,-0.042059739372707676,0.5136071439173716,0.015,-0.04053125534229403
age_sd,0.030055149047601815,0.5940170585362765,0.01,0.031336545338940515
age_sq_sd,0.02983120228080735,0.6182796054919499,0.01,0.026782182060356746
prop_female,0.018957473144355745,0.6240410571371506,0.0,0.015153196401911009
prop_educ_<HS,,,0.0,
prop_educ_BAplus,,,0.0,
prop_educ_HS,,,0.0,
prop_educ_SomeCollege,,,0.0,
