summary,spearman_rho,p_value,subsample,test
income_mean,0.03694998776224829,0.5926485555988156,0,y_summaries
income_sd,0.004192404771458663,0.95161270513549,0,y_summaries
y_mean,0.03694998776224829,0.5926485555988156,0,y_summaries
y_sd,0.004192404771458663,0.95161270513549,0,y_summaries
income_mean,0.05541964520906944,0.4221084697737219,1,y_summaries
income_sd,-0.0107978357868263,0.8758013680709984,1,y_summaries
y_mean,0.05541964520906944,0.4221084697737219,1,y_summaries
y_sd,-0.0107978357868263,0.8758013680709984,1,y_summaries
income_mean,0.04901197343715504,0.47780789123091344,2,y_summaries
income_sd,0.007680616553961379,0.9114800146183515,2,y_summaries
y_mean,0.04901197343715504,0.47780789123091344,2,y_summaries
y_sd,0.007680616553961379,0.9114800146183515,2,y_summaries
income_mean,0.034909528096772544,0.6132502899693532,3,y_summaries
income_sd,-0.008775957884725592,0.8989191475672703,3,y_summaries
y_mean,0.034909528096772544,0.6132502899693532,3,y_summaries
y_sd,-0.008775957884725592,0.8989191475672703,3,y_summaries
income_mean,0.03144996433949857,0.6488763705214804,4,y_summaries
income_sd,-0.029453911046116284,0.6698073386033916,4,y_summaries
y_mean,0.03144996433949857,0.6488763705214804,4,y_summaries
y_sd,-0.029453911046116284,0.6698073386033916,4,y_summaries
income_mean,-0.006418993980015304,0.9259747866332552,5,y_summaries
income_sd,-0.06711185937412097,0.3308103000714744,5,y_summaries
y_mean,-0.006418993980015304,0.9259747866332552,5,y_summaries
y_sd,-0.06711185937412097,0.3308103000714744,5,y_summaries
income_mean,0.030044727704113313,0.6635844332863661,6,y_summaries
income_sd,-0.0003010771455464605,0.9965229645483948,6,y_summaries
y_mean,0.030044727704113313,0.6635844332863661,6,y_summaries
y_sd,-0.0003010771455464605,0.9965229645483948,6,y_summaries
income_mean,0.05813938251573324,0.39965922059965275,7,y_summaries
income_sd,0.00018392160355557835,0.9978759490548876,7,y_summaries
y_mean,0.05813938251573324,0.39965922059965275,7,y_summaries
y_sd,0.00018392160355557835,0.9978759490548876,7,y_summaries
income_mean,0.04136346474484531,0.5492016828074795,8,y_summaries
income_sd,0.0059572963233858215,0.9312855868307923,8,y_summaries
y_mean,0.04136346474484531,0.5492016828074795,8,y_summaries
y_sd,0.0059572963233858215,0.9312855868307923,8,y_summaries
income_mean,0.047570203974499084,0.490868744474807,9,y_summaries
income_sd,-0.0006884462763227643,0.9920494785581553,9,y_summaries
y_mean,0.047570203974499084,0.490868744474807,9,y_summaries
y_sd,-0.0006884462763227643,0.9920494785581553,9,y_summaries
income_mean,0.04270823400371915,0.5362807002784696,10,y_summaries
income_sd,0.005431985989942835,0.9373317919451631,10,y_summaries
y_mean,0.04270823400371915,0.5362807002784696,10,y_summaries
y_sd,0.005431985989942835,0.9373317919451631,10,y_summaries
income_mean,0.059131425411623764,0.39165154166630123,11,y_summaries
income_sd,0.001333431625777943,0.9846015617358087,11,y_summaries
y_mean,0.059131425411623764,0.39165154166630123,11,y_summaries
y_sd,0.001333431625777943,0.9846015617358087,11,y_summaries
income_mean,0.024256236140155218,0.7254835259911548,12,y_summaries
income_sd,-0.04948624898954647,0.4735530886228325,12,y_summaries
y_mean,0.024256236140155218,0.7254835259911548,12,y_summaries
y_sd,-0.04948624898954647,0.4735530886228325,12,y_summaries
income_mean,0.06029983148900596,0.38234528391852746,13,y_summaries
income_sd,-0.009083963583830654,0.895391467633426,13,y_summaries
y_mean,0.06029983148900596,0.38234528391852746,13,y_summaries
y_sd,-0.009083963583830654,0.895391467633426,13,y_summaries
income_mean,0.048458679554763996,0.4827976973576056,14,y_summaries
income_sd,0.018831808572276308,0.7851619971301425,14,y_summaries
y_mean,0.048458679554763996,0.4827976973576056,14,y_summaries
y_sd,0.018831808572276308,0.7851619971301425,14,y_summaries
income_mean,0.06400536805885114,0.3537325556597642,15,y_summaries
income_sd,-0.006299944790283886,0.9273438778379339,15,y_summaries
y_mean,0.06400536805885114,0.3537325556597642,15,y_summaries
y_sd,-0.006299944790283886,0.9273438778379339,15,y_summaries
income_mean,0.025892634516995597,0.7077821701175382,16,y_summaries
income_sd,-0.02411640533197255,0.7270030454918037,16,y_summaries
y_mean,0.025892634516995597,0.7077821701175382,16,y_summaries
y_sd,-0.02411640533197255,0.7270030454918037,16,y_summaries
income_mean,0.040255526043974546,0.5599604252057907,17,y_summaries
income_sd,-0.01556468063514348,0.8217467186853433,17,y_summaries
y_mean,0.040255526043974546,0.5599604252057907,17,y_summaries
y_sd,-0.01556468063514348,0.8217467186853433,17,y_summaries
income_mean,0.042005300751773854,0.5430157309641678,18,y_summaries
income_sd,-0.013244874930022951,0.847964260700638,18,y_summaries
y_mean,0.042005300751773854,0.5430157309641678,18,y_summaries
y_sd,-0.013244874930022951,0.847964260700638,18,y_summaries
income_mean,0.026108687635016174,0.7054564975889605,19,y_summaries
income_sd,-0.020777472385232407,0.7635910858221081,19,y_summaries
y_mean,0.026108687635016174,0.7054564975889605,19,y_summaries
y_sd,-0.020777472385232407,0.7635910858221081,19,y_summaries
income_mean,0.035924246578353476,0.6029657516481122,20,y_summaries
income_sd,-0.029450761703589647,0.6698405705854706,20,y_summaries
y_mean,0.035924246578353476,0.6029657516481122,20,y_summaries
y_sd,-0.029450761703589647,0.6698405705854706,20,y_summaries
income_mean,0.017932367639194948,0.7951905454942735,21,y_summaries
income_sd,-0.03808247970059529,0.5813519222871195,21,y_summaries
y_mean,0.017932367639194948,0.7951905454942735,21,y_summaries
y_sd,-0.03808247970059529,0.5813519222871195,21,y_summaries
income_mean,0.026029954047059864,0.7063036988891103,22,y_summaries
income_sd,-0.04118584182634301,0.5509196713863843,22,y_summaries
y_mean,0.026029954047059864,0.7063036988891103,22,y_summaries
y_sd,-0.04118584182634301,0.5509196713863843,22,y_summaries
income_mean,0.059257399112689235,0.39064165704795395,23,y_summaries
income_sd,0.001754183787336595,0.979743637517615,23,y_summaries
y_mean,0.059257399112689235,0.39064165704795395,23,y_summaries
y_sd,0.001754183787336595,0.979743637517615,23,y_summaries
income_mean,0.04585948057538437,0.5066097565204722,24,y_summaries
income_sd,-0.02001722109930233,0.7719990780768652,24,y_summaries
y_mean,0.04585948057538437,0.5066097565204722,24,y_summaries
y_sd,-0.02001722109930233,0.7719990780768652,24,y_summaries
income_mean,0.0407729758590549,0.5549230691810471,25,y_summaries
income_sd,-0.025157577971278614,0.715714753235268,25,y_summaries
y_mean,0.0407729758590549,0.5549230691810471,25,y_summaries
y_sd,-0.025157577971278614,0.715714753235268,25,y_summaries
income_mean,0.02217515059855374,0.7482061341900752,26,y_summaries
