method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n
Donor-HCP,0,0.923,0.26672484350382913,0.008430361795320529,184545.9707897029,185018.61434569902,32485.691640686287,1000
Donor-HCP,5,0.906,0.29197474077263813,0.009228434320078352,160831.41230630377,162853.22484145814,27194.664225892906,1000
Donor-HCP,10,0.906,0.29197474077263813,0.009228434320078352,145442.82164650335,146651.84110070262,24493.18368106628,1000
Donor-HCP,15,0.894,0.30799165387857325,0.009734680272099335,133607.06785962544,135617.24543719203,23350.40820456842,1000
Donor-HCP,20,0.88,0.3251241389157466,0.010276186062932104,123862.23717068485,126210.39985608573,22143.78721728904,1000
HCP,0,0.915,0.2790212408632233,0.008819013550278736,182505.81179129542,184269.15775811792,31430.864571849415,1000
Pooled-Income-Quantile,0,0.855,0.3522770203960217,0.011134406135937382,147408.00000000003,147408.00000000003,0.0,1000
Pooled-Income-Quantile,5,0.855,0.3522770203960217,0.011134406135937382,147408.00000000003,147408.00000000003,0.0,1000
Pooled-Income-Quantile,10,0.855,0.3522770203960217,0.011134406135937382,147408.00000000003,147408.00000000003,0.0,1000
Pooled-Income-Quantile,15,0.855,0.3522770203960217,0.011134406135937382,147408.00000000003,147408.00000000003,0.0,1000
Pooled-Income-Quantile,20,0.855,0.3522770203960217,0.011134406135937382,147408.00000000003,147408.00000000003,0.0,1000
Pooling,0,0.825,0.38015722999769397,0.012015614840697917,121170.5244583042,123919.86179568282,23393.338266277213,1000
Repeated,0,0.958,0.20068950215762726,0.006343185319695463,244345.04843008792,247916.7186049791,57538.19730605564,1000
S-HCP,0,0.904,0.2947386484173239,0.009315793041926167,179666.26862304978,248875.62915620362,213221.7037606171,1000
S-HCP,5,0.844,0.3630369069334353,0.011474493452871897,125874.12754508946,128451.12249024132,33573.02328837598,1000
S-HCP,10,0.855,0.3522770203960217,0.011134406135937382,115933.3884734599,118562.66389930657,25027.056939285663,1000
S-HCP,15,0.862,0.3450725649411658,0.01090669519148674,112485.55345247353,113778.67840153724,20731.151921947057,1000
S-HCP,20,0.858,0.34922479573758497,0.011037934589405756,106350.7323699334,108189.83106076771,18147.036507767112,1000
Std-CP,0,1.0,0.0,0.0,,,,1000
Std-CP,5,0.849,0.35822803816469656,0.01132249972400088,98320.0,148556.12269736844,173836.1691820107,1000
Std-CP,10,0.852,0.3552776691859794,0.011229247525992114,111984.0,168027.5489009793,180529.26993235745,1000
Std-CP,15,0.862,0.3450725649411658,0.01090669519148674,118946.62857142856,172558.418,181952.1016476974,1000
Std-CP,20,0.848,0.3592005359475749,0.011353237423748348,110246.0,156896.67944,166375.09406161882,1000
Subsampling,0,0.897,0.304110972316823,0.009612023720320294,186317.32021127394,248822.74267893945,205398.91221087475,1000
