alpha,o,method,n_fin,cov,w_mean,w_med
0.1,0,abs_ns1,0,1.0,,
0.1,0,stud_ns1,0,1.0,,
0.1,0,paper_ns5,0,1.0,,
0.1,5,abs_ns1,0,1.0,,
0.1,5,stud_ns1,0,1.0,,
0.1,5,paper_ns5,0,1.0,,
0.1,10,abs_ns1,0,1.0,,
0.1,10,stud_ns1,0,1.0,,
0.1,10,paper_ns5,0,1.0,,
0.1,15,abs_ns1,0,1.0,,
0.1,15,stud_ns1,0,1.0,,
0.1,15,paper_ns5,0,1.0,,
0.1,20,abs_ns1,1000,0.904,232898.40093714284,152500.0
0.1,20,stud_ns1,1000,0.902,279324.9455905472,157894.74554307736
0.1,20,paper_ns5,1000,0.909,219811.14048000003,148587.0
0.2,0,abs_ns1,0,1.0,,
0.2,0,stud_ns1,0,1.0,,
0.2,0,paper_ns5,0,1.0,,
0.2,5,abs_ns1,0,1.0,,
0.2,5,stud_ns1,0,1.0,,
0.2,5,paper_ns5,0,1.0,,
0.2,10,abs_ns1,1000,0.829,173342.74883333332,117008.0
0.2,10,stud_ns1,1000,0.819,188477.5449514353,120681.0250300558
0.2,10,paper_ns5,1000,0.834,168024.39343999999,111980.4
0.2,15,abs_ns1,1000,0.888,216577.46512,140806.0
0.2,15,stud_ns1,1000,0.893,244240.89463120076,147410.527900094
0.2,15,paper_ns5,1000,0.902,207021.6922857143,133345.14285714284
0.2,20,abs_ns1,1000,0.82,132814.68432952382,101952.0
0.2,20,stud_ns1,1000,0.818,149533.3848821066,102527.4244964135
0.2,20,paper_ns5,1000,0.822,121416.09448,98144.2
