method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
GHCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
GHCP,5,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
GHCP,10,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
GHCP,15,0.05,0.95,702213.6906617327,24349.631186732855,302170.9764275958,882409.2939963422,373575.71550583624,953909.0767405625,200947.6390038315,1107495.2350597873,1000.0,154.0,846.0,0.154,0.846
GHCP,20,0.05,0.95,413191.2379906897,13460.247949975841,282985.5075700421,284714.9532946942,211462.61367757674,476352.51397770736,133026.75046784355,1172842.9310319163,1000.0,442.0,558.0,0.442,0.558
HCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
HCP,5,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
HCP,10,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.05,0.95,244000.0,0.0,0.0,244000.0,244000.0,244000.0,244000.0,244000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.05,0.95,244000.0,0.0,0.0,244000.0,244000.0,244000.0,244000.0,244000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.05,0.95,244000.0,0.0,0.0,244000.0,244000.0,244000.0,244000.0,244000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.05,0.95,244000.0,0.0,0.0,244000.0,244000.0,244000.0,244000.0,244000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.05,0.95,244000.0,0.0,0.0,244000.0,244000.0,244000.0,244000.0,244000.0,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.05,0.95,205280.65721223867,1152.383465487622,36441.56488858926,201784.1437613188,179637.60361194765,228135.50775997952,108583.88998127473,368702.8954674368,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Repeated,5,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,5,0.05,0.95,255357.08403985767,5003.855575507131,158235.8070113519,210614.54226122022,173723.3197659236,272282.897688892,74053.56265067938,1032398.2685025774,1000.0,1000.0,0.0,1.0,0.0
S-HCP,10,0.05,0.95,225399.80711734068,3706.9275742061272,117223.34255774198,196700.01763811894,164698.55697699654,241015.48554948,86851.71280337192,964100.1338977067,1000.0,1000.0,0.0,1.0,0.0
S-HCP,15,0.05,0.95,218204.79698224703,2708.607179873686,85653.67975086233,199026.79324438947,171699.10151823072,238021.93746186534,99062.09212842595,914157.2205307472,1000.0,1000.0,0.0,1.0,0.0
S-HCP,20,0.05,0.95,187098.25146622868,1694.7927404384295,53594.05221703992,177514.23783725765,155217.53310379316,205102.08719190303,90394.02029904076,734132.9346536226,1000.0,1000.0,0.0,1.0,0.0
Std-CP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.05,0.95,150450.7014354067,11213.482850922035,162111.44101640643,104040.0,61844.0,175300.0,9760.0,1077420.0,1000.0,209.0,791.0,0.209,0.791
Std-CP,10,0.05,0.95,177444.00883280757,11008.629598956522,196003.07760365872,116016.0,74256.0,193667.2,17288.0,1095000.0,1000.0,317.0,683.0,0.317,0.683
Std-CP,15,0.05,0.95,218630.91159513133,11170.038234400792,235896.82141660387,134269.74285714282,88044.99999999999,234473.5,23382.857142857152,1086657.1428571427,1000.0,446.0,554.0,0.446,0.554
Std-CP,20,0.05,0.95,221178.37431734317,9621.065010273885,223986.98941478436,153578.0,96164.5,240338.81,16780.0,1259538.0,1000.0,542.0,458.0,0.542,0.458
Subsampling,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Subsampling,5,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Subsampling,10,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Subsampling,15,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
