method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n
Donor-HCP,0,0.855,0.3522770203960217,0.011134406135937382,138509.4631558612,140824.69694083923,26170.170420628194,1000
Donor-HCP,5,0.851,0.3562666500332664,0.011260506205317771,124050.33125765865,126169.20140488914,22051.595615461527,1000
Donor-HCP,10,0.854,0.35328290194801226,0.011166198995181844,114856.86488440869,115537.01955956478,18860.532986376056,1000
Donor-HCP,15,0.84,0.366789496216201,0.011593101396951551,108142.13521481349,109312.9589550471,17862.443218756634,1000
Donor-HCP,20,0.831,0.3749394345485409,0.011850696182081458,102583.90831655884,103543.31921693274,16802.99627245469,1000
HCP,0,0.858,0.34922479573758497,0.011037934589405756,137942.5242781789,139889.6966197726,25374.625854302696,1000
Pooled-Income-Quantile,0,0.835,0.37136627864268035,0.011737759581794136,135000.0,135000.0,0.0,1000
Pooled-Income-Quantile,5,0.835,0.37136627864268035,0.011737759581794136,135000.0,135000.0,0.0,1000
Pooled-Income-Quantile,10,0.835,0.37136627864268035,0.011737759581794136,135000.0,135000.0,0.0,1000
Pooled-Income-Quantile,15,0.835,0.37136627864268035,0.011737759581794136,135000.0,135000.0,0.0,1000
Pooled-Income-Quantile,20,0.835,0.37136627864268035,0.011737759581794136,135000.0,135000.0,0.0,1000
Pooling,0,0.78,0.4144535821678609,0.01309961831505025,100491.290008203,102889.47086214708,20131.2311587696,1000
Repeated,0,0.838,0.36863517451796685,0.011651437679531227,127022.24683875244,128718.54536852158,23846.92013479102,1000
S-HCP,0,0.823,0.38185968210432586,0.012069424178476786,117318.6239142044,128399.611827685,64416.15773012749,1000
S-HCP,5,0.813,0.39010663052963246,0.012330085157856779,103219.93199845881,105798.58057699045,26308.096161326495,1000
S-HCP,10,0.781,0.41377555535605315,0.013078187947877183,93920.21283861551,96102.2424398019,19896.005246895875,1000
S-HCP,15,0.793,0.4053582555164201,0.012812142677944232,95504.9463129731,96063.02905223276,16870.95730943193,1000
S-HCP,20,0.805,0.3963989557656934,0.012528966437819202,91296.61470503511,92525.16917014858,15431.245645168914,1000
Std-CP,0,1.0,0.0,0.0,,,,1000
Std-CP,5,0.81,0.39249720260666066,0.012405643876881197,96163.8,142899.89564134495,164641.7043702526,1000
Std-CP,10,0.795,0.4039036248143091,0.012766166221697099,98683.2,148387.1872,162000.59296441346,1000
Std-CP,15,0.805,0.3963989557656934,0.012528966437819202,99178.85714285716,129086.34405714285,119214.391749289,1000
Std-CP,20,0.807,0.394850486775573,0.012480024038438387,92989.2,114039.3936,82702.44312253255,1000
Subsampling,0,0.808,0.3940701603665156,0.01245536029185828,117081.76253339896,129707.9946373555,72518.19372344336,1000
