method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
GHCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
GHCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
GHCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
GHCP,15,0.05,0.95,0.998,0.0014127986409959495,0.04469897088298564,1000.0
GHCP,20,0.05,0.95,0.989,0.0032983329122452166,0.10435463521037237,1000.0
HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
HCP,5,0.05,0.95,,,,0.0
HCP,10,0.05,0.95,,,,0.0
HCP,15,0.05,0.95,,,,0.0
HCP,20,0.05,0.95,,,,0.0
Pooled-Income-Quantile,0,0.05,0.95,0.961,0.006122009474020767,0.19369180807797864,1000.0
Pooled-Income-Quantile,5,0.05,0.95,0.961,0.006122009474020767,0.19369180807797864,1000.0
Pooled-Income-Quantile,10,0.05,0.95,0.961,0.006122009474020767,0.19369180807797864,1000.0
Pooled-Income-Quantile,15,0.05,0.95,0.961,0.006122009474020767,0.19369180807797864,1000.0
Pooled-Income-Quantile,20,0.05,0.95,0.961,0.006122009474020767,0.19369180807797864,1000.0
Pooling,0,0.05,0.95,0.941,0.007451107300260817,0.2357426023750789,1000.0
Pooling,5,0.05,0.95,,,,0.0
Pooling,10,0.05,0.95,,,,0.0
Pooling,15,0.05,0.95,,,,0.0
Pooling,20,0.05,0.95,,,,0.0
Repeated,0,0.05,0.95,1.0,0.0,0.0,1000.0
Repeated,5,0.05,0.95,,,,0.0
Repeated,10,0.05,0.95,,,,0.0
Repeated,15,0.05,0.95,,,,0.0
Repeated,20,0.05,0.95,,,,0.0
S-HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
S-HCP,5,0.05,0.95,0.953,0.00669260786241059,0.21174474216810163,1000.0
S-HCP,10,0.05,0.95,0.948,0.007021111023192843,0.22213812222431648,1000.0
S-HCP,15,0.05,0.95,0.951,0.006826346021115546,0.21597603025716913,1000.0
S-HCP,20,0.05,0.95,0.947,0.007084560677981384,0.22414558046332572,1000.0
Std-CP,0,0.05,0.95,1.0,0.0,0.0,1000.0
Std-CP,5,0.05,0.95,0.952,0.006759881655768837,0.21387319079712103,1000.0
Std-CP,10,0.05,0.95,0.946,0.0071473071852271785,0.2261307920985887,1000.0
Std-CP,15,0.05,0.95,0.956,0.006485676526007139,0.2051977244174655,1000.0
Std-CP,20,0.05,0.95,0.959,0.006270486424512857,0.19838941090279583,1000.0
Subsampling,0,0.05,0.95,1.0,0.0,0.0,1000.0
Subsampling,5,0.05,0.95,,,,0.0
Subsampling,10,0.05,0.95,,,,0.0
Subsampling,15,0.05,0.95,,,,0.0
