dataset,alpha,o,n,finite_abs,finite_stud,cov_abs,cov_stud,mean_w_abs,mean_w_stud,med_w_abs,med_w_stud
ACS min21,0.05,0,1000,0,0,1.0,1.0,,,,
ACS min21,0.05,5,1000,0,0,1.0,1.0,,,,
ACS min21,0.05,10,1000,0,0,1.0,1.0,,,,
ACS min21,0.05,15,1000,0,0,1.0,1.0,,,,
ACS min21,0.05,20,1000,0,0,1.0,1.0,,,,
ACS min21,0.1,0,1000,0,0,1.0,1.0,,,,
ACS min21,0.1,5,1000,0,0,1.0,1.0,,,,
ACS min21,0.1,10,1000,0,0,1.0,1.0,,,,
ACS min21,0.1,15,1000,0,0,1.0,1.0,,,,
ACS min21,0.1,20,1000,1000,1000,0.909,0.909,219811.14048000003,219811.14048000003,148587.0,148587.0
ACS min21,0.15,0,1000,0,0,1.0,1.0,,,,
ACS min21,0.15,5,1000,0,0,1.0,1.0,,,,
ACS min21,0.15,10,1000,0,0,1.0,1.0,,,,
ACS min21,0.15,15,1000,1000,1000,0.902,0.902,207021.6922857143,207021.6922857143,133345.14285714284,133345.14285714284
ACS min21,0.15,20,1000,1000,1000,0.909,0.909,219811.14048000003,219811.14048000003,148587.0,148587.0
ACS min21,0.2,0,1000,0,0,1.0,1.0,,,,
ACS min21,0.2,5,1000,0,0,1.0,1.0,,,,
ACS min21,0.2,10,1000,1000,1000,0.834,0.834,168024.39343999999,168024.39343999999,111980.4,111980.4
ACS min21,0.2,15,1000,1000,1000,0.902,0.902,207021.6922857143,207021.6922857143,133345.14285714284,133345.14285714284
ACS min21,0.2,20,1000,1000,1000,0.822,0.822,121416.09448,121416.09448,98144.2,98144.2
