dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean21,GHCP,0,0.2,0.8,0.851,0.011260506205317771,0.3562666500332664,1000.0
poissonNmean21,GHCP,0,0.15,0.85,0.897,0.009612023720320294,0.304110972316823,1000.0
poissonNmean21,GHCP,0,0.1,0.9,0.941,0.007451107300260817,0.2357426023750789,1000.0
poissonNmean21,GHCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,GHCP,5,0.2,0.8,0.839,0.011622349160131098,0.3677148544921924,1000.0
poissonNmean21,GHCP,5,0.15,0.85,0.895,0.009694070352540258,0.30670681288336105,1000.0
poissonNmean21,GHCP,5,0.1,0.9,0.936,0.007739767438366605,0.24487540497968344,1000.0
poissonNmean21,GHCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,GHCP,10,0.2,0.8,0.829,0.011906258858264422,0.3766973598273564,1000.0
poissonNmean21,GHCP,10,0.15,0.85,0.879,0.010313049985334114,0.32629046180583565,1000.0
poissonNmean21,GHCP,10,0.1,0.9,0.93,0.008068457101577721,0.2552746857116176,1000.0
poissonNmean21,GHCP,10,0.05,0.95,0.992,0.0028170906978654425,0.08912880535463236,1000.0
poissonNmean21,GHCP,15,0.2,0.8,0.828,0.011933817494833748,0.3775692765024169,1000.0
poissonNmean21,GHCP,15,0.15,0.85,0.878,0.010349685985574635,0.32744957355785825,1000.0
poissonNmean21,GHCP,15,0.1,0.9,0.916,0.008771772910877251,0.2775266131761439,1000.0
poissonNmean21,GHCP,15,0.05,0.95,0.976,0.004839834707921338,0.1531255937047999,1000.0
poissonNmean21,GHCP,20,0.2,0.8,0.81,0.012405643876881197,0.39249720260666066,1000.0
poissonNmean21,GHCP,20,0.15,0.85,0.856,0.011102432165971564,0.35126540875438816,1000.0
poissonNmean21,GHCP,20,0.1,0.9,0.919,0.008627803892068941,0.272971634998059,1000.0
poissonNmean21,GHCP,20,0.05,0.95,0.96,0.00619677335393187,0.19605723255834875,1000.0
poissonNmean21,GHCP,25,0.2,0.8,0.855,0.011134406135937382,0.35227702039602166,1000.0
poissonNmean21,GHCP,25,0.15,0.85,0.906,0.009228434320078352,0.29197474077263813,1000.0
poissonNmean21,GHCP,25,0.1,0.9,0.953,0.00669260786241059,0.21174474216810163,1000.0
poissonNmean21,GHCP,25,0.05,0.95,0.983,0.004087909000944127,0.1293357171384909,1000.0
poissonNmean21,GHCP,30,0.2,0.8,0.914,0.008865889690267975,0.28050433629924987,1000.0
poissonNmean21,GHCP,30,0.15,0.85,0.928,0.00817410545564467,0.2586172517116421,1000.0
poissonNmean21,GHCP,30,0.1,0.9,0.944,0.007270763371201131,0.23003677296666486,1000.0
poissonNmean21,GHCP,30,0.05,0.95,0.998,0.0014127986409959495,0.04469897088298564,1000.0
poissonNmean21,GHCP,35,0.2,0.8,0.939,0.007568289106528638,0.239450070654273,1000.0
poissonNmean21,GHCP,35,0.15,0.85,0.939,0.007568289106528638,0.239450070654273,1000.0
poissonNmean21,GHCP,35,0.1,0.9,0.94,0.007509993342207438,0.23760567429347407,1000.0
poissonNmean21,GHCP,35,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,GHCP no within,0,0.2,0.8,0.851,0.011260506205317771,0.3562666500332664,1000.0
poissonNmean21,GHCP no within,0,0.15,0.85,0.897,0.009612023720320294,0.304110972316823,1000.0
poissonNmean21,GHCP no within,0,0.1,0.9,0.941,0.007451107300260817,0.2357426023750789,1000.0
poissonNmean21,GHCP no within,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,GHCP no within,5,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
poissonNmean21,GHCP no within,5,0.15,0.85,0.885,0.010088359628799917,0.31918157352340515,1000.0
poissonNmean21,GHCP no within,5,0.1,0.9,0.925,0.00832916562447884,0.26352313834736496,1000.0
poissonNmean21,GHCP no within,5,0.05,0.95,0.999,0.0009994998749374613,0.0316227766016838,1000.0
poissonNmean21,GHCP no within,10,0.2,0.8,0.825,0.012015614840697917,0.38015722999769397,1000.0
poissonNmean21,GHCP no within,10,0.15,0.85,0.87,0.010634848376916336,0.33647171235218754,1000.0
poissonNmean21,GHCP no within,10,0.1,0.9,0.918,0.008676174272108645,0.2745020060971346,1000.0
poissonNmean21,GHCP no within,10,0.05,0.95,0.977,0.004740358636221528,0.14997831007680243,1000.0
poissonNmean21,GHCP no within,15,0.2,0.8,0.817,0.012227469075814505,0.3868600013708585,1000.0
poissonNmean21,GHCP no within,15,0.15,0.85,0.861,0.010939789760319894,0.3461196307619647,1000.0
poissonNmean21,GHCP no within,15,0.1,0.9,0.908,0.009139803061335619,0.28917057184232914,1000.0
poissonNmean21,GHCP no within,15,0.05,0.95,0.955,0.00655553201502365,0.2074078542823729,1000.0
poissonNmean21,GHCP no within,20,0.2,0.8,0.802,0.012601428490452976,0.3986915536538929,1000.0
poissonNmean21,GHCP no within,20,0.15,0.85,0.859,0.011005407761641547,0.34819569244928955,1000.0
poissonNmean21,GHCP no within,20,0.1,0.9,0.905,0.009272270487857868,0.2933616557443407,1000.0
poissonNmean21,GHCP no within,20,0.05,0.95,0.947,0.007084560677981384,0.22414558046332572,1000.0
poissonNmean21,GHCP no within,25,0.2,0.8,0.842,0.011534123287012326,0.36492351139542817,1000.0
poissonNmean21,GHCP no within,25,0.15,0.85,0.885,0.010088359628799917,0.31918157352340515,1000.0
poissonNmean21,GHCP no within,25,0.1,0.9,0.926,0.008277922444671728,0.2619018758859749,1000.0
poissonNmean21,GHCP no within,25,0.05,0.95,0.967,0.005648982209212561,0.17872588772459053,1000.0
poissonNmean21,GHCP no within,30,0.2,0.8,0.883,0.010164201887015036,0.3215811163834319,1000.0
poissonNmean21,GHCP no within,30,0.15,0.85,0.908,0.009139803061335619,0.28917057184232914,1000.0
poissonNmean21,GHCP no within,30,0.1,0.9,0.919,0.008627803892068941,0.272971634998059,1000.0
poissonNmean21,GHCP no within,30,0.05,0.95,0.966,0.005730968504537434,0.18131981931624816,1000.0
poissonNmean21,GHCP no within,35,0.2,0.8,0.918,0.008676174272108645,0.2745020060971346,1000.0
poissonNmean21,GHCP no within,35,0.15,0.85,0.918,0.008676174272108645,0.2745020060971346,1000.0
poissonNmean21,GHCP no within,35,0.1,0.9,0.918,0.008676174272108645,0.2745020060971346,1000.0
poissonNmean21,GHCP no within,35,0.05,0.95,0.967,0.005648982209212561,0.17872588772459053,1000.0
poissonNmean21,HCP,0,0.2,0.8,0.86,0.010972693379476163,0.34716065520234357,1000.0
poissonNmean21,HCP,0,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean21,HCP,0,0.1,0.9,0.948,0.007021111023192843,0.22213812222431648,1000.0
poissonNmean21,HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,5,0.2,0.8,0.86,0.010972693379476163,0.34716065520234357,1000.0
poissonNmean21,HCP,5,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean21,HCP,5,0.1,0.9,0.948,0.007021111023192843,0.22213812222431648,1000.0
poissonNmean21,HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,10,0.2,0.8,0.86,0.010972693379476163,0.34716065520234357,1000.0
poissonNmean21,HCP,10,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean21,HCP,10,0.1,0.9,0.948,0.007021111023192843,0.22213812222431648,1000.0
poissonNmean21,HCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
