dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
poissonNmean21,0.05,GHCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean21,0.05,GHCP,5,0.95,1.0,0.0,0.0,1000.0,25.681412119804804,,,25.681412119804804,25.681412119804804,25.681412119804804,25.681412119804804,25.681412119804804,1000.0,1.0,999.0,0.001,0.999
poissonNmean21,0.05,GHCP,10,0.95,0.992,0.08912880535463236,0.0028170906978654425,1000.0,24.269701747265557,5.242365688569555,0.3214300635628185,23.552111095934368,20.738428881620735,26.99909663042657,11.840109865776576,39.98740333940131,1000.0,266.0,734.0,0.266,0.734
poissonNmean21,0.05,GHCP,15,0.95,0.976,0.1531255937047999,0.004839834707921338,1000.0,20.691379519218238,4.827525395365463,0.15327408457701466,20.41326954591566,17.048469944876537,23.601611603842343,8.615904992152004,40.816191985571216,1000.0,992.0,8.0,0.992,0.008
poissonNmean21,0.05,GHCP,20,0.95,0.96,0.19605723255834875,0.00619677335393187,1000.0,17.57127906902974,4.079529959549133,0.13377305726634928,17.17465873806293,14.88365649199721,19.73613118465356,8.051253145674423,36.09869372310004,1000.0,930.0,70.0,0.93,0.07
poissonNmean21,0.05,GHCP,25,0.95,0.983,0.1293357171384909,0.004087909000944127,1000.0,16.005573762298003,5.078212994965825,0.2291765442542791,15.349578439617575,11.941789247353709,19.45635089096418,5.691701342176241,30.73766694512924,1000.0,491.0,509.0,0.491,0.509
poissonNmean21,0.05,GHCP,30,0.95,0.998,0.04469897088298564,0.0014127986409959495,1000.0,13.929873690211501,5.783035646628229,0.991782431225435,13.981838885457783,8.637492683123002,17.66795696962983,5.476931580825333,25.22064525182946,1000.0,34.0,966.0,0.034,0.966
poissonNmean21,0.05,GHCP,35,0.95,1.0,0.0,0.0,1000.0,11.015648953491084,,,11.015648953491084,11.015648953491084,11.015648953491084,11.015648953491084,11.015648953491084,1000.0,1.0,999.0,0.001,0.999
poissonNmean21,0.05,GHCP no within,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean21,0.05,GHCP no within,5,0.95,0.999,0.0316227766016838,0.0009994998749374613,1000.0,35.040399202536314,5.973077265499759,1.109172602774638,33.2770081142647,30.57933037608649,36.36894261277491,27.54017412889705,46.81228637473277,1000.0,29.0,971.0,0.029,0.971
poissonNmean21,0.05,GHCP no within,10,0.95,0.977,0.14997831007680243,0.004740358636221528,1000.0,35.03269836262486,8.405863343549363,0.27158111732693385,34.088746549303735,28.768168596416995,40.088481059762806,13.864650554066388,63.26530366045353,1000.0,958.0,42.0,0.958,0.042
