o,method_key,method,coverage_mean,coverage_se,width_median,width_mean,width_q25,width_q75,n,bayes_w_g_mean,bayes_w_g_median
0,donor_hcp_bayes_re,GHCP Bayes-RE,0.938,0.00762600813007697,32.99837781408233,33.978062620072315,27.62287127521499,39.21887585843977,1000,1.0,1.0
0,donor_hcp_sqrt,GHCP sqrt (c=0.5),0.938,0.00762600813007697,32.99837781408233,33.978062620072315,27.62287127521499,39.21887585843977,1000,,
0,donor_hcp_eq4,GHCP Eq.(4) (c=1),0.938,0.00762600813007697,32.99837781408233,33.978062620072315,27.62287127521499,39.21887585843977,1000,,
0,donor_hcp_no_within,GHCP no WGT,0.938,0.00762600813007697,32.99837781408233,33.978062620072315,27.62287127521499,39.21887585843977,1000,,
0,hcp,HCP,0.938,0.00762600813007697,32.2590340608439,33.18421853950984,27.28633522519003,37.737524482746885,1000,,
5,donor_hcp_bayes_re,GHCP Bayes-RE,0.964,0.005891010100144119,7.794117778790955,7.900778160127589,7.244252617800885,8.441828593608468,1000,0.01941907673707236,0.0158023261341401
5,donor_hcp_sqrt,GHCP sqrt (c=0.5),0.95,0.006892024376045114,20.218986378323837,20.909285007701705,17.329136381776568,23.953365464009707,1000,,
5,donor_hcp_eq4,GHCP Eq.(4) (c=1),0.94,0.007509993342207438,26.604089998777752,27.366981857869774,22.339165657396478,31.49131444981032,1000,,
5,donor_hcp_no_within,GHCP no WGT,0.92,0.008579044235810886,31.115656109761815,31.979794770819737,25.832378890611174,36.8982174411566,1000,,
5,hcp,HCP,0.938,0.00762600813007697,32.2590340608439,33.18421853950984,27.28633522519003,37.737524482746885,1000,,
10,donor_hcp_bayes_re,GHCP Bayes-RE,0.952,0.006759881655768837,6.434486206766174,6.456399024540632,6.019400497847911,6.861146635969945,1000,0.007900930036670287,0.0063814353746225
10,donor_hcp_sqrt,GHCP sqrt (c=0.5),0.939,0.007568289106528638,13.05651007480683,13.437543270791686,11.270561110245154,15.178757022732508,1000,,
10,donor_hcp_eq4,GHCP Eq.(4) (c=1),0.932,0.00796090447122687,20.37596268565251,21.08822807532666,17.33989266504556,24.32953162499465,1000,,
10,donor_hcp_no_within,GHCP no WGT,0.913,0.008912407082264588,29.57286454567098,30.641784895235066,24.707850183958797,35.41396427824349,1000,,
10,hcp,HCP,0.938,0.00762600813007697,32.2590340608439,33.18421853950984,27.28633522519003,37.737524482746885,1000,,
15,donor_hcp_bayes_re,GHCP Bayes-RE,0.939,0.007568289106528638,5.6081284112595,5.616370760237187,5.245055872317913,5.918741030687578,1000,0.005662224091784739,0.0045664940648035
15,donor_hcp_sqrt,GHCP sqrt (c=0.5),0.922,0.008480330182251158,10.11024427396695,10.41843951117973,8.951107669632494,11.646342209512534,1000,,
15,donor_hcp_eq4,GHCP Eq.(4) (c=1),0.918,0.008676174272108645,16.872757721720856,17.485635126580057,14.369999898207096,20.009722660359685,1000,,
15,donor_hcp_no_within,GHCP no WGT,0.903,0.009359006357514668,28.344398899410066,29.421440959241146,23.777098929885717,34.03435041389964,1000,,
15,hcp,HCP,0.938,0.00762600813007697,32.2590340608439,33.18421853950984,27.28633522519003,37.737524482746885,1000,,
20,donor_hcp_bayes_re,GHCP Bayes-RE,0.889,0.00993373041711924,4.8872855073222095,4.919387622804632,4.615612406270287,5.2259388527785955,1000,0.0039734632521627716,0.00320093095555285
20,donor_hcp_sqrt,GHCP sqrt (c=0.5),0.898,0.009570579919733181,7.754008630765493,7.8937086830616625,6.925396294186458,8.724542004228308,1000,,
20,donor_hcp_eq4,GHCP Eq.(4) (c=1),0.898,0.009570579919733181,13.293702538305148,13.622859126900096,11.418260829265233,15.453867805569091,1000,,
20,donor_hcp_no_within,GHCP no WGT,0.893,0.009775019181566856,26.100362989927763,26.826666007154316,22.410671581601544,30.65936276685098,1000,,
20,hcp,HCP,0.938,0.00762600813007697,32.2590340608439,33.18421853950984,27.28633522519003,37.737524482746885,1000,,
25,donor_hcp_bayes_re,GHCP Bayes-RE,0.915,0.008819013550278736,10.767747191764474,11.810704582138515,7.743436695568024,15.31745864883082,1000,,
25,donor_hcp_sqrt,GHCP sqrt (c=0.5),0.919,0.008627803892068941,7.499435367636002,7.86904225522217,5.780399248900711,9.605503453676553,1000,,
25,donor_hcp_eq4,GHCP Eq.(4) (c=1),0.915,0.008819013550278736,10.767747191764474,11.810704582138515,7.743436695568024,15.31745864883082,1000,,
25,donor_hcp_no_within,GHCP no WGT,0.916,0.008771772910877251,14.234763147713899,15.744240690211504,9.065333515154153,21.12235296523788,1000,,
25,hcp,HCP,0.938,0.00762600813007697,32.2590340608439,33.18421853950984,27.28633522519003,37.737524482746885,1000,,
30,donor_hcp_bayes_re,GHCP Bayes-RE,0.933,0.007906389820898028,10.648471955388288,11.452340407618095,7.785006085652594,14.41989205756743,1000,,
30,donor_hcp_sqrt,GHCP sqrt (c=0.5),0.933,0.007906389820898028,7.426881137164752,7.674691855633406,5.863659232967644,9.101590446472393,1000,,
30,donor_hcp_eq4,GHCP Eq.(4) (c=1),0.933,0.007906389820898028,10.648471955388288,11.452340407618095,7.785006085652594,14.41989205756743,1000,,
30,donor_hcp_no_within,GHCP no WGT,0.901,0.009444522221901962,13.785539613125794,15.313282712638276,8.668309308055582,20.390398480713984,1000,,
30,hcp,HCP,0.938,0.00762600813007697,32.2590340608439,33.18421853950984,27.28633522519003,37.737524482746885,1000,,
35,donor_hcp_bayes_re,GHCP Bayes-RE,0.943,0.007331507348424336,10.583431613764784,11.340671367158167,7.754705460858767,14.302970971684784,1000,,
35,donor_hcp_sqrt,GHCP sqrt (c=0.5),0.946,0.0071473071852271785,7.420550296068187,7.677806860159026,5.920565261147087,9.085083419256884,1000,,
35,donor_hcp_eq4,GHCP Eq.(4) (c=1),0.943,0.007331507348424336,10.583431613764784,11.340671367158167,7.754705460858767,14.302970971684784,1000,,
35,donor_hcp_no_within,GHCP no WGT,0.909,0.009094998625618366,13.86301156467431,15.515221084236163,8.850767182814161,20.73416797293743,1000,,
35,hcp,HCP,0.938,0.00762600813007697,32.2590340608439,33.18421853950984,27.28633522519003,37.737524482746885,1000,,
